text,start,duration,video_id
HI EVERYONE MY NAME IS DINA GLUE AND I'M,1.07,5.08,gwIcgyqioPo
A 26 YEAR OLD AMERICAN FROM ATLANTA,4.29,3.93,gwIcgyqioPo
GEORGIA I'VE RECENTLY ARRIVED IN THE BAY,6.15,3.84,gwIcgyqioPo
AREA AFTER SPENDING THE PAST THREE AND A,8.22,4.14,gwIcgyqioPo
HALF YEARS IN CHINA WHEN 2012 I,9.99,4.2,gwIcgyqioPo
CO-FOUNDED AN AWARD-WINNING SOCIAL,12.36,4.56,gwIcgyqioPo
ENTERPRISE FROM SCRATCH USING WEB MOBILE,14.19,5.099,gwIcgyqioPo
AND VIDEO MY TEAM AND I PLACED HUNDREDS,16.92,3.96,gwIcgyqioPo
OF BLUE-COLLAR WORKERS AND GOOD JOBS,19.289,4.621,gwIcgyqioPo
TODAY THIS COMPANY IS SELF-SUSTAINING I,20.88,5.55,gwIcgyqioPo
SAW WITH MY OWN EYES THE POWER THAT,23.91,5.189,gwIcgyqioPo
TECHNOLOGY HAS TO ACCELERATE IMPACT THIS,26.43,4.8,gwIcgyqioPo
IS WHY I'M NOW HERE BECAUSE SILICON,29.099,3.71,gwIcgyqioPo
VALLEY VALUES SMART RISK-TAKING,31.23,4.8,gwIcgyqioPo
INNOVATION AND RUTHLESS EFFICIENCY I'M,32.809,5.02,gwIcgyqioPo
LOOKING FOR A COMPANY THAT'S MISSION,36.03,3.63,gwIcgyqioPo
INSPIRED AND OUT TO CHANGE THE WORLD,37.829,5.691,gwIcgyqioPo
BECAUSE I AM TOO,39.66,3.86,gwIcgyqioPo
YOU,53.1,2.06,gwIcgyqioPo
HIGHLY CONTAGIOUS DELTA VARIANT,0.24,4.72,CwjV6MDU9E8
THAT I BEGAN TO WARN AMERICA ABOUT BACK,2.879,4.96,CwjV6MDU9E8
IN JULY SPREAD LATE SUMMER,4.96,5.759,CwjV6MDU9E8
LIKE IT DID IN OTHER COUNTRIES BEFORE US,7.839,4.641,CwjV6MDU9E8
WHILE THE VACCINES PROVIDE STRONG,10.719,4.321,CwjV6MDU9E8
PROTECTION FOR THE VACCINATED WE READ,12.48,4.24,CwjV6MDU9E8
ABOUT AND HEAR ABOUT AND WE SEE THE,15.04,4.319,CwjV6MDU9E8
STORIES OF HOSPITALIZED,16.72,5.36,CwjV6MDU9E8
PEOPLE PEOPLE ON THEIR DEATHBEDS,19.359,5.121,CwjV6MDU9E8
AMONG THE UNVACCINATED OVER THE PAST FEW,22.08,4.0,CwjV6MDU9E8
