,Word,Word_Count,Video_Count
5,Stop Words,1173,30
119,HAVE,77,24
73,ABOUT,70,17
427,INTERVIEW,41,4
52,BECAUSE,34,18
84,LIKE,33,17
583,REALLY,32,10
220,MORE,30,16
242,GOING,29,10
135,MAKE,29,14
100,PEOPLE,29,10
448,SAY,28,9
198,WANT,28,11
316,ALSO,28,14
1136,ENGLISH,27,11
432,KNOW,26,15
317,VERY,26,14
209,ALL,25,12
92,WE,25,11
266,ONE,25,12
425,JUST,25,7
407,TALK,24,9
271,GIVE,24,11
208,JOB,24,8
351,WELL,23,10
315,PERSON,23,9
597,SOMETHING,21,4
536,START,20,5
132,GET,20,12
38,GOOD,19,12
270,TIME,19,9
334,HELP,19,10
23,YEARS,19,14
508,SURE,18,6
531,THINGS,18,7
3,NAME,18,16
373,TEACHING,18,9
603,SKILLS,17,8
304,SCHOOL,17,7
394,FIRST,17,9
530,PRESENTATION,17,5
207,LOVE,17,10
386,THANK,17,12
355,MOST,17,9
120,BEEN,17,12
1127,STUDENTS,17,7
96,SEE,17,12
206,WORK,17,9
139,THERE,17,9
204,YOURSELF,16,8
331,WOULD,16,7
798,FEEL,16,4
751,ABLE,16,6
149,UP,16,11
195,PART,16,6
20,THREE,16,10
697,NEXT,15,5
492,TALKING,15,6
655,LEARN,15,10
15,I'VE,15,12
471,THEM,15,8
33,VIDEO,15,9
706,THINK,14,6
53,HERE,14,8
429,ANSWER,14,4
64,THAT'S,13,7
1197,CLASS,13,7
286,RIGHT,13,7
234,SOME,13,10
499,TEACH,13,6
543,NUMBER,13,4
405,INTRODUCTION,13,4
498,[MUSIC],13,7
447,ALWAYS,13,10
570,LOT,13,8
828,COMMUNICATION,12,2
86,US,12,5
482,SITUATION,12,4
413,ROLE,12,3
191,WAY,12,9
513,NEW,12,5
437,QUESTION,11,3
290,LITTLE,11,6
505,ANY,11,6
484,USE,11,5
352,TWO,11,9
424,IMPORTANT,11,7
272,OFF,11,5
93,VACCINATED,11,1
851,CONVERSATION,11,4
82,OTHER,11,4
589,SAYING,10,5
1,HI,10,10
767,YOU'LL,10,5
878,WORDS,10,5
538,TELL,10,5
