0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,rot_x,rot_y,rot_z
"(148.2696078807137, 3267.226716514298)","(158.8602941579075, 3314.8848047616702)","(169.45098043510134, 3362.5428930090425)","(185.33700985089212, 3415.4963243950115)","(211.8137255438767, 3457.859069503787)","(243.5857843754582, 3494.926471473965)","(285.9485294842335, 3526.6985303055467)","(333.6066177316058, 3547.8799028599346)","(381.26470597897804, 3547.8799028599346)","(428.9227942263503, 3542.5845597213374)","(471.28553933512563, 3516.107844028353)","(503.0575981667071, 3479.0404420581744)","(524.2389707210948, 3431.382353810802)","(540.1250001368855, 3383.72426556343)","(545.4203432754824, 3330.770834177461)","(550.7156864140794, 3277.817402791492)","(545.4203432754824, 3219.5686282669258)","(185.33700985089212, 3198.387255712538)","(206.51838240527977, 3177.2058831581503)","(238.29044123686128, 3161.3198537423596)","(275.3578432070397, 3161.3198537423596)","(307.1299020386212, 3166.6151968809563)","(360.08333342459036, 3166.6151968809563)","(397.1507353947688, 3150.7291674651656)","(434.2181373649472, 3145.433824326569)","(465.9901961965287, 3156.024510603763)","(497.76225502811025, 3177.2058831581503)","(338.9019608702027, 3208.977941989732)","(338.9019608702027, 3240.7500008213133)","(344.1973040087996, 3272.5220596528948)","(344.1973040087996, 3309.5894616230735)","(312.42524517721813, 3341.361520454655)","(328.3112745930089, 3346.6568635932517)","(354.78799028599343, 3351.9522067318485)","(375.9693628403811, 3341.361520454655)","(391.85539225617185, 3330.770834177461)","(222.4044118210705, 3235.4546576827165)","(243.5857843754582, 3214.2732851283286)","(264.76715692984584, 3214.2732851283286)","(291.24387262283045, 3230.1593145441193)","(270.0625000684428, 3235.4546576827165)","(243.5857843754582, 3235.4546576827165)","(391.85539225617185, 3219.5686282669258)","(413.03676481055953, 3203.682598851135)","(439.51348050354414, 3198.387255712538)","(465.9901961965287, 3214.2732851283286)","(439.51348050354414, 3219.5686282669258)","(418.33210794915647, 3219.5686282669258)","(285.9485294842335, 3420.7916675336087)","(307.1299020386212, 3394.314951840624)","(338.9019608702027, 3383.72426556343)","(360.08333342459036, 3383.72426556343)","(381.26470597897804, 3378.428922424833)","(413.03676481055953, 3383.72426556343)","(444.808823642141, 3404.905638117818)","(423.6274510877534, 3431.382353810802)","(391.85539225617185, 3447.268383226593)","(370.67401970178423, 3452.56372636519)","(344.1973040087996, 3452.56372636519)","(312.42524517721813, 3441.973040087996)","(296.5392157614274, 3420.7916675336087)","(338.9019608702027, 3404.905638117818)","(365.3786765631873, 3399.6102949792207)","(381.26470597897804, 3399.6102949792207)","(434.2181373649472, 3404.905638117818)","(386.560049117575, 3420.7916675336087)","(365.3786765631873, 3420.7916675336087)","(344.1973040087996, 3420.7916675336087)",3.87,0.6,6.71
"(244.55201500086267, 3232.3396765331413)","(249.86836315305533, 3280.186809902875)","(260.50105945744065, 3328.033943272609)","(276.45010391401865, 3375.881076642343)","(297.7154965227893, 3418.4118618598845)","(329.6135854359453, 3455.626298925233)","(372.14437065348665, 3487.524387838389)","(419.99150402322067, 3503.473432294967)","(473.1549855451473, 3508.78978044716)","(521.0021189148813, 3498.1570841427747)","(563.5329041324227, 3476.8916915340037)","(595.4309930455786, 3439.677254468655)","(616.6963856543493, 3397.146469251114)","(632.6454301109274, 3349.2993358813796)","(637.96177826312, 3301.4522025116457)","(643.2781264153126, 3253.605069141912)","(643.2781264153126, 3200.441587619985)","(281.76645206621134, 3168.5434987068293)","(303.031844674982, 3141.961757945866)","(340.24628174033063, 3131.3290616414806)","(372.14437065348665, 3126.0127134892878)","(409.3588077188353, 3136.645409793673)","(467.83863739295464, 3136.645409793673)","(499.73672630611065, 3120.6963653370954)","(536.9511633714593, 3120.6963653370954)","(574.165600436808, 3131.3290616414806)","(595.4309930455786, 3152.594454250251)","(435.9405484797986, 3173.8598468590217)","(441.2568966319913, 3205.757935772178)","(441.2568966319913, 3242.9723728375266)","(446.573244784184, 3280.186809902875)","(409.3588077188353, 3306.7685506638386)","(430.624200327606, 3312.084898816031)","(451.88959293637663, 3317.401246968224)","(473.1549855451473, 3312.084898816031)","(494.42037815391797, 3301.4522025116457)","(318.98088913156, 3195.1252394677927)","(340.24628174033063, 3179.1761950112145)","(366.82802250129396, 3179.1761950112145)","(393.40976326225734, 3195.1252394677927)","(366.82802250129396, 3200.441587619985)","(340.24628174033063, 3200.441587619985)","(489.10403000172533, 3189.8088913156)","(515.6857707626887, 3173.8598468590217)","(542.2675115236519, 3168.5434987068293)","(563.5329041324227, 3184.4925431634074)","(542.2675115236519, 3189.8088913156)","(515.6857707626887, 3189.8088913156)","(377.46071880567933, 3381.197424794536)","(404.04245956664266, 3359.9320321857654)","(435.9405484797986, 3349.2993358813796)","(457.2059410885693, 3349.2993358813796)","(478.47133369733996, 3343.9829877291872)","(510.369422610496, 3349.2993358813796)","(536.9511633714593, 3370.5647284901506)","(515.6857707626887, 3391.830121098921)","(489.10403000172533, 3407.7791655554993)","(467.83863739295464, 3407.7791655554993)","(441.2568966319913, 3407.7791655554993)","(409.3588077188353, 3402.4628174033064)","(393.40976326225734, 3381.197424794536)","(435.9405484797986, 3370.5647284901506)","(462.52228924076195, 3365.2483803379578)","(478.47133369733996, 3365.2483803379578)","(526.3184670670739, 3370.5647284901506)","(483.78768184953265, 3375.881076642343)","(462.52228924076195, 3381.197424794536)","(441.2568966319913, 3381.197424794536)",4.89,-0.11,4.92
"(375.76502192431747, 3416.0456538574317)","(387.15184077050895, 3467.2863386652934)","(398.5386596167004, 3512.833614050059)","(409.9254784628918, 3564.0742988579204)","(432.6991161552747, 3603.9281648195906)","(461.16616327075326, 3643.7820307812603)","(501.0200292324233, 3672.249077896739)","(552.2607140402848, 3695.022715589122)","(603.5013988481463, 3700.7161250122176)","(654.7420836560077, 3695.022715589122)","(694.5959496176778, 3672.249077896739)","(728.7564061562521, 3638.088621358165)","(751.5300438486349, 3592.541345973399)","(762.9168626948265, 3541.300661165538)","(774.3036815410179, 3490.059976357676)","(774.3036815410179, 3438.819291549815)","(774.3036815410179, 3381.8851973188575)","(409.9254784628918, 3342.0313313571874)","(432.6991161552747, 3319.2576936648047)","(466.85957269384903, 3307.870874818613)","(506.71343865551904, 3302.177465395517)","(540.8738951940934, 3313.5642842417087)","(597.8079894250506, 3313.5642842417087)","(631.9684459636248, 3296.4840559724216)","(671.8223119252949, 3296.4840559724216)","(705.9827684638692, 3307.870874818613)","(734.4498155793478, 3330.644512510996)","(569.3409423095719, 3353.418150203379)","(569.3409423095719, 3387.578606741953)","(575.0343517326677, 3427.4324727036233)","(575.0343517326677, 3467.2863386652934)","(540.8738951940934, 3495.7533857807716)","(563.6475328864763, 3501.4467952038676)","(580.7277611557633, 3507.140204626963)","(603.5013988481463, 3495.7533857807716)","(620.5816271174334, 3490.059976357676)","(449.7793444245618, 3381.8851973188575)","(472.55298211694475, 3364.8049690495704)","(495.3266198093276, 3359.1115596264744)","(523.7936669248062, 3376.1917878957615)","(495.3266198093276, 3381.8851973188575)","(472.55298211694475, 3381.8851973188575)","(626.2750365405292, 3370.498378472666)","(649.048674232912, 3359.1115596264744)","(677.5157213483907, 3359.1115596264744)","(700.2893590407735, 3370.498378472666)","(677.5157213483907, 3376.1917878957615)","(649.048674232912, 3376.1917878957615)","(512.4068480786148, 3569.767708281016)","(540.8738951940934, 3546.9940705886333)","(569.3409423095719, 3535.607251742442)","(592.1145800019549, 3541.300661165538)","(609.194808271242, 3529.9138423193463)","(643.3552648098163, 3541.300661165538)","(671.8223119252949, 3564.0742988579204)","(643.3552648098163, 3586.8479365503035)","(620.5816271174334, 3603.9281648195906)","(597.8079894250506, 3603.9281648195906)","(569.3409423095719, 3603.9281648195906)","(540.8738951940934, 3592.541345973399)","(529.487076347902, 3569.767708281016)","(569.3409423095719, 3558.380889434825)","(592.1145800019549, 3558.380889434825)","(614.8882176943378, 3552.687480011729)","(660.4354930791035, 3564.0742988579204)","(614.8882176943378, 3569.767708281016)","(592.1145800019549, 3575.461117704112)","(569.3409423095719, 3569.767708281016)",4.36,0.12,4.79
"(467.3806479206873, 3368.560523428368)","(478.78017591875283, 3414.15863542063)","(484.4799399177856, 3465.456511411925)","(495.87946791585114, 3516.7543874032203)","(518.6785239119822, 3556.6527353964493)","(547.1773439071461, 3596.5510833896788)","(592.7754558994083, 3625.0499033848428)","(638.3735678916704, 3647.848959380974)","(695.3712078819981, 3653.548723380007)","(746.6690838732931, 3647.848959380974)","(792.2671958655552, 3619.35013938581)","(826.4657798597519, 3585.1515553916133)","(843.5650718568502, 3539.553443399351)","(854.9645998549157, 3493.955331407089)","(860.6643638539485, 3442.657455415794)","(866.3641278529813, 3391.3595794244993)","(866.3641278529813, 3340.061703433204)","(501.5792319148839, 3305.8631194390077)","(530.0780519100477, 3277.3642994438437)","(564.2766359042444, 3265.9647714457783)","(604.1749838974738, 3265.9647714457783)","(638.3735678916704, 3271.664535444811)","(689.6714438829654, 3277.3642994438437)","(723.870027877162, 3260.2650074467456)","(763.7683758703914, 3260.2650074467456)","(803.6667238636209, 3277.3642994438437)","(826.4657798597519, 3305.8631194390077)","(661.1726238878015, 3311.5628834380404)","(661.1726238878015, 3351.46123143127)","(666.8723878868343, 3385.6598154254666)","(666.8723878868343, 3425.5581634186956)","(632.6738038926377, 3454.0569834138596)","(655.4728598887688, 3459.7567474128923)","(672.572151885867, 3465.456511411925)","(695.3712078819981, 3459.7567474128923)","(718.1702638781293, 3448.357219414827)","(547.1773439071461, 3334.3619394341713)","(564.2766359042444, 3322.962411436106)","(592.7754558994083, 3317.262647437073)","(615.5745118955393, 3334.3619394341713)","(592.7754558994083, 3340.061703433204)","(564.2766359042444, 3340.061703433204)","(718.1702638781293, 3334.3619394341713)","(740.9693198742603, 3317.262647437073)","(769.4681398694241, 3317.262647437073)","(792.2671958655552, 3334.3619394341713)","(769.4681398694241, 3334.3619394341713)","(740.9693198742603, 3334.3619394341713)","(604.1749838974738, 3522.454151402253)","(632.6738038926377, 3505.3548594051545)","(661.1726238878015, 3493.955331407089)","(683.9716798839326, 3499.6550954061217)","(701.0709718810309, 3493.955331407089)","(735.2695558752275, 3499.6550954061217)","(763.7683758703914, 3516.7543874032203)","(735.2695558752275, 3539.553443399351)","(712.4704998790965, 3550.9529713974166)","(689.6714438829654, 3556.6527353964493)","(661.1726238878015, 3550.9529713974166)","(632.6738038926377, 3545.253207398384)","(615.5745118955393, 3522.454151402253)","(661.1726238878015, 3516.7543874032203)","(683.9716798839326, 3516.7543874032203)","(706.7707358800637, 3511.054623404187)","(752.3688478723259, 3516.7543874032203)","(706.7707358800637, 3522.454151402253)","(683.9716798839326, 3522.454151402253)","(661.1726238878015, 3522.454151402253)",4.11,-0.12,3.93
"(589.4058045872722, 3476.898887666333)","(595.3593985730022, 3530.481233537903)","(607.2665865444623, 3578.109985423743)","(619.1737745159223, 3631.6923312953136)","(637.0345564731124, 3673.367489195424)","(666.8025264017625, 3715.0426470955335)","(714.4312782876026, 3744.810617024184)","(762.0600301734428, 3762.671398981374)","(815.6423760450131, 3768.624992967104)","(869.2247219165832, 3762.671398981374)","(916.8534738024234, 3732.903429052724)","(946.6214437310736, 3697.1818651383437)","(970.4358196739936, 3649.5531132525034)","(976.3894136597236, 3601.924361366663)","(982.3430076454537, 3554.2956094808233)","(988.2966016311836, 3500.713263609253)","(988.2966016311836, 3447.130917737683)","(625.1273685016523, 3411.409353823303)","(648.9417444445724, 3387.5949778803824)","(684.6633083589526, 3375.6877899089227)","(726.3384662590627, 3369.7341959231926)","(762.0600301734428, 3381.6413838946523)","(809.688782059283, 3387.5949778803824)","(845.4103459736631, 3369.7341959231926)","(887.0855038737733, 3369.7341959231926)","(922.8070677881534, 3387.5949778803824)","(952.5750377168035, 3411.409353823303)","(785.8744061163629, 3423.3165417947625)","(785.8744061163629, 3459.0381057091427)","(785.8744061163629, 3500.713263609253)","(791.8280001020929, 3542.388421509363)","(756.1064361877128, 3566.202797452283)","(773.9672181449029, 3572.156391438013)","(797.7815940878229, 3578.109985423743)","(815.6423760450131, 3572.156391438013)","(839.4567519879331, 3560.2492034665534)","(666.8025264017625, 3447.130917737683)","(690.6169023446826, 3429.2701357804926)","(714.4312782876026, 3429.2701357804926)","(738.2456542305227, 3441.177323751953)","(714.4312782876026, 3447.130917737683)","(690.6169023446826, 3447.130917737683)","(839.4567519879331, 3441.177323751953)","(863.2711279308531, 3423.3165417947625)","(887.0855038737733, 3423.3165417947625)","(910.8998798166933, 3441.177323751953)","(887.0855038737733, 3447.130917737683)","(863.2711279308531, 3441.177323751953)","(726.3384662590627, 3637.6459252810437)","(756.1064361877128, 3619.7851433238534)","(785.8744061163629, 3607.877955352393)","(809.688782059283, 3607.877955352393)","(827.549564016473, 3601.924361366663)","(857.3175339451232, 3607.877955352393)","(887.0855038737733, 3631.6923312953136)","(863.2711279308531, 3655.5067072382335)","(833.5031580022031, 3667.4138952096937)","(809.688782059283, 3667.4138952096937)","(785.8744061163629, 3667.4138952096937)","(756.1064361877128, 3655.5067072382335)","(738.2456542305227, 3637.6459252810437)","(785.8744061163629, 3625.7387373095835)","(809.688782059283, 3625.7387373095835)","(827.549564016473, 3625.7387373095835)","(875.1783159023132, 3631.6923312953136)","(833.5031580022031, 3637.6459252810437)","(809.688782059283, 3637.6459252810437)","(785.8744061163629, 3637.6459252810437)",3.2,-0.24,4.15
"(688.9349480920381, 3480.934474570298)","(701.0215261287406, 3535.324075735459)","(713.1081041654429, 3589.7136769006197)","(725.1946822021454, 3638.059989047429)","(737.2812602388478, 3680.363012175888)","(767.4977053306038, 3722.666035304346)","(809.8007284590624, 3752.8824803961024)","(864.1903296242233, 3771.012347451156)","(918.5799307893841, 3777.055636469507)","(966.9262429361938, 3771.012347451156)","(1015.2725550830036, 3740.7959023594)","(1051.5322891931107, 3704.5361682492926)","(1069.6621562481644, 3656.1898561024827)","(1075.7054452665157, 3607.8435439556733)","(1081.748734284867, 3559.4972318088635)","(1081.748734284867, 3505.1076306437026)","(1087.792023303218, 3450.7180294785417)","(725.1946822021454, 3426.544873405137)","(749.3678382755502, 3402.3717173317323)","(785.6275723856575, 3390.2851392950297)","(821.8873064957647, 3390.2851392950297)","(858.147040605872, 3396.3284283133808)","(906.4933527526817, 3396.3284283133808)","(942.753086862789, 3384.2418502766786)","(985.0561099912475, 3384.2418502766786)","(1021.3158441013547, 3396.3284283133808)","(1045.4890001747597, 3420.501584386786)","(882.3201966792769, 3432.588162423488)","(882.3201966792769, 3474.891185551947)","(888.3634856976281, 3511.150919662054)","(888.3634856976281, 3553.4539427905124)","(858.147040605872, 3577.627098863917)","(876.2769076609256, 3583.6703878822686)","(894.4067747159793, 3589.7136769006197)","(918.5799307893841, 3583.6703878822686)","(936.7097978444377, 3571.583809845566)","(767.4977053306038, 3462.8046075152442)","(785.6275723856575, 3444.6747404601906)","(809.8007284590624, 3444.6747404601906)","(833.9738845324672, 3456.761318496893)","(809.8007284590624, 3462.8046075152442)","(785.6275723856575, 3462.8046075152442)","(936.7097978444377, 3456.761318496893)","(960.8829539178427, 3438.6314514418395)","(991.0993990095986, 3438.6314514418395)","(1009.2292660646523, 3450.7180294785417)","(991.0993990095986, 3456.761318496893)","(960.8829539178427, 3456.761318496893)","(827.930595514116, 3650.1465670841317)","(858.147040605872, 3625.973411010727)","(882.3201966792769, 3619.9301219923755)","(906.4933527526817, 3619.9301219923755)","(930.6665088260866, 3613.8868329740244)","(960.8829539178427, 3625.973411010727)","(985.0561099912475, 3644.1032780657806)","(960.8829539178427, 3662.2331451208343)","(936.7097978444377, 3674.3197231575364)","(912.5366417710329, 3674.3197231575364)","(888.3634856976281, 3674.3197231575364)","(858.147040605872, 3668.2764341391853)","(840.0171735508184, 3650.1465670841317)","(882.3201966792769, 3638.059989047429)","(906.4933527526817, 3638.059989047429)","(930.6665088260866, 3638.059989047429)","(972.969531954545, 3644.1032780657806)","(930.6665088260866, 3644.1032780657806)","(906.4933527526817, 3650.1465670841317)","(882.3201966792769, 3644.1032780657806)",2.14,0.3,4.8
"(821.6788027759605, 3609.0661260390266)","(827.9994089511603, 3665.9515816158237)","(840.6406213015596, 3716.5164310174214)","(853.281833651959, 3767.081280419019)","(872.243652177558, 3811.325523645417)","(897.5260768783569, 3855.569766871815)","(941.7703201047548, 3880.8521915726137)","(992.3351695063523, 3899.8140100982127)","(1049.2206250831496, 3906.134616273412)","(1099.785474484747, 3899.8140100982127)","(1144.029717711145, 3868.210979222214)","(1181.9533547623432, 3830.287342171016)","(1200.9151732879423, 3786.043098944618)","(1207.235779463142, 3735.4782495430204)","(1213.5563856383417, 3678.5927939662233)","(1219.8769918135413, 3628.0279445646256)","(1219.8769918135413, 3571.1424889878285)","(853.281833651959, 3545.8600642870297)","(872.243652177558, 3520.577639586231)","(910.1672892287562, 3507.9364272358316)","(948.0909262799545, 3507.9364272358316)","(979.693957155953, 3520.577639586231)","(1036.5794127327501, 3520.577639586231)","(1074.5030497839484, 3507.9364272358316)","(1112.4266868351465, 3501.615821060632)","(1150.3503238863448, 3514.257033411031)","(1175.6327485871434, 3545.8600642870297)","(1011.2969880319514, 3552.1806704622295)","(1011.2969880319514, 3590.1043075134276)","(1017.6175942071511, 3634.3485507398254)","(1017.6175942071511, 3672.2721877910235)","(986.0145633311527, 3697.5546124918224)","(1004.9763818567517, 3703.875218667022)","(1023.9382003823508, 3710.1958248422216)","(1042.90001890795, 3703.875218667022)","(1061.861837433549, 3697.5546124918224)","(891.2054707031572, 3577.463095163028)","(910.1672892287562, 3564.8218828126287)","(935.4497139295551, 3564.8218828126287)","(967.0527448055535, 3577.463095163028)","(941.7703201047548, 3583.7837013382277)","(916.4878954039559, 3583.7837013382277)","(1068.1824436087486, 3571.1424889878285)","(1093.4648683095475, 3558.501276637429)","(1118.7472930103463, 3558.501276637429)","(1137.7091115359453, 3571.1424889878285)","(1118.7472930103463, 3577.463095163028)","(1093.4648683095475, 3577.463095163028)","(960.7321386303538, 3773.4018865942185)","(986.0145633311527, 3754.4400680686194)","(1011.2969880319514, 3741.7988557182202)","(1036.5794127327501, 3748.11946189342)","(1055.5412312583492, 3741.7988557182202)","(1087.1442621343479, 3748.11946189342)","(1112.4266868351465, 3767.081280419019)","(1087.1442621343479, 3786.043098944618)","(1061.861837433549, 3798.6843112950173)","(1036.5794127327501, 3798.6843112950173)","(1017.6175942071511, 3798.6843112950173)","(992.3351695063523, 3786.043098944618)","(973.3733509807532, 3773.4018865942185)","(1011.2969880319514, 3760.7606742438193)","(1036.5794127327501, 3760.7606742438193)","(1061.861837433549, 3760.7606742438193)","(1099.785474484747, 3767.081280419019)","(1061.861837433549, 3767.081280419019)","(1036.5794127327501, 3773.4018865942185)","(1011.2969880319514, 3767.081280419019)",2.82,0.84,5.27
"(919.5951326883473, 3633.365384398016)","(926.0258678819722, 3691.2420011406393)","(938.8873382692218, 3742.6878826896377)","(951.7488086564714, 3787.703029045011)","(971.0410142373458, 3832.718175400385)","(1003.1946902054699, 3877.7333217557584)","(1048.2098365608435, 3903.456262530258)","(1099.655718109842, 3916.3177329175073)","(1151.1015996588405, 3922.7484681111323)","(1202.547481207839, 3916.3177329175073)","(1247.5626275632126, 3890.5947921430084)","(1279.7163035313365, 3852.0103809812595)","(1299.008509112211, 3800.564499432261)","(1305.439244305836, 3755.549353076887)","(1311.8699794994607, 3704.103471527889)","(1318.3007146930854, 3652.6575899788904)","(1318.3007146930854, 3601.211708429892)","(951.7488086564714, 3575.4887676553926)","(977.4717494309707, 3549.7658268808937)","(1016.0561605927195, 3536.9043564936437)","(1054.6405717544683, 3536.9043564936437)","(1086.7942477225924, 3543.3350916872687)","(1138.2401292715908, 3543.3350916872687)","(1170.3938052397148, 3530.473621300019)","(1215.4089515950886, 3530.473621300019)","(1247.5626275632126, 3543.3350916872687)","(1279.7163035313365, 3569.058032461768)","(1112.5171884970916, 3581.9195028490176)","(1112.5171884970916, 3620.5039140107665)","(1118.9479236907164, 3659.0883251725154)","(1118.9479236907164, 3704.103471527889)","(1093.2249829162172, 3729.8264123023882)","(1112.5171884970916, 3736.2571474960127)","(1131.809394077966, 3736.2571474960127)","(1151.1015996588405, 3729.8264123023882)","(1163.96307004609, 3723.3956771087633)","(990.3332198182203, 3614.0731788171415)","(1016.0561605927195, 3594.780973236267)","(1041.7791013672188, 3594.780973236267)","(1067.502042141718, 3607.6424436235166)","(1041.7791013672188, 3614.0731788171415)","(1016.0561605927195, 3614.0731788171415)","(1170.3938052397148, 3601.211708429892)","(1196.1167460142142, 3588.350238042642)","(1221.8396867887134, 3588.350238042642)","(1241.1318923695878, 3601.211708429892)","(1221.8396867887134, 3607.6424436235166)","(1196.1167460142142, 3607.6424436235166)","(1061.0713069480933, 3800.564499432261)","(1086.7942477225924, 3774.8415586577617)","(1112.5171884970916, 3761.980088270512)","(1138.2401292715908, 3768.410823464137)","(1157.5323348524653, 3761.980088270512)","(1183.2552756269645, 3768.410823464137)","(1215.4089515950886, 3794.133764238636)","(1189.6860108205892, 3813.4259698195106)","(1163.96307004609, 3819.8567050131355)","(1144.6708644652156, 3826.28744020676)","(1118.9479236907164, 3826.28744020676)","(1093.2249829162172, 3813.4259698195106)","(1080.3635125289675, 3800.564499432261)","(1118.9479236907164, 3787.703029045011)","(1138.2401292715908, 3787.703029045011)","(1157.5323348524653, 3781.2722938513866)","(1202.547481207839, 3787.703029045011)","(1157.5323348524653, 3794.133764238636)","(1138.2401292715908, 3794.133764238636)","(1118.9479236907164, 3794.133764238636)",2.7,0.36,5.25
"(1034.8386778183888, 3721.4390913853595)","(1041.4722590864553, 3774.507741529892)","(1054.7394216225885, 3820.942810406358)","(1068.0065841587216, 3874.011460550891)","(1081.273746694855, 3913.8129481592905)","(1114.4416530351878, 3953.61443576769)","(1160.876721911654, 3980.1487608399566)","(1207.31179078812, 4000.049504644156)","(1260.3804409326528, 4006.683085912223)","(1313.4490910771856, 4000.049504644156)","(1359.8841599536518, 3973.51517957189)","(1393.0520662939848, 3933.7136919634904)","(1412.9528100981845, 3887.2786230870242)","(1419.586391366251, 3834.2099729424913)","(1426.2199726343176, 3787.774904066025)","(1432.8535539023844, 3734.7062539214926)","(1432.8535539023844, 3681.6376037769596)","(1068.0065841587216, 3655.1032787046934)","(1094.540909230988, 3628.568953632427)","(1127.7088155713209, 3615.3017910962935)","(1167.5103031797205, 3615.3017910962935)","(1207.31179078812, 3621.9353723643603)","(1253.7468596645863, 3621.9353723643603)","(1293.548347272986, 3608.668209828227)","(1333.3498348813855, 3615.3017910962935)","(1366.5177412217183, 3628.568953632427)","(1393.0520662939848, 3655.1032787046934)","(1227.2125345923198, 3661.7368599727597)","(1233.8461158603866, 3701.5383475811595)","(1233.8461158603866, 3741.339835189559)","(1233.8461158603866, 3781.1413227979588)","(1200.6782095200535, 3807.675647870225)","(1220.5789533242532, 3814.3092291382914)","(1240.4796971284532, 3814.3092291382914)","(1260.3804409326528, 3807.675647870225)","(1280.2811847368525, 3801.0420666021582)","(1107.8080717671212, 3688.2711850450264)","(1127.7088155713209, 3675.0040225088933)","(1154.2431406435874, 3668.3704412408265)","(1180.7774657158536, 3681.6376037769596)","(1154.2431406435874, 3688.2711850450264)","(1134.3423968393877, 3688.2711850450264)","(1286.9147660049193, 3681.6376037769596)","(1313.4490910771856, 3668.3704412408265)","(1333.3498348813855, 3668.3704412408265)","(1359.8841599536518, 3681.6376037769596)","(1333.3498348813855, 3681.6376037769596)","(1313.4490910771856, 3681.6376037769596)","(1180.7774657158536, 3880.6450418189575)","(1200.6782095200535, 3854.110716746691)","(1227.2125345923198, 3840.843554210558)","(1253.7468596645863, 3847.4771354786244)","(1273.647603468786, 3840.843554210558)","(1306.815509809119, 3847.4771354786244)","(1333.3498348813855, 3874.011460550891)","(1306.815509809119, 3893.9122043550906)","(1280.2811847368525, 3900.5457856231574)","(1260.3804409326528, 3907.1793668912237)","(1233.8461158603866, 3900.5457856231574)","(1207.31179078812, 3893.9122043550906)","(1194.044628251987, 3874.011460550891)","(1233.8461158603866, 3867.3778792828243)","(1253.7468596645863, 3867.3778792828243)","(1273.647603468786, 3860.7442980147575)","(1320.0826723452521, 3874.011460550891)","(1280.2811847368525, 3874.011460550891)","(1253.7468596645863, 3874.011460550891)","(1233.8461158603866, 3874.011460550891)",3.53,0.42,4.94
"(1133.1387434903384, 3743.4047776020107)","(1146.6284904366519, 3797.3637653872647)","(1153.3733639098086, 3851.322753172519)","(1166.8631108561221, 3898.5368674846163)","(1187.0977312755924, 3945.750981796714)","(1214.0772251682197, 3986.2202226356544)","(1261.291339480317, 4006.4548430551245)","(1308.5054537924145, 4026.689463474595)","(1369.2093150508254, 4026.689463474595)","(1423.1683028360796, 4019.9445900014384)","(1470.3824171481772, 3986.2202226356544)","(1497.3619110408042, 3945.750981796714)","(1517.5965314602745, 3898.5368674846163)","(1524.3414049334312, 3851.322753172519)","(1524.3414049334312, 3804.1086388604213)","(1531.086278406588, 3756.894524548324)","(1531.086278406588, 3702.9355367630696)","(1166.8631108561221, 3682.7009163435996)","(1193.8426047487492, 3655.7214224509726)","(1227.5669721145332, 3642.2316755046586)","(1268.0362129534738, 3642.2316755046586)","(1308.5054537924145, 3655.7214224509726)","(1355.7195681045118, 3648.9765489778156)","(1389.4439354702959, 3635.486802031502)","(1429.9131763092364, 3635.486802031502)","(1463.6375436750202, 3648.9765489778156)","(1490.6170375676475, 3675.9560428704426)","(1328.7400742118848, 3689.445789816756)","(1328.7400742118848, 3729.9150306556967)","(1335.4849476850416, 3763.6393980214807)","(1335.4849476850416, 3810.8535123335782)","(1308.5054537924145, 3837.8330062262053)","(1321.995200738728, 3837.8330062262053)","(1342.2298211581983, 3844.5778796993623)","(1362.4644415776686, 3837.8330062262053)","(1382.699061997139, 3831.0881327530487)","(1207.332351695063, 3716.425283709383)","(1227.5669721145332, 3702.9355367630696)","(1254.5464660071602, 3702.9355367630696)","(1281.5259598997873, 3709.6804102362266)","(1254.5464660071602, 3716.425283709383)","(1227.5669721145332, 3723.17015718254)","(1382.699061997139, 3709.6804102362266)","(1409.6785558897661, 3696.190663289913)","(1436.6580497823932, 3696.190663289913)","(1456.8926702018634, 3709.6804102362266)","(1436.6580497823932, 3716.425283709383)","(1409.6785558897661, 3709.6804102362266)","(1281.5259598997873, 3905.281740957773)","(1301.7605803192578, 3878.302247065146)","(1328.7400742118848, 3864.8125001188323)","(1355.7195681045118, 3871.5573735919893)","(1375.954188523982, 3864.8125001188323)","(1402.9336824166094, 3871.5573735919893)","(1429.9131763092364, 3898.5368674846163)","(1402.9336824166094, 3918.7714879040864)","(1382.699061997139, 3925.5163613772434)","(1362.4644415776686, 3925.5163613772434)","(1335.4849476850416, 3925.5163613772434)","(1308.5054537924145, 3918.7714879040864)","(1295.015706846101, 3905.281740957773)","(1335.4849476850416, 3891.7919940114593)","(1355.7195681045118, 3891.7919940114593)","(1375.954188523982, 3885.047120538303)","(1416.423429362923, 3898.5368674846163)","(1375.954188523982, 3898.5368674846163)","(1355.7195681045118, 3898.5368674846163)","(1335.4849476850416, 3898.5368674846163)",2.64,-0.03,5.61
