video_id,frame_seq,gap,time_seconds,time_datetime,instance_ref,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
14,218,1,7.273933333333343,0:00:07.273933,0,"(156.36022143036072, 3249.7041186769943)","(162.79456279020985, 3298.098904165528)","(169.228904150059, 3346.493689654062)","(180.48137790259148, 3400.6214427997124)","(203.19978696935746, 3445.1129311599966)","(231.65116369324025, 3484.786287127597)","(271.1110580991398, 3520.098928334731)","(316.76133779437305, 3545.3178871242826)","(364.2412880184732, 3549.4346458142336)","(412.17865587479025, 3548.275854479284)","(456.67014423507425, 3525.5574454125185)","(491.52536780999174, 3491.3731010315187)","(516.7443265995428, 3445.7228213362855)","(536.6877353641937, 3399.6151240088357)","(546.5374617112614, 3347.317041392052)","(556.3871880583291, 3295.018958775269)","(556.1432319878135, 3236.5304908691514)","(199.23550082347887, 3184.3238917788112)","(222.167371451946, 3165.0513622080784)","(255.19292449799647, 3151.969217926679)","(292.1217746722966, 3155.171141352196)","(323.31765718948003, 3163.1911971703967)","(376.0731574384803, 3167.7653734925643)","(414.37426050943077, 3155.1406468433815)","(451.7605283159477, 3153.067020243999)","(482.4989932009143, 3166.3626260870997)","(512.3226228214475, 3190.2093319800006)","(351.31161628114603, 3208.1401031628975)","(348.56711048784547, 3239.793403312298)","(351.0981547194449, 3271.9041210939145)","(347.8962312939275, 3308.8329712682153)","(313.4984253512268, 3337.7417656243147)","(328.86765779371007, 3344.3895685458647)","(354.78799028599343, 3351.9522067318485)","(376.80502565002706, 3343.2307772109157)","(393.54651098916065, 3334.0519300577657)","(232.96242757226165, 3224.454665378629)","(255.89429820072883, 3205.1821358078955)","(276.99649830032894, 3207.0118063367627)","(302.0019955281788, 3225.1255445725465)","(280.4423777963619, 3228.5714240685797)","(254.06462767186176, 3226.284335907496)","(403.15228126571276, 3223.2653795348656)","(425.6267342619632, 3209.2683999890323)","(452.4619020186801, 3206.2799381252157)","(477.4673992465299, 3224.393676361)","(450.632231489813, 3227.382138224816)","(429.5300313902129, 3225.5524676959494)","(280.25941074347514, 3414.587927836731)","(303.6486990041591, 3390.039848241098)","(336.21683441799274, 3382.2332539845984)","(357.31903451759285, 3384.0629245134655)","(378.87865224940975, 3380.6170450174327)","(410.0745347665931, 3388.637100835633)","(439.89816438712614, 3412.483806728534)","(416.5088761264423, 3437.031886324167)","(383.4833230803918, 3450.1140306055663)","(361.92370534857497, 3453.5599101015996)","(335.5459552240748, 3451.2728219405158)","(304.80749033910826, 3437.977216097415)","(290.8105107932752, 3415.502763101165)","(334.3871638891257, 3403.335454084199)","(361.22233164584264, 3400.346992220382)","(377.0489817205427, 3401.7192451170326)","(429.3470643373262, 3411.5689714641003)","(380.49486121657566, 3423.2788628488497)","(359.39266111697555, 3421.4491923199826)","(338.29046101737543, 3419.6195217911154)"
14,219,0,7.3073000000000095,0:00:07.307300,0,"(249.22267647694068, 3221.7431947098185)","(252.06037946259679, 3269.8010678539936)","(260.2073331956094, 3318.1335574161353)","(273.6635376759785, 3366.7406633962437)","(292.70360932167074, 3410.3131350469625)","(322.63679888004276, 3449.1255887862585)","(363.46310635109444, 3483.1780246141307)","(410.4225138234028, 3501.577324617901)","(463.24040487900106, 3509.632739544925)","(511.57289444114286, 3501.485785811912)","(555.1453660918618, 3482.4457141662197)","(588.9231855017676, 3446.928657442524)","(612.3571198349274, 3405.5531171355397)","(630.7564198386973, 3358.5937096632306)","(638.5372183477541, 3311.085069354989)","(646.318016856811, 3263.5764290467473)","(649.0641810364781, 3210.483921573182)","(289.6828287240367, 3159.9545006673075)","(312.2929138032962, 3134.5067126023914)","(350.0069018707251, 3125.8105260334455)","(382.1370227728308, 3122.148973793889)","(418.7525451683928, 3134.689790214369)","(477.1543033893143, 3137.710570812003)","(509.83365712735343, 3123.4305170777343)","(546.9984123588489, 3125.352832003501)","(583.6139347544109, 3137.893648423981)","(603.75247207197, 3160.2291170852736)","(443.37648397940836, 3173.227627535698)","(447.0380362189646, 3205.3577484378043)","(445.1157212931976, 3242.5225036692996)","(448.50265711478716, 3279.9618753187615)","(409.9648197934581, 3304.585814129777)","(430.9272063649174, 3310.9935305490003)","(451.88959293637663, 3317.401246968224)","(473.4012123437694, 3313.190461892734)","(495.18744816912874, 3303.670426069888)","(325.4745018656986, 3188.423069329857)","(347.5353541090247, 3173.593782759654)","(374.0816078458072, 3174.9668648494876)","(399.80401232868957, 3192.267699181391)","(372.98314217394034, 3196.2038678389135)","(346.43688843715785, 3194.83078574908)","(495.64514219907323, 3191.901543957435)","(523.0152451897559, 3177.346873805199)","(549.836115344505, 3173.4107051476763)","(570.2492690800309, 3190.4369230616126)","(548.7376496726381, 3194.647708137102)","(522.1913959358557, 3193.2746260472686)","(374.26468545778516, 3377.267626084968)","(401.9094048664345, 3357.4037051853757)","(434.3141421865069, 3348.4329021984627)","(455.5511451759329, 3349.531367870329)","(477.06276458332553, 3345.32058279484)","(508.6436526494978, 3352.2775320499964)","(534.0914407144135, 3374.8876171292563)","(511.7559720531207, 3395.0261544468153)","(484.385869062438, 3409.5808245990515)","(463.148866073012, 3408.4823589271846)","(436.6026123362296, 3407.109276837351)","(405.0217242700573, 3400.152327582194)","(390.1924376998547, 3378.091475338868)","(433.21567651464, 3369.6699051878886)","(460.0365466693892, 3365.7337365303656)","(475.96429891145874, 3366.557585784266)","(523.4729392197004, 3374.338384293323)","(480.7243168228818, 3377.4507036969453)","(459.21269741548906, 3381.6614887724354)","(437.9756944260631, 3380.5630231005684)"
14,220,0,7.340666666666676,0:00:07.340667,0,"(378.931803705428, 3409.2303828016584)","(388.59563027519835, 3460.823772679084)","(398.4501902641088, 3506.7269488854927)","(408.1140168338791, 3558.320338762918)","(429.53973758396194, 3598.914768136591)","(456.65567200506086, 3639.6999309294047)","(495.53350060647233, 3669.4861332184664)","(545.9824899690562, 3693.963588674793)","(597.0036795890607, 3701.3704031180705)","(648.4063360473455, 3697.3967902193162)","(689.0007654210189, 3675.9710694692335)","(724.2864479619565, 3642.9741879579783)","(748.5731699991425, 3598.2154122664106)","(761.6701981134365, 3547.3849560655467)","(774.7672262277306, 3496.554499864682)","(776.4838269999924, 3445.3425768255374)","(778.3911611913945, 3388.440440115377)","(415.55262018034716, 3336.402005593291)","(439.0764085409723, 3314.4040845857876)","(473.59915740534916, 3304.1680577585967)","(513.621386521602, 3299.812978021562)","(547.381201709418, 3312.337805878435)","(604.2833384195786, 3314.2451400698374)","(638.9968207030956, 3298.3188995716305)","(678.8283164002082, 3299.654033505612)","(712.5881315880242, 3312.1788613624853)","(740.2762662665439, 3335.8933831422505)","(574.4971361305168, 3353.122968671249)","(573.3527356156756, 3387.2642506973452)","(577.7078153527102, 3427.286479813598)","(576.3726814187288, 3467.117975510711)","(541.2777322969314, 3494.4246433509493)","(563.8478535618553, 3500.8777906985265)","(580.7277611557633, 3507.140204626963)","(603.8700826781081, 3496.5227109614916)","(621.1314571102965, 3491.4046975478964)","(454.0489819434782, 3377.568635224385)","(477.3820368849632, 3361.2609278878977)","(500.3336249881677, 3356.333647893442)","(528.2124930858274, 3374.3579560021913)","(499.5706913116068, 3379.094502577507)","(476.80983662754255, 3378.331568900946)","(630.827072583257, 3372.100943875699)","(653.9693941056016, 3361.4834502102276)","(682.4204624606821, 3362.437117305929)","(704.7998503064659, 3374.5804783245217)","(681.8482622032615, 3379.507758318977)","(653.397193848181, 3378.554091223276)","(510.3471294930282, 3567.4437539784576)","(539.5611315246695, 3545.6365663900942)","(568.3936667180302, 3535.209806143763)","(590.9637879829544, 3541.6629534913404)","(608.4158958342829, 3530.854726406729)","(642.1757110220989, 3543.379554263602)","(669.8638457006185, 3567.0940760433673)","(640.6498436689773, 3588.9012636317307)","(617.3167887274924, 3605.208970968218)","(594.5559340434281, 3604.4460372916574)","(566.1048656883477, 3603.492370195956)","(538.0352641715479, 3591.1582757582228)","(527.4177705060765, 3568.015954235878)","(567.6307330414693, 3557.9706608278275)","(590.3915877255338, 3558.7335945043883)","(613.3431758287383, 3553.806314509933)","(658.4834183585864, 3566.7126092050867)","(612.7709755713176, 3570.876955522981)","(589.8193874681131, 3575.8042355174366)","(567.2492662031889, 3569.3510881698594)"
14,221,0,7.374033333333343,0:00:07.374033,0,"(469.06184663963086, 3365.077522348547)","(479.68259128891737, 3410.8632934890684)","(484.50725882777004, 3462.2508598257077)","(495.0308625198984, 3513.735567119505)","(517.1466204328943, 3554.016684021067)","(544.961314499166, 3594.394941879787)","(590.0670989395808, 3623.6667503034305)","(635.2700243371536, 3647.239622573798)","(692.1622449127522, 3653.909968298655)","(743.5498112493913, 3649.085300759802)","(789.6270052613871, 3621.3677476506887)","(824.4034679239899, 3587.756976473983)","(842.2774040410816, 3542.456910119252)","(854.4524040048979, 3497.059702807363)","(861.0256087725966, 3445.86641838504)","(867.598813540295, 3394.673133962717)","(868.473082154718, 3343.382708583236)","(504.324014088024, 3302.9720704054635)","(533.3043996401929, 3274.9630944248756)","(567.6922984741631, 3264.148067861273)","(607.5848515470927, 3264.8280545613798)","(641.6813275095886, 3271.1098364576037)","(692.8746119319115, 3277.6830412253025)","(727.3596517230399, 3261.1690785084243)","(767.2522047959696, 3261.849065208531)","(806.853334997425, 3279.6258603684646)","(829.163374824737, 3308.5091049634757)","(663.7970854225846, 3311.390953359166)","(663.1170987224779, 3351.2835064320957)","(668.2331891328049, 3385.574264308908)","(667.5532024326982, 3425.4668173818372)","(632.8738807272537, 3453.378652405267)","(655.5724843831982, 3459.466152387175)","(672.572151885867, 3465.456511411925)","(695.4650374561278, 3460.146139087282)","(718.4550639835468, 3449.136830609363)","(549.4297985284388, 3332.2438788291065)","(566.720888902582, 3321.1374293940294)","(595.3127106261185, 3315.924198026544)","(617.8170323677468, 3333.4095703150037)","(594.9241467974861, 3338.719942639647)","(566.4294660311077, 3338.2342378538565)","(720.3978831267088, 3335.1581075438494)","(743.4850506112858, 3318.449862912655)","(771.9797313776642, 3318.9355676984455)","(794.4840531192924, 3336.420939986905)","(771.6883085061899, 3336.0323761582727)","(743.1936277398115, 3335.546671372482)","(603.213508474978, 3521.2801814587847)","(631.9996121128306, 3504.669077784748)","(660.6885747935252, 3493.7569102639873)","(683.3871784494697, 3499.8444102458952)","(700.5811278664548, 3494.436896964094)","(734.6776038289507, 3500.7186788603185)","(762.8808617238548, 3518.301192105936)","(733.997617128844, 3540.611231933248)","(711.0075906014251, 3551.620540411167)","(688.1147050311644, 3556.93091273581)","(659.7171652219441, 3550.7462717967437)","(631.3196254127239, 3544.5616308576778)","(614.6113807815293, 3521.474463373101)","(660.3000109648927, 3516.5526548770904)","(683.0957555779954, 3516.941218705723)","(705.9886411482563, 3511.6308463810788)","(751.4829894173034, 3518.10691019162)","(705.79435923394, 3523.0287186876308)","(682.9986146208373, 3522.6401548589984)","(660.2028700077346, 3522.251591030366)"
14,222,0,7.40740000000001,0:00:07.407400,0,"(591.8009966836453, 3472.1092804626155)","(596.5144327692261, 3525.8149281238684)","(607.3174906588056, 3573.7061911248065)","(617.9829299765432, 3627.5494573579012)","(634.8756096701211, 3669.626335698524)","(663.6722958280127, 3711.97845118283)","(710.6002288260581, 3742.839415918349)","(757.8033989677871, 3761.7963741895533)","(811.2338094853566, 3768.986944568286)","(864.9394571466095, 3764.273508482705)","(913.2435758630727, 3735.614440896655)","(943.8293034549074, 3700.5905143629234)","(968.7382649582687, 3653.524962793036)","(975.7912167651596, 3606.0465555076235)","(982.8441685720506, 3558.568148222211)","(990.0347389507834, 3505.1377377046415)","(991.2733060973594, 3451.569708615231)","(629.0268203668456, 3407.4629563399417)","(653.3853075828399, 3384.2054176986812)","(689.3725641194643, 3373.127122665419)","(731.1742053164036, 3368.138449436154)","(766.6109875656607, 3380.868167331518)","(814.0893948510733, 3387.9211191384093)","(850.2142699595394, 3370.89082087299)","(891.8782925846369, 3371.854150875882)","(927.1774562620524, 3390.535872003403)","(956.3869981354693, 3415.031977791239)","(789.4556704913955, 3423.082664243983)","(788.6299590603448, 3458.7946836369238)","(787.6666290574525, 3500.458706262021)","(792.6553022867168, 3542.2603474589605)","(756.392808606409, 3565.242648956537)","(774.1111997310376, 3571.6075079042193)","(797.7815940878229, 3578.109985423743)","(815.7752223561351, 3572.5708379071116)","(839.8584724284458, 3561.2173057301657)","(669.8651315608926, 3444.138305735775)","(694.086000205045, 3426.8327703266714)","(717.8940131336722, 3427.3832446140386)","(741.4267889186159, 3439.8377253657195)","(717.4811574181468, 3445.2392543105093)","(693.6731444895197, 3444.688780023142)","(842.6108438652814, 3442.1772410870294)","(866.8317125094338, 3424.871705677926)","(890.6397254380611, 3425.4221799652933)","(914.0348826511628, 3443.8286639491307)","(890.0892511506939, 3449.2301928939205)","(866.4188567939085, 3442.7277153743967)","(724.9813695835237, 3635.97859488321)","(755.154241459833, 3618.8106780459484)","(785.1894947643005, 3607.5947644408434)","(808.9975076929277, 3608.1452387282106)","(826.9911359612398, 3602.606091211579)","(856.613533550182, 3609.2461873029447)","(885.8230754235989, 3633.742293090781)","(861.4645882076046, 3656.999831732041)","(831.4293349031371, 3668.215745337146)","(807.6213219745099, 3667.6652710497788)","(783.8133090458828, 3667.1147967624115)","(754.3285300287823, 3654.5226974388893)","(736.8853760478373, 3636.2538320268936)","(784.7766390487752, 3625.450774137314)","(808.5846519774024, 3626.0012484246813)","(826.4406616738727, 3626.4141041402067)","(873.9190689592853, 3633.467055947098)","(832.117427762346, 3638.455729176362)","(808.3094148337187, 3637.905254888995)","(784.5014019050916, 3637.3547806016277)"
14,223,0,7.440766666666676,0:00:07.440767,0,"(692.760471631156, 3473.996976083393)","(702.9869179074115, 3528.7668024488416)","(713.2133641836668, 3583.536628814291)","(723.6457120628, 3632.2666748286624)","(734.2839615448108, 3674.9569404919575)","(763.0415520800527, 3718.264910963885)","(804.2905065232042, 3749.905123939414)","(858.030824874265, 3769.877579418544)","(912.1829464310811, 3777.7704741955195)","(960.7070908425753, 3773.377906667464)","(1010.0548416655802, 3744.8262177350994)","(1047.5289333893083, 3709.8229452459022)","(1067.2954872655605, 3662.1224072459186)","(1074.9824804396587, 3614.01006604018)","(1082.669473613757, 3565.897724834441)","(1084.5225880396556, 3511.539701674747)","(1092.4154828166313, 3457.387580117931)","(730.852268163517, 3420.8743625409647)","(755.8349959793359, 3397.5388475481673)","(792.4854812915536, 3386.694696463279)","(828.7241633980161, 3387.9301060805446)","(864.756943901601, 3395.2052960488872)","(913.0751867102176, 3396.8525088719084)","(949.7256720224353, 3386.00835778702)","(992.0041344799749, 3387.4496690071637)","(1027.8310133806822, 3400.764639326583)","(1051.16652837348, 3425.7473671424023)","(887.6806556886436, 3432.26758456686)","(886.2393444685001, 3474.5460470244)","(891.0437152023114, 3510.99063073374)","(889.602403982168, 3553.26909319128)","(858.579895815272, 3576.3987065812)","(876.4933352656257, 3583.05619174091)","(894.4067747159793, 3589.7136769006197)","(918.7717977231652, 3584.497502961053)","(937.3029419821517, 3573.035647067532)","(771.8953210037909, 3458.554355867571)","(790.632366865655, 3441.0527196229723)","(814.7914882699633, 3441.876326034483)","(838.5388064685163, 3454.7794931481476)","(814.1737834613305, 3459.995667087714)","(790.0146620570221, 3459.1720606762037)","(941.2150724368266, 3458.2798203970674)","(965.9918986497679, 3440.9840857553468)","(996.1908004051533, 3442.013593769735)","(1013.8983382526293, 3454.7108592805216)","(995.5730955965204, 3460.132934822966)","(965.374193841135, 3459.103426808578)","(825.9101748253552, 3647.8465627797364)","(856.932682992251, 3624.7169493898164)","(881.2977059994371, 3619.5007754502494)","(905.4568274037454, 3620.3243818617602)","(929.8218504109312, 3615.1082079221937)","(959.6089489605614, 3628.217276638736)","(983.1503655562368, 3647.160224103478)","(958.3735393432956, 3664.4559587451986)","(933.802614733232, 3675.711913035842)","(909.6434933289237, 3674.8883066243316)","(885.4843719246154, 3674.0647002128208)","(855.4913717721076, 3666.9954118473556)","(837.9897355275093, 3648.2583659854918)","(880.6800011908042, 3637.620116503481)","(904.8391225951125, 3638.443722914991)","(928.9982439994208, 3639.267329326502)","(971.0708048540827, 3646.7484208977226)","(928.7923423965431, 3645.3071096775793)","(904.4273193893572, 3650.523283617146)","(880.4740995879265, 3643.659896854558)"
14,224,0,7.474133333333343,0:00:07.474133,0,"(825.2005418432681, 3602.3096673495766)","(829.601161425205, 3659.37576644437)","(840.5317326448544, 3710.337780312607)","(851.462303864504, 3761.299794180843)","(868.9228267218662, 3806.157722822522)","(892.7003680113636, 3851.2285846697782)","(936.0677642139992, 3877.9871908373616)","(985.9651120543474, 3898.6417117783876)","(1042.6053447379861, 3906.875129060721)","(1093.3544254006445, 3902.2615762732066)","(1138.6382204534784, 3872.1670165515743)","(1177.8179302797548, 3835.542505192229)","(1198.2595180152034, 3791.962175784016)","(1206.2800020919594, 3741.6389615325124)","(1214.5134193742927, 3684.9987288488737)","(1222.5339034510484, 3634.6755145973702)","(1224.4503023012467, 3577.822348708154)","(858.9149660597196, 3540.2041490561132)","(878.7177541784354, 3515.5748749443055)","(917.0457311824013, 3504.218437313501)","(954.9478417752122, 3505.4960365469665)","(986.1070675247327, 3519.1947394391245)","(1042.9602334139488, 3521.1111382893228)","(1081.2882104179148, 3509.7547006585182)","(1119.4032542163031, 3504.7152814598485)","(1156.8794983979587, 3518.6269175575844)","(1181.0829060986111, 3551.0637425405707)","(1016.6274936575203, 3551.8444976276883)","(1015.3498944240547, 3589.746608220499)","(1020.1763804171468, 3634.1786704510228)","(1018.8987811836812, 3672.080781043833)","(986.4619562006952, 3696.284188744486)","(1005.2000782915229, 3703.240006793354)","(1023.9382003823508, 3710.1958248422216)","(1043.1021888843338, 3704.5176060268195)","(1062.2661773863167, 3698.839387211417)","(895.7524106246425, 3573.0668404502544)","(915.1293323322029, 3561.071603202717)","(940.3974060607436, 3561.9233360250273)","(971.556631810264, 3575.6220389171854)","(946.0756248761459, 3581.0873245270104)","(920.8075511476053, 3580.2355917047)","(1072.8418599300037, 3572.711951774292)","(1098.5358000696995, 3560.929647732332)","(1123.80387379824, 3561.781380554642)","(1142.32906268349, 3575.0542170356457)","(1123.1650741815072, 3580.7324358510477)","(1097.8970004529667, 3579.880703028737)","(958.6386840052236, 3771.236677107797)","(984.5455573504969, 3753.1373546337018)","(1010.2394974901925, 3741.3550505917424)","(1035.2946380131555, 3748.523801846188)","(1054.4586265151383, 3742.8455830307853)","(1085.8307854702366, 3750.2272674908086)","(1110.4600595820443, 3770.0300556095244)","(1084.5531862367711, 3788.129378083619)","(1058.8592460970754, 3799.911682125579)","(1033.5911723685347, 3799.0599493032687)","(1014.6401170721294, 3798.421149686536)","(989.797909754744, 3784.9353799999553)","(971.2727208694938, 3771.662543518952)","(1009.6006978734598, 3760.3061058881476)","(1034.8687716020004, 3761.157838710458)","(1060.1368453305408, 3762.0095715327684)","(1097.8260227177739, 3769.604189198369)","(1059.9239121249632, 3768.3265899649036)","(1034.442905190845, 3773.791875574728)","(1009.3877646678823, 3766.623124320283)"
14,225,0,7.50750000000001,0:00:07.507500,0,"(923.7778424992857, 3625.151426678754)","(927.9420633764432, 3683.235128223932)","(938.7833970393874, 3735.1442953650485)","(949.8760198931946, 3780.6276389112413)","(967.3944663419255, 3826.3622716482973)","(997.7645599805043, 3872.599482767079)","(1041.7401683815194, 3900.061801482815)","(1092.6441787591843, 3914.9237621995658)","(1143.7994783277124, 3923.3598993213936)","(1195.457356277966, 3918.944389253373)","(1241.4432782058848, 3895.0001192097184)","(1275.0801313256816, 3857.70162359449)","(1296.3679156373569, 3807.048902407688)","(1304.5527635683213, 3762.3194264340837)","(1312.9889006901487, 3711.1641268655558)","(1321.425037811976, 3660.008827297028)","(1323.4353513388796, 3608.6022385376373)","(958.1685631916716, 3568.5754602787542)","(984.8770143348188, 3543.877322662511)","(1023.9345342860878, 3532.53341061784)","(1062.4894758556309, 3534.041145763018)","(1094.3673046393874, 3541.7234153122567)","(1145.773893398778, 3543.73372883916)","(1178.4055897551232, 3532.138527603627)","(1223.3863549195903, 3533.897551939668)","(1255.0128945124836, 3548.00564508383)","(1286.136855723651, 3574.9653854178405)","(1118.5628638739051, 3581.283513645252)","(1117.0551287287274, 3619.838455214795)","(1121.9732171784735, 3658.644685975201)","(1120.214192842433, 3703.625451139668)","(1093.5057416992859, 3728.3235887559117)","(1112.5319232931945, 3735.503279923424)","(1131.809394077966, 3736.2571474960127)","(1151.3381540536006, 3730.585191473678)","(1164.441090434311, 3724.66194626048)","(995.215769616037, 3608.6381369934747)","(1021.6729315683214, 3590.365822972155)","(1047.3762259480168, 3591.370979735607)","(1072.5769419459864, 3605.227783688906)","(1046.622358375428, 3610.6484505203784)","(1020.9190639957325, 3609.6432937569266)","(1175.6414086556308, 3602.82258714779)","(1201.8472814170523, 3590.9760967213933)","(1227.5505757967476, 3591.981253484845)","(1246.3254681997935, 3605.586768247282)","(1226.796708224159, 3611.258724269617)","(1201.0934138444634, 3610.253567506165)","(1058.6124426251743, 3797.7512023457593)","(1085.3208937683214, 3773.0530647295154)","(1111.5267665297426, 3761.2065743031194)","(1136.9787717185752, 3768.6375546614954)","(1156.5075316942098, 3762.96559863916)","(1181.9595368830421, 3770.396578997536)","(1213.0834980942097, 3797.356319331546)","(1186.6263361419253, 3815.6286333528656)","(1160.671752571367, 3821.049300184338)","(1141.1429925957325, 3826.7212562066725)","(1115.4396982160372, 3825.7160994432206)","(1090.2389822180676, 3811.8592954899214)","(1077.8899134099456, 3798.505069918348)","(1116.9474333612147, 3787.1611578736774)","(1136.2249041459863, 3787.9150254462666)","(1155.753664121621, 3782.2430694239315)","(1200.4831400952248, 3790.4279173548957)","(1155.251085739895, 3795.0947166137794)","(1135.9736149551234, 3794.3408490411903)","(1116.6961441703518, 3793.5869814686016)"
14,226,0,7.540866666666677,0:00:07.540867,0,"(1036.952706032777, 3716.893341293077)","(1042.4056377275924, 3770.0962694505997)","(1054.6378899078538, 3816.8146301872607)","(1066.7227655558231, 3870.164934877076)","(1079.1023942683769, 3910.2513516605836)","(1111.377854840392, 3950.779898040968)","(1157.2119563832996, 3978.3393095796296)","(1203.1934344584995, 3999.266777165137)","(1256.1016095514376, 4007.077733376629)","(1309.3045377089607, 4001.6248016818136)","(1356.3176515102066, 3976.128661595245)","(1390.3616304697296, 3937.073880537783)","(1411.289098055237, 3891.092402462584)","(1419.100054266729, 3838.184227369645)","(1426.763633945929, 3791.9079962298606)","(1434.5745901574217, 3738.999821136923)","(1435.75360241576, 3685.944269511692)","(1071.586191121469, 3651.310784423)","(1098.7034730632536, 3625.372514739554)","(1132.1579458936071, 3612.8455094947076)","(1171.9496096125301, 3613.7297686884613)","(1211.5938967991608, 3621.2459718353693)","(1258.0175044712375, 3622.2776075614156)","(1298.103921254745, 3609.897978848862)","(1337.7482084413757, 3617.414181995769)","(1370.61317514256, 3631.4149525635385)","(1396.5514448260062, 3658.532234505323)","(1230.6054694648683, 3661.479765151169)","(1236.3531542242686, 3701.4188054023844)","(1235.4688950305147, 3741.210469121307)","(1234.584635836761, 3781.0021328402304)","(1200.8354099418225, 3806.793025991384)","(1220.5838652689915, 3813.8670995414145)","(1240.4796971284532, 3814.3092291382914)","(1260.522905520207, 3808.1194147820147)","(1280.5661139119604, 3801.9296004257376)","(1110.6409721789305, 3685.354763382523)","(1130.8315571029764, 3672.533005073092)","(1157.506709447884, 3666.4905672491077)","(1183.7397321959147, 3680.3439612845846)","(1157.0645798510072, 3686.386399108569)","(1137.1687479915458, 3685.9442695116923)","(1289.850835446376, 3682.7019858012613)","(1316.6733643235757, 3670.027604024123)","(1336.5691961830373, 3670.4697336209997)","(1362.802218931068, 3684.3231276564766)","(1336.2744431184528, 3683.7336215273076)","(1316.3786112589912, 3683.2914919304303)","(1179.3184362271456, 3879.302279879199)","(1199.8037742157765, 3853.216633663461)","(1226.626303092976, 3840.5422518863224)","(1253.0067023732993, 3847.763701968645)","(1273.0499107650528, 3841.5738876123687)","(1306.0622539985297, 3848.9427142269838)","(1332.000523681976, 3876.0599961687685)","(1305.0306182724837, 3895.3663218990605)","(1278.355465927576, 3901.408759723045)","(1258.3122575358223, 3907.5985740793217)","(1231.9318582554995, 3900.377123996999)","(1205.5514589751763, 3893.155673914676)","(1192.7297006657457, 3872.96508899063)","(1232.6687409169608, 3867.21740423123)","(1252.5645727764222, 3867.6595338281068)","(1272.607781168176, 3861.4697194718296)","(1318.7366357756682, 3875.765243104184)","(1278.9449720567452, 3874.88098391043)","(1252.41719624413, 3874.2914777812607)","(1232.5213643846687, 3873.849348184384)"
14,227,0,7.574233333333344,0:00:07.574233,0,"(1136.0286450204403, 3737.6379418477186)","(1148.0149077568767, 3791.950694872196)","(1153.2588977040675, 3846.0761625414166)","(1165.4324457957607, 3893.6466427766486)","(1184.3482666766995, 3941.404408367138)","(1210.1936457021407, 3982.607186523638)","(1256.8276991610887, 4004.1450023781717)","(1303.4617526200368, 4025.6828182327063)","(1364.1422077232462, 4027.368386430018)","(1418.267675392467, 4022.1243964828273)","(1466.4000116934697, 3989.724030023397)","(1494.4928149819925, 3950.0195347089516)","(1516.0306308365268, 3903.3854812500035)","(1524.08390111257, 3856.376857080542)","(1525.3948985993677, 3809.180947555823)","(1533.4481688754108, 3762.1723233863618)","(1534.9464517174656, 3708.2341410723975)","(1171.4255771639791, 3677.893913520793)","(1199.1438097419882, 3651.673963784838)","(1233.2297443987295, 3639.125844982631)","(1273.6833811342024, 3640.2495571141717)","(1313.7624471591619, 3654.857814824204)","(1361.145642039137, 3649.4265395217562)","(1395.2315766958784, 3636.8784207195495)","(1435.6852134313513, 3638.00213285109)","(1469.022006667065, 3652.4231052058653)","(1495.24195640302, 3680.1413377838744)","(1333.0528387506142, 3689.1310348362017)","(1331.9291266190733, 3729.584671571675)","(1337.7349726320347, 3763.4833208731593)","(1336.423975145237, 3810.6792303978777)","(1308.7057425672278, 3836.8991801338325)","(1322.1902881457188, 3837.273750844346)","(1342.2298211581983, 3844.5778796993623)","(1362.6439248811917, 3838.397462975887)","(1383.058028604185, 3832.2170462524123)","(1210.942787123168, 3712.728989598561)","(1231.5441762014182, 3699.8063000858406)","(1258.5132673584, 3700.5554415068677)","(1285.2950731601252, 3708.0468557171407)","(1258.1386966478865, 3714.039987085359)","(1230.9823201356476, 3720.033118453577)","(1386.429164998808, 3710.856136045993)","(1413.7728268663034, 3698.1207318885295)","(1440.7419180232853, 3698.8698733095566)","(1460.594165680508, 3712.916274953818)","(1440.180061957515, 3719.096691677293)","(1413.3982561557898, 3711.60527746702)","(1279.8637978576774, 3903.57276660526)","(1300.8397576464413, 3877.1655315140483)","(1328.183419513937, 3864.4301273565848)","(1354.965225315662, 3871.9215415668577)","(1375.3793290386552, 3865.7411248433827)","(1402.1611348403806, 3873.2325390536557)","(1428.3810845763353, 3900.950771631665)","(1400.8501373535828, 3920.4284485783737)","(1380.4360336305897, 3926.608865301849)","(1360.209215262853, 3926.0470092360783)","(1333.240124105871, 3925.297867815051)","(1306.458318304146, 3917.806453604778)","(1293.3483434361685, 3903.9473373157734)","(1334.1765508821552, 3891.5865038688235)","(1354.4033692498915, 3892.148359934594)","(1374.8174729728848, 3885.9679432111193)","(1414.8965389978443, 3900.576200921151)","(1374.4429022623713, 3899.45248878961)","(1354.2160838946347, 3898.8906327238396)","(1333.9892655268982, 3898.3287766580693)"
