,frame_seq,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,label_measures
0,0,2.0,99.0050503762308,14.0,20.09975124224178,24.020824298928627,26.019223662515376,29.0,65.03076195155643,45.0,44.0,39.0,40.0,10.5,25.5,3.5,2.5,14.317821063276352,15.0,15.0,52.0,51.0,51.0,"{'smile': ['m3', 'm12']}"
1,1,4.0,100.00499987500623,13.038404810405298,20.09975124224178,25.019992006393608,26.019223662515376,30.01666203960727,67.02984409947557,47.0,45.0,38.0,39.0,8.5,28.5,6.5,4.5,15.132745950421556,16.0,16.5,51.0,50.0,50.00999900019995,"{'smile': ['m3', 'm12']}"
2,2,7.071067811865476,100.0199980003999,13.0,20.09975124224178,24.0,26.019223662515376,30.01666203960727,70.11419257183242,50.039984012787215,46.5,39.0,41.0,10.0,30.0,8.0,2.0,14.317821063276352,15.033296378372908,15.5,51.0,50.0,50.0,"{'smile': ['m3', 'm12']}"
3,3,11.04536101718726,99.02019995940222,12.041594578792296,19.1049731745428,25.019992006393608,28.0178514522438,29.017236257093817,71.06335201775947,52.009614495783374,46.5,39.0,41.0,11.0,31.0,10.0,0.0,15.132745950421556,16.0,15.5,50.0,49.0,51.0098029794274,"{'smile': ['m3', 'm12']}"
4,4,16.0312195418814,102.04410811016967,11.0,19.1049731745428,27.018512172212592,29.068883707497267,28.0,74.06078584514209,55.00909015790027,47.0,39.0,42.0,12.5,33.5,12.5,2.5,14.142135623730953,15.0,15.5,50.0,49.0,50.0,"{'smile': ['m3', 'm12']}"
5,5,21.0,112.0714058089752,10.04987562112089,20.09975124224178,29.017236257093817,32.0624390837628,25.019992006393608,76.02631123499285,56.0,45.5,37.0,41.0,14.0,37.0,15.0,4.0,14.142135623730953,14.0,14.0,49.0,47.0,50.0,"{'smile': ['m3', 'm12']}"
6,6,22.0,115.1086443322134,11.04536101718726,22.02271554554524,30.01666203960727,33.06055050963308,22.02271554554524,77.00649323271382,55.0,44.0,35.0,40.0,15.5,39.5,15.5,5.5,13.152946437965904,15.0,15.0,49.0,46.0,50.00999900019995,"{'smile': ['m3', 'm12']}"
7,7,24.0,119.15116449284078,11.04536101718726,22.09072203437452,31.064449134018133,34.132096331752024,21.02379604162864,78.02563681252464,56.0,44.0,33.0,39.0,15.0,42.0,18.0,4.0,13.341664064126334,15.0,15.0,49.0,45.0,51.0881590977792,"{'smile': ['m3', 'm12']}"
8,8,23.021728866442675,125.25573839150046,12.041594578792296,23.08679276123039,33.13608305156178,35.22782990761707,21.02379604162864,79.05694150420949,56.00892785976178,44.5,32.0,40.0,15.0,43.0,17.0,3.0,12.36931687685298,14.0356688476182,13.5,51.0,44.0,51.03920062069938,"{'smile': ['m3', 'm12']}"
9,9,25.019992006393608,126.25371281669304,11.04536101718726,23.08679276123039,34.058772731852805,38.11823710509184,20.0,79.1012010022604,56.0357029044876,43.5,31.0,39.0,15.0,44.0,18.0,4.0,11.180339887498947,12.041594578792296,12.5,53.0,44.0,52.08646657242167,"{'smile': ['m3', 'm12']}"
