video_id,frame_seq,time_seconds,time_datetime,instance_ref,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
5,0,0.0,0:00:00,0,"(615.0921636882483, 465.8686210183182)","(613.2723643873954, 522.2823993447552)","(611.4525650865427, 578.6961776711921)","(613.2723643873954, 635.1099559976292)","(627.8307587942179, 686.0643364215077)","(656.9475476078628, 727.9197203411222)","(698.8029315274773, 760.6761077564727)","(747.9375126505031, 784.3334986675592)","(804.35129097694, 798.8918930743816)","(858.9452700025242, 798.8918930743816)","(904.4402525238444, 780.6939000658535)","(937.1966399391948, 749.7573119513559)","(959.0342315494286, 707.9019280317414)","(975.4124252571038, 664.226744811274)","(989.9708196639262, 620.5515615908067)","(1000.8896154690431, 575.0565790694866)","(1009.9886119733071, 529.5615965481664)","(704.2623294300357, 438.57163150552617)","(737.0187168453863, 420.37363849699807)","(773.4147028624424, 416.7340398952925)","(807.9908895786457, 427.6528357004093)","(842.567076294849, 442.21123010723176)","(898.980854621286, 451.3102266114958)","(928.0976434349309, 444.0310294080846)","(959.0342315494286, 445.85082870893734)","(982.691622460515, 458.589423814907)","(993.6104182656319, 489.5260119294047)","(864.4046679050826, 480.42701542514067)","(862.5848686042299, 511.36360353963835)","(860.765069303377, 542.300191654136)","(857.1254707016715, 576.8763783703394)","(802.5314916760873, 593.2545720780146)","(824.3690832863209, 604.1733678831315)","(846.2066748965545, 615.0921636882483)","(868.0442665067883, 613.2723643873954)","(886.2422595153163, 609.6327657856899)","(742.4781147479447, 473.14781822172944)","(766.1355056590312, 465.8686210183182)","(784.3334986675592, 467.68842031917103)","(800.7116923752344, 478.60721612428785)","(782.5136993667064, 476.7874168234351)","(764.3157063581783, 474.96761752258226)","(900.8006539221387, 494.9854098319631)","(922.6382455323725, 491.3458112302575)","(940.8362385409005, 494.9854098319631)","(953.5748336468702, 507.72400493793276)","(937.1966399391948, 504.0844063362271)","(918.9986469306668, 498.6250084336687)","(751.5771112522087, 658.7673469087156)","(786.1532979684121, 651.4881497053044)","(815.2700867820569, 651.4881497053044)","(835.2878790914377, 662.4069455104212)","(855.3056714008186, 662.4069455104212)","(873.5036644093467, 673.325741315538)","(895.3412560195803, 689.7039350232133)","(866.2244672059354, 704.2623294300357)","(842.567076294849, 702.442530129183)","(822.5492839854682, 698.8029315274773)","(800.7116923752344, 691.5237343240661)","(777.054301464148, 680.6049385189493)","(762.4959070573256, 660.5871462095685)","(811.6304881803513, 660.5871462095685)","(831.6482804897322, 667.8663434129796)","(851.666072799113, 671.5059420146853)","(886.2422595153163, 687.8841357223605)","(848.0264741974074, 686.0643364215077)","(828.0086818880266, 682.4247378198021)","(807.9908895786457, 676.9653399172437)"
5,1,0.0333666666666666,0:00:00.033367,0,"(624.3394823746485, 473.76348956664503)","(620.6668971842093, 528.8522674232316)","(616.9943119937702, 583.9410452798182)","(618.8306045889898, 639.029823136405)","(631.6846527555267, 690.4460158025524)","(659.22904168382, 734.5170380878218)","(701.4637713738698, 769.4065973969933)","(751.0436714447977, 793.2784011348475)","(806.1324493013843, 806.1324493013843)","(863.0575197531906, 807.9687418966039)","(910.801127228899, 789.6058159444084)","(945.6906865380705, 758.388841825676)","(969.5624902759247, 716.1541121356262)","(986.0891236329007, 673.9193824455765)","(998.9431717994376, 628.0120675650876)","(1011.7972199659745, 582.1047526845987)","(1019.1423903468527, 538.0337303993294)","(712.481526945187, 442.5465154479126)","(743.6985010639195, 424.18358949571706)","(780.4243529683106, 422.3472969004975)","(817.1502048727017, 431.5287598765953)","(850.2034715866537, 446.21910063835173)","(907.1285420384598, 453.5642710192299)","(936.5092235619727, 448.0553932335713)","(965.8899050854856, 449.8916858287908)","(991.5980014185593, 464.58202659054723)","(1000.7794643946571, 493.96270811406015)","(872.2389827292883, 482.9449525427428)","(870.4026901340687, 515.9982192566948)","(866.7301049436296, 547.2151933754272)","(864.8938123484102, 582.1047526845987)","(809.8050344918234, 598.6313860415747)","(830.0042530392386, 607.8128490176725)","(852.0397641818732, 618.8306045889898)","(874.0752753245079, 618.8306045889898)","(894.274493871923, 615.1580193985507)","(751.0436714447977, 477.43607475708416)","(773.0791825874323, 470.0909043762059)","(791.442108539628, 471.9271969714255)","(807.9687418966039, 482.9449525427428)","(789.6058159444084, 479.2723673523037)","(769.4065973969933, 477.43607475708416)","(908.9648346336794, 499.4715858997188)","(929.1640531810945, 493.96270811406015)","(947.5269791332901, 499.4715858997188)","(962.2173198950464, 512.3256340662557)","(945.6906865380705, 506.816756280597)","(927.327760585875, 503.1441710901579)","(758.388841825676, 666.5742120646983)","(793.2784011348475, 655.5564564933809)","(822.6590826583604, 655.5564564933809)","(842.8583012057754, 666.5742120646983)","(861.221227157971, 666.5742120646983)","(881.4204457053861, 679.4282602312351)","(903.4559568480207, 697.7911861834307)","(872.2389827292883, 710.6452343499675)","(848.3671789914341, 710.6452343499675)","(828.1679604440191, 705.1363565643089)","(806.1324493013843, 699.6274787786502)","(782.2606455635301, 688.6097232073329)","(767.5703048017738, 666.5742120646983)","(818.9864974679213, 666.5742120646983)","(839.1857160153363, 673.9193824455765)","(859.3849345627515, 675.7556750407961)","(892.4382012767035, 694.1186009929916)","(853.8760567770928, 692.282308397772)","(833.6768382296776, 690.4460158025524)","(813.4776196822626, 683.1008454216742)"
5,2,0.0667333333333332,0:00:00.066733,0,"(594.987390707098, 455.094522058703)","(593.2165949014221, 508.21839622897954)","(589.6750032900703, 561.3422703992562)","(593.2165949014221, 612.6953487638569)","(607.3829613468292, 662.2776313227818)","(635.7156942376434, 704.7767306590031)","(678.2147935738648, 736.651055161169)","(724.2554845214378, 761.4421964406314)","(779.1501544973903, 773.8377670803626)","(832.2740286676669, 775.6085628860385)","(876.543923809564, 759.6714006349555)","(911.9598399230817, 731.3386677441413)","(934.9801853968684, 690.610364213596)","(952.6881434536272, 649.8820606830506)","(966.8545098990343, 607.3829613468292)","(981.0208763444414, 563.113066204932)","(989.8748553728208, 518.8431710630349)","(683.5271809908924, 428.53258497356467)","(711.8599138817066, 405.5122394997781)","(750.8174216065761, 401.97064788842636)","(788.0041335257697, 410.82462691680576)","(823.4200496392874, 426.76178916788876)","(876.543923809564, 435.6157681962682)","(910.189044117406, 428.53258497356467)","(942.0633686195719, 428.53258497356467)","(972.166897316062, 446.2405430303235)","(981.0208763444414, 479.8856633381654)","(844.6695993073981, 465.7192968927583)","(842.8988035017222, 495.82282558924834)","(839.3572118903704, 525.9263542857384)","(837.5864160846945, 559.5714745935803)","(782.691746108742, 575.5086368446633)","(803.9412957768527, 586.1334116787186)","(825.1908454449633, 596.7581865127739)","(846.440395113074, 596.7581865127739)","(865.9191489755087, 591.4457990957462)","(724.2554845214378, 456.8653178643788)","(747.2758299952243, 449.78213464167527)","(766.7545838576591, 451.5529304473512)","(784.4625419144179, 463.9485010870824)","(764.9837880519832, 462.17770528140653)","(743.7342383838725, 460.40690947573063)","(880.0855154209158, 479.8856633381654)","(901.3350650890264, 474.57327592113774)","(920.8138189514613, 478.1148675324895)","(934.9801853968684, 492.2812339778966)","(917.2722273401095, 490.5104381722207)","(897.7934734776748, 485.19805075519304)","(731.3386677441413, 639.2572858489953)","(766.7545838576591, 630.4033068206157)","(795.0873167484733, 630.4033068206157)","(814.566070610908, 641.028081654671)","(834.0448244733428, 641.028081654671)","(853.5235783357775, 653.4236522944022)","(874.7731280038881, 669.3608145454853)","(844.6695993073981, 679.9855893795406)","(821.6492538336115, 676.4439977681889)","(802.1704999711768, 672.9024061568371)","(780.9209503030662, 665.8192229341336)","(756.1298090236038, 656.965243905754)","(741.9634425781967, 639.2572858489953)","(791.5457251371215, 639.2572858489953)","(812.7952748052321, 646.3404690716987)","(832.2740286676669, 649.8820606830506)","(864.1483531698328, 665.8192229341336)","(826.9616412506392, 662.2776313227818)","(807.4828873882045, 658.73603971143)","(786.2333377200938, 653.4236522944022)"
5,3,0.1000999999999998,0:00:00.100100,0,"(598.8710933964105, 459.4324507548582)","(597.0834184907496, 514.8503728303469)","(595.2957435850886, 570.2682949058357)","(597.0834184907496, 623.8985420756635)","(611.384817736037, 673.9534394341695)","(641.7752911322727, 715.0699622643707)","(688.2548386794568, 745.4604356606065)","(738.3097360379628, 768.7002094341985)","(795.5153330191125, 779.4262588681642)","(849.1455801889402, 779.4262588681642)","(895.6251277361243, 763.3371847172158)","(929.590950943682, 734.7343862266409)","(951.0430498116131, 691.8301884907787)","(965.3444490569005, 650.7136656605774)","(977.858173396527, 607.8094679247151)","(986.7965479248317, 564.9052701888529)","(993.9472475474754, 522.0010724529907)","(691.8301884907787, 430.82965226428337)","(722.2206618870144, 409.37755339635225)","(761.5495098115549, 405.8022035850304)","(799.0906828304343, 416.52825301899594)","(834.8441809436529, 432.6173271699443)","(886.6867532078197, 439.768026792588)","(917.0772266040555, 432.6173271699443)","(947.4677000002913, 432.6173271699443)","(972.4951486795443, 446.91872641523173)","(981.4335232078489, 477.30919981146747)","(856.296279811584, 466.5831503775019)","(854.5086049059231, 498.7612986793986)","(852.7209300002621, 529.1517720756343)","(850.9332550946012, 561.329920377531)","(795.5153330191125, 577.4189945284794)","(815.1797569813826, 588.1450439624449)","(836.6318558493138, 598.8710933964105)","(858.0839547172449, 598.8710933964105)","(875.9607037738542, 595.2957435850886)","(734.7343862266409, 461.22012566051916)","(756.186485094572, 454.0694260378754)","(775.8509090568423, 455.85710094353635)","(791.9399832077906, 466.5831503775019)","(774.0632341511813, 466.5831503775019)","(754.3988101889112, 463.00780056618004)","(888.4744281134807, 482.6722245284503)","(909.9265269814118, 475.52152490580653)","(929.590950943682, 479.0968747171284)","(942.1046752833084, 495.18594886807676)","(926.0156011323601, 491.6105990567549)","(908.1388520757508, 488.035249245433)","(743.6727607549456, 641.7752911322727)","(779.4262588681642, 632.8369166039681)","(808.029057358739, 632.8369166039681)","(825.9058064153483, 643.5629660379337)","(845.5702303776184, 643.5629660379337)","(863.4469794342277, 656.0766903775602)","(884.8990783021588, 673.9534394341695)","(854.5086049059231, 681.1041390568131)","(831.268831132331, 677.5287892454913)","(813.3920820757218, 672.1657645285085)","(793.7276581134515, 665.0150649058648)","(768.7002094341985, 657.8643652832211)","(754.3988101889112, 641.7752911322727)","(804.4537075474171, 643.5629660379337)","(824.1181315096873, 650.7136656605774)","(841.9948805662966, 654.2890154718992)","(875.9607037738542, 670.3780896228476)","(836.6318558493138, 663.2273900002039)","(818.7551067927045, 659.652040188882)","(799.0906828304343, 652.5013405662384)"
5,4,0.1334666666666664,0:00:00.133467,0,"(609.6203431382421, 459.0082583629117)","(607.827342129012, 512.7982886398154)","(604.2413401105517, 566.5883189167191)","(606.0343411197819, 622.171350202853)","(620.3783491936229, 670.5823774520663)","(652.6523673597651, 711.8214006643592)","(695.6843915812881, 744.0954188305014)","(744.0954188305014, 767.4044319504931)","(799.6784501166353, 779.9554390151039)","(853.4684803935389, 779.9554390151039)","(898.293505624292, 763.8184299320328)","(932.3605247996644, 735.1304137843508)","(955.669537919656, 693.891390572058)","(971.8065470027271, 652.6523673597651)","(984.357554067338, 609.6203431382421)","(996.9085611319489, 566.5883189167191)","(1004.0805651688694, 525.3492957044263)","(699.2703935997483, 430.3202422152297)","(729.7514107566604, 408.8042301044683)","(769.1974329597232, 405.218228086008)","(805.0574531443257, 415.9762341413888)","(839.1244723196979, 430.3202422152297)","(892.9145025966017, 441.07824827061046)","(925.1885207627439, 433.90624423368996)","(953.8765369104259, 433.90624423368996)","(980.7715520488778, 448.25025230753096)","(989.7365570950284, 480.5242704736732)","(860.6404844304594, 466.1802623998322)","(858.8474834212293, 498.45428056597444)","(857.0544824119992, 528.9352977228865)","(855.261481402769, 561.2093158890287)","(799.6784501166353, 577.3463249720999)","(821.1944622273968, 588.1043310274806)","(842.7104743381582, 598.8623370828614)","(864.2264864489197, 598.8623370828614)","(882.1564965412209, 595.2763350644011)","(740.5094168120412, 460.8012593721418)","(763.8184299320328, 453.62925533522133)","(781.7484400243341, 455.42225634445145)","(799.6784501166353, 466.1802623998322)","(781.7484400243341, 464.3872613906021)","(760.2324279135726, 462.59426038137195)","(894.7075036058318, 482.3172714829033)","(916.2235157165933, 476.93826845521295)","(934.1535258088945, 480.5242704736732)","(948.4975338827355, 494.8682785475142)","(930.5675237904343, 491.28227652905395)","(912.637513698133, 487.6962745105937)","(749.4744218581918, 641.8943613043843)","(783.5414410335642, 632.9293562582337)","(812.2294571812462, 634.7223572674638)","(830.1594672735474, 643.6873623136145)","(848.0894773658486, 645.4803633228446)","(867.8124884673799, 656.2383693782253)","(889.3285005781414, 674.1683794705266)","(858.8474834212293, 679.547382498217)","(835.5384703012378, 675.9613804797567)","(817.6084602089365, 670.5823774520663)","(797.8854491074052, 665.203374424376)","(774.5764359874136, 658.0313703874555)","(758.4394269043424, 641.8943613043843)","(808.6434551627859, 643.6873623136145)","(828.3664662643173, 649.0663653413048)","(844.5034753473883, 652.6523673597651)","(878.5704945227607, 670.5823774520663)","(840.917473328928, 663.4103734151458)","(822.9874632366269, 659.8243713966856)","(805.0574531443257, 654.4453683689952)"
5,5,0.166833333333333,0:00:00.166833,0,"(591.5866541438751, 444.1288531109804)","(589.8312041315787, 498.54780349216776)","(588.0757541192824, 551.2113038610587)","(588.0757541192824, 605.630254242246)","(603.8748042299496, 656.5383045988407)","(633.7174544389878, 696.9136548816571)","(681.1146047709898, 726.7563050906953)","(728.5117551029916, 751.3326052628444)","(782.9307054841789, 763.6207553489189)","(835.5942058530699, 765.3762053612153)","(881.2359061727753, 749.577155250548)","(914.5894564064064, 721.4899550538062)","(937.4103065662591, 681.1146047709898)","(956.7202567015191, 640.7392544881734)","(970.76385679989, 596.8530041807642)","(979.5411068613719, 551.2113038610587)","(986.5629069105573, 507.3250535536496)","(682.8700547832862, 419.5525529388313)","(710.957254980028, 400.2426028035713)","(749.577155250548, 394.9762527666822)","(786.4416055087717, 403.753502828164)","(819.7951557424026, 419.5525529388313)","(877.7250061481826, 428.3298030003131)","(907.5676563572209, 423.063452963424)","(935.6548565539628, 423.063452963424)","(961.9866067384082, 438.8625030740913)","(970.76385679989, 468.70515328312956)","(844.3714559145517, 454.66155318475865)","(842.6160059022553, 486.2596534060932)","(840.860555889959, 516.1023036151314)","(839.1051058776626, 549.4558538487623)","(784.6861554964753, 563.4994539471332)","(805.7515556440317, 574.0321540209114)","(826.816955791588, 586.320304106986)","(847.8823559391444, 584.5648540946896)","(865.4368560621081, 581.0539540700969)","(723.2454050661025, 449.39520314786955)","(746.0662552259553, 440.6179530863877)","(765.3762053612153, 442.37340309868404)","(782.9307054841789, 454.66155318475865)","(763.6207553489189, 452.9061031724623)","(744.3108052136589, 451.1506531601659)","(877.7250061481826, 470.4606032954259)","(897.0349562834427, 463.43880324624047)","(916.3449064187027, 468.70515328312956)","(932.14395652937, 482.7487533815005)","(914.5894564064064, 479.23785335690775)","(895.2795062711463, 475.726953332315)","(733.7781051398807, 626.6956543898024)","(768.887105385808, 617.9184043283205)","(796.9743055825498, 619.6738543406169)","(816.2842557178099, 628.4511044020987)","(835.5942058530699, 630.2065544143951)","(853.1487059760335, 640.7392544881734)","(875.9695561358863, 658.293754611137)","(846.126905926848, 667.0710046726189)","(821.550605754699, 663.5601046480261)","(803.9961056317353, 658.293754611137)","(782.9307054841789, 653.027404574248)","(760.1098553243262, 644.2501545127661)","(744.3108052136589, 628.4511044020987)","(795.2188555702535, 628.4511044020987)","(812.7733556932171, 635.4729044512842)","(832.0833058284771, 638.9838044758769)","(867.1923060744044, 654.7828545865443)","(826.816955791588, 651.2719545619516)","(809.2624556686244, 647.7610545373589)","(789.9525055333644, 640.7392544881734)"
5,6,0.2001999999999996,0:00:00.200200,0,"(594.987390707098, 448.0113388359994)","(594.987390707098, 502.9060088119519)","(591.4457990957462, 557.8006787879044)","(593.2165949014221, 612.6953487638569)","(607.3829613468292, 662.2776313227818)","(639.2572858489953, 703.0059348533272)","(687.0687726022442, 731.3386677441413)","(736.651055161169, 756.1298090236038)","(791.5457251371215, 768.525379663335)","(844.6695993073981, 770.2961754690108)","(890.7102902549711, 754.3590132179279)","(926.1262063684889, 726.0262803271137)","(949.1465518422755, 687.0687726022442)","(966.8545098990343, 646.3404690716987)","(979.2500805387655, 602.0705739298015)","(986.3332637614691, 556.0298829822285)","(989.8748553728208, 511.75998784033135)","(690.610364213596, 424.99099336221286)","(718.9430971044101, 403.74144369410226)","(756.1298090236038, 398.42905627707455)","(795.0873167484733, 407.283035305454)","(828.7324370563151, 421.4494017508611)","(885.3979028379435, 432.0741765849164)","(915.5014315344336, 424.99099336221286)","(945.6049602309237, 426.76178916788876)","(970.3961015103861, 440.92815561329587)","(979.2500805387655, 471.03168430978593)","(853.5235783357775, 460.40690947573063)","(851.7527825301016, 490.5104381722207)","(851.7527825301016, 520.6139668687108)","(849.9819867244257, 552.4882913708767)","(793.3165209427974, 568.4254536219597)","(814.566070610908, 579.050228456015)","(837.5864160846945, 591.4457990957462)","(858.8359657528052, 589.6750032900703)","(876.543923809564, 584.3626158730427)","(729.5678719384655, 453.3237262530271)","(752.588217412252, 444.4697472246476)","(773.8377670803626, 446.2405430303235)","(791.5457251371215, 458.6361136700547)","(772.0669712746867, 456.8653178643788)","(750.8174216065761, 455.094522058703)","(887.1686986436193, 474.57327592113774)","(908.41824831173, 467.4900926984342)","(929.6677979798407, 472.80248011546183)","(942.0633686195719, 486.96884656086894)","(926.1262063684889, 483.42725494951713)","(906.6474525060542, 479.8856633381654)","(741.9634425781967, 633.9448984319675)","(779.1501544973903, 623.3201235979122)","(807.4828873882045, 625.0909194035881)","(825.1908454449633, 633.9448984319675)","(844.6695993073981, 635.7156942376434)","(862.3775573641569, 648.1112648773747)","(883.6271070322676, 664.0484271284577)","(853.5235783357775, 674.673201962513)","(830.503232861991, 671.1316103511612)","(811.0244789995562, 665.8192229341336)","(791.5457251371215, 660.5068355171059)","(766.7545838576591, 651.6528564887265)","(752.588217412252, 633.9448984319675)","(803.9412957768527, 633.9448984319675)","(823.4200496392874, 639.2572858489953)","(841.1280076960463, 644.5696732660228)","(873.0023321982122, 662.2776313227818)","(835.8156202790186, 656.965243905754)","(816.3368664165839, 653.4236522944022)","(798.628908359825, 648.1112648773747)"
5,7,0.2335666666666662,0:00:00.233567,0,"(606.4398289657181, 457.9604608118697)","(604.6509209156717, 513.4166103633071)","(602.8620128656254, 568.8727599147444)","(602.8620128656254, 622.5400014161354)","(617.1732772659963, 672.6294268174336)","(649.3736221668308, 713.7743119685)","(697.6741395180827, 742.3968407692419)","(749.5524729694274, 767.441553469891)","(806.797530570911, 778.1750017701693)","(862.2536801223484, 778.1750017701693)","(906.9763813735076, 760.2859212697056)","(942.7545423744349, 731.6633924689637)","(964.2214389749913, 690.5185073178973)","(978.5327033753622, 647.5847141167845)","(989.2661516756405, 604.6509209156717)","(996.4217838758259, 559.9282196645125)","(1001.7885080259649, 518.7833345134461)","(699.4630475681291, 431.1268400611742)","(728.085576368871, 407.87103541057144)","(769.2304615199374, 402.50431126043236)","(806.797530570911, 413.2377595607106)","(842.5756915718384, 427.5490239610815)","(896.2429330732293, 436.4935642113133)","(926.6543699240176, 429.33793201112786)","(957.0658067748058, 431.1268400611742)","(983.8994275255013, 445.43810446154515)","(992.8439677757332, 474.060633262287)","(865.8314962224412, 465.11609301205516)","(864.0425881723947, 495.5275298628434)","(862.2536801223484, 525.9389667136317)","(862.2536801223484, 559.9282196645125)","(803.2197144708183, 574.2394840648835)","(824.6866110713747, 584.9729323651617)","(847.9424157219775, 597.4952887154863)","(869.4093123225339, 595.7063806654398)","(887.2983928229976, 592.1285645653471)","(740.6079327191956, 459.7493688619161)","(762.0748293197519, 450.80482861168423)","(783.5417259203083, 452.5937366617306)","(801.430806420772, 465.11609301205516)","(781.752817870262, 463.3271849620088)","(760.2859212697056, 461.53827691196244)","(898.0318411232757, 481.21626546247245)","(921.2876457738785, 474.060633262287)","(939.1767262743422, 477.63844936237973)","(953.487990674713, 491.94971376275066)","(937.3878182242958, 488.37189766265794)","(917.7098296737857, 484.79408156256517)","(747.763564919381, 638.6401738665527)","(785.3306339703547, 629.6956336163208)","(813.9531627710966, 631.4845416663672)","(833.6311513216066, 640.429081916599)","(855.098047922163, 642.2179899666454)","(874.776036472673, 654.74034631697)","(896.2429330732293, 672.6294268174336)","(865.8314962224412, 677.9961509675727)","(840.786783521792, 674.41833486748)","(821.108794971282, 670.8405187673873)","(799.6418983707256, 663.6848865672018)","(774.5971856700764, 656.5292543670163)","(758.4970132196592, 640.429081916599)","(812.1642547210502, 638.6401738665527)","(831.8422432715602, 647.5847141167845)","(851.5202318220702, 649.3736221668308)","(885.5094847729512, 669.0516107173408)","(846.1535076719312, 660.1070704671091)","(826.4755191214211, 656.5292543670163)","(805.0086225208647, 651.1625302168773)"
5,8,0.2669333333333328,0:00:00.266933,0,"(610.8950026011127, 454.16392321657065)","(609.1139676081066, 511.15704299276774)","(609.1139676081066, 566.3691277759586)","(610.8950026011127, 619.8001775661435)","(623.3622475521558, 667.8881223773097)","(651.8588074402544, 710.6329622094576)","(696.3846822654083, 739.1295220975562)","(744.4726270765747, 762.2829770066362)","(801.4657468527718, 772.9691869646732)","(854.8967966429565, 772.9691869646732)","(901.2037064611167, 758.7209070206239)","(935.0433713282337, 728.4433121395192)","(958.1968262373138, 689.2605422933837)","(974.2261411743692, 648.296737454242)","(988.4744211184185, 605.5518976220942)","(997.3795960834493, 561.0260227969402)","(1006.2847710484801, 514.7191129787801)","(698.1657172584145, 425.6673633284721)","(728.4433121395192, 404.2949434123982)","(767.6260819856548, 400.7328734263859)","(805.027816838784, 409.63804839141665)","(838.8674817059011, 423.8863283354659)","(895.8606014820982, 432.79150330049674)","(926.138196363203, 427.44839832147824)","(956.4157912443076, 429.2294333144844)","(983.1313161394, 445.2587482515399)","(992.0364911044308, 475.53634313264456)","(863.8019716079873, 461.2880631885953)","(862.0209366149812, 491.5656580697)","(860.239901621975, 521.8432529508048)","(858.4588666289688, 555.6829178179217)","(801.4657468527718, 571.7122327549772)","(822.8381667688457, 582.3984427130141)","(845.9916216779258, 593.0846526710511)","(867.3640415939997, 591.3036176780449)","(885.1743915240612, 587.7415476920327)","(737.34848710455, 457.72599320258297)","(760.5019420136301, 448.8208182375522)","(783.6553969227101, 450.60185323055833)","(799.6847118597656, 464.8501331746076)","(781.874361929704, 461.2880631885953)","(758.7209070206239, 459.50702819558916)","(897.6416364751044, 479.0984131186569)","(920.7950913841844, 471.97427314663224)","(940.3864763072522, 475.53634313264456)","(952.8537212582953, 491.5656580697)","(938.605441314246, 488.0035880836877)","(917.2330213981721, 484.4415180976754)","(748.0346970625869, 637.6105274962051)","(785.4364319157163, 626.9243175381681)","(813.9329918038148, 628.7053525311743)","(833.5243767268826, 637.6105274962051)","(853.1157616499504, 639.3915624892112)","(872.7071465730181, 650.0777724472482)","(894.079566489092, 669.6691573703159)","(862.0209366149812, 673.2312273563283)","(838.8674817059011, 669.6691573703159)","(819.2760967828333, 664.3260523912975)","(797.9036768667594, 658.982947412279)","(774.7502219576794, 653.6398424332605)","(760.5019420136301, 637.6105274962051)","(810.3709218178026, 637.6105274962051)","(829.9623067408703, 644.7346674682298)","(849.553691663938, 646.5157024612358)","(883.3933565310551, 666.1070873843037)","(844.2105866849196, 653.6398424332605)","(824.6192017618519, 651.8588074402544)","(803.246781845778, 644.7346674682298)"
5,9,0.3002999999999994,0:00:00.300300,0,"(602.5314646249326, 451.4594355936084)","(600.7748131245684, 505.9156321048997)","(597.2615101238399, 560.371828616191)","(599.0181616242041, 614.8280251274823)","(614.8280251274823, 664.0142671376809)","(642.9344491333101, 706.1739031464225)","(685.0940851420517, 739.550281653343)","(730.7670241515218, 765.9000541588065)","(786.9798721631773, 779.9532661617204)","(841.4360686744686, 779.9532661617204)","(885.3523561835746, 760.6300996577138)","(918.728734690495, 730.7670241515218)","(945.0785071959585, 690.3640396431445)","(962.6450221996008, 648.2044036344028)","(976.6982342025148, 604.2881161252969)","(988.9947947050644, 558.6151771158268)","(997.7780522068856, 512.9422381063566)","(693.8773426438729, 419.8397085870522)","(721.9837666497007, 398.75989058268135)","(760.6300996577138, 393.48993608158867)","(797.5197811653627, 404.0298450837741)","(832.6528111726475, 418.083057086688)","(881.839053182846, 426.8663145885091)","(913.4587801894023, 421.59636008741643)","(945.0785071959585, 423.35301158778066)","(971.4282797014221, 439.16287509105877)","(980.2115372032432, 470.78260209761504)","(853.7326291770182, 451.4594355936084)","(850.2193261762898, 483.07916260016464)","(848.4626746759255, 512.9422381063566)","(846.7060231755613, 546.3186166132771)","(792.24982666427, 562.1284801165552)","(813.3296446686409, 574.4250406191048)","(834.4094626730117, 584.9649496212903)","(855.4892806773825, 583.2082981209261)","(874.8124471813891, 579.6949951201976)","(732.523675651886, 449.7027840932442)","(755.3601451566211, 442.6761780917873)","(774.6833116606277, 444.4328295921515)","(790.4931751639058, 454.9727385943369)","(772.9266601602635, 453.21608709397265)","(753.6034936562569, 451.4594355936084)","(887.1090076839388, 472.53925359797927)","(908.1888256883095, 465.5126475965223)","(927.5119921923161, 470.78260209761504)","(939.8085526948657, 484.8358141005289)","(923.9986891915877, 481.3225110998004)","(906.4321741879453, 476.0525565987077)","(739.550281653343, 627.1245856300319)","(776.439963160992, 618.3413281282108)","(804.5463871668197, 618.3413281282108)","(823.8695536708262, 628.8812371303961)","(844.9493716751971, 628.8812371303961)","(864.2725381792037, 641.1777976329458)","(887.1090076839388, 658.7443126365881)","(853.7326291770182, 662.2576156373167)","(829.139508171919, 656.9876611362239)","(808.0596901675482, 653.4743581354954)","(786.9798721631773, 646.4477521340385)","(764.1434026584423, 641.1777976329458)","(750.0901906555284, 627.1245856300319)","(801.0330841660913, 628.8812371303961)","(822.112902170462, 635.9078431318532)","(841.4360686744686, 639.4211461325816)","(876.5690986817533, 655.2310096358597)","(834.4094626730117, 644.6911006336743)","(815.0862961690051, 642.9344491333101)","(794.0064781646342, 635.9078431318532)"
