,frame_seq,video_id,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,label_measures,label_inf
0,0,20,0,0.0,2.0,53.009433122794285,8.0,11.0,16.0,15.0,14.0356688476182,35.0142828000232,24.020824298928627,23.0,24.0,25.0,10.5,10.5,1.5,2.5,7.071067811865476,7.0,7.5,24.0,19.0,19.026297590440446,{},{}
1,1,20,0,0.0333333333333333,2.0,53.009433122794285,8.0,11.0,16.0,15.0,14.0356688476182,35.0142828000232,24.020824298928627,23.0,24.0,25.0,10.5,10.5,1.5,2.5,7.071067811865476,7.0,7.5,24.0,19.0,19.026297590440446,{},{}
2,2,20,0,0.0666666666666666,1.0,53.009433122794285,9.055385138137416,10.04987562112089,15.0,16.0,14.0,34.058772731852805,24.020824298928627,23.5,24.0,25.0,10.5,9.5,1.5,2.5,7.071067811865476,7.071067811865476,7.0,24.0,19.0,16.0312195418814,{},{}
3,3,20,0,0.0999999999999999,1.0,53.03772242470448,9.0,10.04987562112089,14.0356688476182,15.033296378372908,14.0,34.0147027033899,24.0,23.5,24.0,26.0,11.0,9.0,2.0,2.0,8.06225774829855,7.0,7.0,24.0,19.0,17.029386365926403,{},{}
4,4,20,0,0.1333333333333332,2.0,50.00999900019995,8.0,9.055385138137416,14.0,14.0,16.0312195418814,35.05709628591621,26.019223662515376,25.0,26.0,27.0,10.5,8.5,1.5,2.5,7.0,7.0,7.5,24.0,20.0,17.0,{},{}
5,5,20,0,0.1666666666666665,2.0,53.009433122794285,8.06225774829855,10.0,14.0,15.0,17.0,37.01351104664349,27.018512172212592,26.0,27.0,28.0,10.5,9.5,1.5,2.5,7.0,7.071067811865476,7.5,25.0,20.0,20.024984394500787,{},{}
6,6,20,0,0.1999999999999998,2.0,51.03920062069938,7.0,11.04536101718726,14.0,14.0,18.027756377319943,38.05259518088089,27.018512172212592,26.0,27.0,29.0,10.0,10.0,2.0,3.0,8.06225774829855,8.0,8.0,25.0,18.0,19.1049731745428,{},{}
7,7,20,0,0.2333333333333331,3.0,51.0881590977792,7.071067811865476,10.04987562112089,14.0356688476182,15.0,17.0,37.05401462729781,27.018512172212592,25.5,26.0,29.0,10.5,9.5,1.5,3.5,8.0,7.0,7.5,26.0,19.0,20.024984394500787,{},{}
8,8,20,0,0.2666666666666664,4.123105625617661,50.08991914547278,7.0,10.04987562112089,14.0,15.0,17.029386365926403,38.11823710509184,28.0713376952364,26.0,27.0,30.0,11.5,9.5,1.5,4.5,9.055385138137416,9.0,9.0,26.0,19.0,23.08679276123039,{},{}
9,9,20,0,0.2999999999999997,1.0,50.15974481593781,7.071067811865476,10.04987562112089,15.033296378372908,14.0356688476182,18.027756377319943,36.12478373637688,26.0768096208106,25.5,27.0,31.0,11.0,7.0,4.0,4.0,8.06225774829855,8.0,8.0,26.0,19.0,21.02379604162864,{},{}
10,10,20,0,0.333333333333333,1.4142135623730951,53.150729063673246,7.0,10.04987562112089,15.033296378372908,16.0312195418814,17.11724276862369,35.22782990761707,25.179356624028344,24.5,25.0,29.0,10.0,8.0,3.0,3.0,8.06225774829855,8.0,8.0,26.0,19.0,23.08679276123039,{},{}
11,11,20,0,0.3666666666666663,1.0,50.24937810560445,6.082762530298219,9.055385138137416,13.038404810405298,14.0356688476182,18.027756377319943,34.132096331752024,25.079872407968907,24.5,25.0,30.0,9.5,6.5,3.5,3.5,8.06225774829855,8.06225774829855,8.5,26.0,18.0,20.09975124224178,{},{}
12,12,20,0,0.3999999999999997,2.0,51.15662224971465,6.0,9.055385138137416,14.0356688476182,15.033296378372908,18.110770276274835,35.12833614050059,26.0768096208106,25.0,25.0,29.0,9.0,8.0,2.0,3.0,8.06225774829855,8.0,8.0,25.0,17.0,19.026297590440446,{},{}
