video_id,frame_seq,gap,time_seconds,time_datetime,instance_ref,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
22,0,0,0.0,0:00:00,0,"(66.59419242720575, 133.1883848544115)","(67.92607627574986, 145.8412814155806)","(69.92390204856603, 157.82823605247762)","(73.25361166992633, 169.81519068937467)","(77.91520513983073, 181.13620340199964)","(85.24056630682337, 190.45939034180844)","(95.22969517090422, 197.11880958452903)","(106.5507078835292, 202.4463449787055)","(119.2036044446983, 203.11228690297756)","(131.19055908159532, 201.11446113016137)","(141.84562986994825, 195.7869257359849)","(151.83475873402912, 187.79562264472023)","(158.49417797674968, 177.80649378063936)","(162.48982952238202, 165.81953914374233)","(164.4876552951982, 153.83258450684528)","(166.4854810680144, 141.1796879456762)","(166.4854810680144, 128.5267913845071)","(72.58766974565427, 121.20143021751447)","(79.24708898837484, 114.5420109747939)","(88.57027592818365, 112.54418520197773)","(98.55940479226452, 113.21012712624977)","(107.21664980780126, 115.873894823338)","(124.53113983887476, 115.873894823338)","(133.1883848544115, 112.54418520197773)","(142.51157179422032, 110.54635942916155)","(151.83475873402912, 111.87824327770566)","(159.16011990102174, 116.53983674761007)","(116.53983674761007, 128.5267913845071)","(117.20577867188213, 137.18403640004385)","(117.87172059615418, 146.50722333985266)","(118.53766252042624, 155.1644683553894)","(108.54853365634538, 161.82388759811)","(113.21012712624977, 163.1557714466541)","(117.87172059615418, 163.82171337092615)","(122.53331406605858, 162.48982952238202)","(127.19490753596298, 161.15794567383793)","(82.57679860973514, 131.8565010058674)","(88.57027592818365, 127.86084946023504)","(95.89563709517628, 127.86084946023504)","(102.55505633789686, 132.52244293013945)","(95.89563709517628, 134.52026870295563)","(88.57027592818365, 135.18621062722767)","(130.52461715732326, 131.19055908159532)","(137.18403640004385, 126.52896561169094)","(144.50939756703647, 125.86302368741887)","(150.502874885485, 129.19273330877917)","(145.17533949130853, 132.52244293013945)","(137.8499783243159, 133.1883848544115)","(101.22317248935275, 175.8086680078232)","(107.88259173207332, 172.4789583864629)","(113.87606905052183, 170.48113261364674)","(117.87172059615418, 171.1470745379188)","(122.53331406605858, 169.81519068937467)","(128.5267913845071, 171.81301646219083)","(134.52026870295563, 175.14272608355114)","(128.5267913845071, 179.13837762918348)","(122.53331406605858, 181.8021453262717)","(117.87172059615418, 182.46808725054376)","(113.87606905052183, 181.8021453262717)","(107.88259173207332, 180.4702614777276)","(103.88694018644098, 175.8086680078232)","(113.87606905052183, 175.8086680078232)","(117.87172059615418, 175.8086680078232)","(122.53331406605858, 175.14272608355114)","(131.8565010058674, 175.14272608355114)","(122.53331406605858, 175.14272608355114)","(117.87172059615418, 176.47460993209523)","(113.87606905052183, 175.8086680078232)"
22,1,0,0.0333333333333333,0:00:00.033333,0,"(67.01756593068862, 134.03513186137724)","(68.3579172493024, 146.76846938820808)","(70.36844422722305, 158.83163125573205)","(73.0491468644506, 170.894793123256)","(78.41055213890569, 182.28777933147305)","(85.78248439128144, 191.67023856176948)","(96.50529494019162, 198.37199515483832)","(107.89828114840869, 203.73340042929343)","(119.96144301593264, 204.40357608860032)","(132.0246048834566, 202.39304911067964)","(142.74741543236678, 196.36146817691767)","(152.80005032197008, 188.9895359245419)","(159.50180691503894, 178.26672537563175)","(163.52286087088024, 166.87373916741467)","(165.5333878488009, 154.14040164058383)","(167.54391482672156, 142.0772397730599)","(166.87373916741467, 128.67372658692216)","(73.71932252375748, 120.63161867523952)","(80.42107911682635, 114.60003774147755)","(89.80353834712275, 112.58951076355689)","(99.18599757741916, 113.92986208217066)","(107.89828114840869, 116.61056471939821)","(125.99302394969462, 116.61056471939821)","(134.03513186137724, 113.25968642286378)","(142.74741543236678, 111.24915944494312)","(151.4596990033563, 111.91933510425001)","(158.83163125573205, 115.94038906009132)","(117.28074037870509, 129.34390224622905)","(117.95091603801198, 138.05618581721856)","(118.62109169731886, 146.76846938820808)","(119.29126735662575, 155.48075295919762)","(109.23863246702246, 162.85268521157334)","(113.92986208217066, 164.19303653018713)","(118.62109169731886, 164.86321218949402)","(123.31232131246708, 163.52286087088024)","(128.00355092761527, 162.18250955226648)","(82.43160609474701, 132.69478054276348)","(88.46318702850898, 128.67372658692216)","(95.83511928088474, 128.67372658692216)","(103.20705153326048, 133.36495620207037)","(96.50529494019162, 135.37548317999102)","(88.46318702850898, 136.04565883929791)","(131.3544292241497, 132.0246048834566)","(137.38601015791167, 127.33337526830839)","(144.75794241028743, 126.6631996090015)","(150.7895233440494, 129.34390224622905)","(145.42811806959432, 133.36495620207037)","(138.05618581721856, 134.03513186137724)","(101.19652455533982, 176.92637405701797)","(108.56845680771558, 172.90532010117664)","(114.60003774147755, 170.894793123256)","(118.62109169731886, 172.23514444186978)","(122.64214565316018, 170.894793123256)","(128.67372658692216, 172.90532010117664)","(135.37548317999102, 175.5860227384042)","(129.34390224622905, 180.2772523535524)","(123.31232131246708, 182.95795499077994)","(118.62109169731886, 183.62813065008683)","(114.60003774147755, 183.62813065008683)","(108.56845680771558, 181.61760367216618)","(104.54740285187425, 176.92637405701797)","(114.60003774147755, 176.25619839771107)","(118.62109169731886, 176.92637405701797)","(122.64214565316018, 176.25619839771107)","(132.69478054276348, 175.5860227384042)","(123.31232131246708, 176.25619839771107)","(118.62109169731886, 176.92637405701797)","(114.60003774147755, 176.25619839771107)"
22,2,0,0.0666666666666666,0:00:00.066667,0,"(65.88151980074139, 133.75944929241433)","(67.21245959469576, 146.40337733498086)","(70.53980907958169, 158.3818354805702)","(73.20168866749043, 170.36029362615955)","(78.52544784330792, 181.00781197779452)","(85.84561671005696, 190.32439053547512)","(96.49313506169193, 196.97908950524698)","(107.8061233103041, 202.30284868106446)","(119.78458145589344, 202.96831857804165)","(131.76303960148277, 200.3064389901329)","(142.41055795311775, 194.31720991733823)","(151.72713651079835, 186.9970410505892)","(158.3818354805702, 176.34952269895422)","(162.37465486243332, 165.03653445034206)","(164.37106455336487, 152.39260640777553)","(165.70200434731925, 140.4141482621862)","(165.70200434731925, 127.77022021961967)","(72.53621877051324, 120.45005135287063)","(79.1909177402851, 113.79535238309877)","(88.5074962979657, 111.79894269216722)","(97.8240748556463, 112.4644125891444)","(107.14065341332692, 115.12629217705314)","(124.44287073473375, 115.12629217705314)","(132.42850949845996, 111.13347279519003)","(141.74508805614056, 109.13706310425847)","(150.39619671684397, 110.46800289821284)","(158.3818354805702, 115.12629217705314)","(115.79176207403033, 127.77022021961967)","(116.45723197100752, 136.42132888032307)","(117.1227018679847, 145.73790743800367)","(117.78817176496189, 154.3890160987071)","(108.47159320728129, 161.04371506847895)","(113.12988248612159, 162.37465486243332)","(117.78817176496189, 163.7055946563877)","(123.11193094077937, 161.70918496545613)","(127.10475032264249, 160.37824517150176)","(81.85279732819384, 131.0975697045056)","(87.84202640098852, 127.77022021961967)","(95.16219526773756, 127.10475032264249)","(101.81689423750942, 131.76303960148277)","(95.16219526773756, 133.75944929241433)","(87.84202640098852, 134.42491918939152)","(129.76662991055122, 130.4320998075284)","(136.42132888032307, 125.77381052868812)","(143.74149774707212, 125.10834063171093)","(149.7307268198668, 128.43569011659685)","(144.4069676440493, 131.76303960148277)","(137.08679877730026, 131.76303960148277)","(101.15142434053223, 175.01858290499985)","(107.8061233103041, 171.69123342011392)","(113.79535238309877, 169.02935383220517)","(117.78817176496189, 170.36029362615955)","(121.780991146825, 169.02935383220517)","(127.77022021961967, 171.02576352313673)","(133.75944929241433, 174.35311300802266)","(128.43569011659685, 178.34593238988577)","(122.44646104380219, 181.00781197779452)","(118.45364166193907, 181.6732818747717)","(113.79535238309877, 181.00781197779452)","(107.8061233103041, 179.01140228686296)","(103.81330392844099, 175.01858290499985)","(113.79535238309877, 175.01858290499985)","(117.78817176496189, 175.01858290499985)","(122.44646104380219, 174.35311300802266)","(131.0975697045056, 174.35311300802266)","(122.44646104380219, 174.35311300802266)","(117.78817176496189, 175.01858290499985)","(113.79535238309877, 175.01858290499985)"
22,3,0,0.0999999999999999,0:00:00.100000,0,"(65.90633310873656, 133.1441072903769)","(67.23777418164033, 145.7927974829627)","(69.90065632744788, 157.77576713909664)","(73.22925900970729, 169.09301625877868)","(77.8893027648705, 180.4102653784607)","(85.21222866584122, 189.73035288878708)","(95.86375724907137, 197.05327878975783)","(107.1810063687534, 201.713322544921)","(119.82969656133922, 203.04476361782477)","(131.81266621747312, 200.38188147201723)","(142.4641948007033, 194.39039664395028)","(152.45000284748156, 186.40175020652765)","(159.1072082120004, 176.4159421597494)","(163.1015314307117, 165.09869304006736)","(164.43297250361547, 152.45000284748156)","(166.43013411297113, 140.46703319134764)","(165.76441357651925, 127.81834299876182)","(72.5635384732554, 120.49541709779109)","(79.22074383777425, 113.83821173327225)","(88.54083134810064, 111.8410501239166)","(97.86091885842703, 112.50677066036849)","(107.1810063687534, 115.16965280617602)","(123.82401978005052, 114.50393226972413)","(132.478386753925, 111.17532958746472)","(141.13275372779952, 109.17816797810906)","(150.4528412381259, 110.50960905101283)","(158.4414876755485, 115.16965280617602)","(115.8353733426279, 127.81834299876182)","(116.50109387907979, 136.47270997263632)","(117.16681441553168, 145.1270769465108)","(118.49825548843545, 154.4471644568372)","(107.84672690520529, 161.10436982135604)","(113.17249119682037, 162.43581089425982)","(117.83253495198356, 163.1015314307117)","(123.15829924359863, 161.77009035780793)","(127.15262246230994, 159.77292874845227)","(81.8836259835818, 131.14694568102124)","(87.87511081164875, 127.81834299876182)","(95.19803671261948, 127.15262246230994)","(101.85524207713833, 131.81266621747312)","(95.19803671261948, 133.80982782682878)","(87.87511081164875, 134.47554836328067)","(129.8155046081175, 130.48122514456935)","(136.47270997263632, 125.15546085295429)","(143.79563587360707, 125.15546085295429)","(149.787120701674, 127.81834299876182)","(144.46135641005893, 131.81266621747312)","(137.1384305090882, 131.81266621747312)","(100.52380100423456, 175.08450108684562)","(107.1810063687534, 171.7558984045862)","(113.17249119682037, 169.09301625877868)","(117.83253495198356, 170.42445733168245)","(122.49257870714675, 169.09301625877868)","(128.48406353521372, 171.09017786813433)","(134.47554836328067, 173.75306001394185)","(128.48406353521372, 178.41310376910505)","(123.15829924359863, 180.4102653784607)","(117.83253495198356, 181.0759859149126)","(113.83821173327225, 181.0759859149126)","(107.84672690520529, 179.07882430555694)","(103.85240368649399, 175.08450108684562)","(113.17249119682037, 174.41878055039373)","(117.83253495198356, 175.08450108684562)","(122.49257870714675, 174.41878055039373)","(131.81266621747312, 173.75306001394185)","(122.49257870714675, 173.75306001394185)","(117.83253495198356, 175.08450108684562)","(113.17249119682037, 174.41878055039373)"
22,4,0,0.1333333333333332,0:00:00.133333,0,"(65.8538204185362, 133.0380210475479)","(67.18420062901167, 145.6766330470649)","(69.84496104996263, 157.65005494134422)","(73.17091157615133, 169.62347683562353)","(78.49243241805324, 180.9317086246651)","(85.80952357566838, 189.5791799927557)","(96.45256525947221, 196.89627115037086)","(107.76079704851378, 201.55260188703502)","(120.39940904803083, 202.21779199227277)","(132.37283094231015, 199.5570315713218)","(143.01587262611397, 193.57032062418216)","(152.32853409944232, 186.25322946656703)","(158.9804351518197, 175.6101877827632)","(162.97157578324615, 164.30195599372163)","(164.30195599372163, 151.66334399420458)","(165.63233620419712, 139.68992209992527)","(165.63233620419712, 126.38611999517047)","(72.50572147091358, 119.73421894279309)","(79.15762252329098, 113.74750799565344)","(88.47028399661933, 111.08674757470247)","(97.78294546994769, 111.75193767994021)","(106.4304168380383, 114.41269810089118)","(124.39054967945727, 114.41269810089118)","(132.37283094231015, 110.42155746946473)","(141.6854924156385, 108.42598715375152)","(150.3329637837291, 109.75636736422699)","(157.65005494134422, 114.41269810089118)","(115.74307831136665, 127.05131010040822)","(116.40826841660439, 136.36397157373656)","(117.07345852184213, 145.01144294182717)","(118.40383873231761, 153.6589143099178)","(108.42598715375152, 160.3108153622952)","(113.0823178904157, 161.64119557277067)","(118.40383873231761, 162.97157578324615)","(123.06016946898178, 160.97600546753293)","(127.05131010040822, 159.64562525705745)","(81.81838294424195, 131.04245073183466)","(87.8050938913816, 127.05131010040822)","(95.12218504899673, 127.05131010040822)","(101.77408610137412, 131.04245073183466)","(95.78737515423447, 133.70321115278563)","(87.8050938913816, 134.36840125802334)","(129.71207052135918, 129.71207052135918)","(136.36397157373656, 125.055739784695)","(143.68106273135172, 124.39054967945727)","(149.66777367849136, 127.05131010040822)","(144.34625283658946, 131.04245073183466)","(137.0291616789743, 131.04245073183466)","(101.10889599613638, 174.94499767752546)","(107.76079704851378, 170.95385704609902)","(113.74750799565344, 168.29309662514805)","(117.73864862707987, 169.62347683562353)","(122.39497936374404, 168.29309662514805)","(128.3816903108837, 170.28866694086128)","(134.36840125802334, 173.61461746704998)","(128.3816903108837, 177.6057580984764)","(123.06016946898178, 180.26651851942736)","(118.40383873231761, 180.9317086246651)","(113.74750799565344, 180.9317086246651)","(107.76079704851378, 178.93613830895188)","(103.76965641708735, 174.94499767752546)","(113.74750799565344, 174.27980757228772)","(118.40383873231761, 174.27980757228772)","(122.39497936374404, 173.61461746704998)","(131.7076408370724, 173.61461746704998)","(122.39497936374404, 173.61461746704998)","(118.40383873231761, 174.94499767752546)","(113.74750799565344, 174.27980757228772)"
22,5,0,0.1666666666666665,0:00:00.166667,0,"(65.44676793865335, 132.2156928053603)","(66.76892486670695, 144.77618362186954)","(69.41323872281416, 156.67559597435195)","(72.71863104294816, 167.91392986280758)","(78.00725875516257, 179.1522637512632)","(85.27912185945739, 188.40736224763842)","(95.85637728388622, 195.67922535193324)","(107.09471117234185, 200.30677460012086)","(119.65520198885106, 200.96785306414765)","(131.5546143413335, 198.32353920804044)","(142.1318697657623, 192.37383303179922)","(152.04804672616433, 184.4408914634776)","(158.65883136643237, 173.8636360390488)","(161.96422368656636, 162.62530215059317)","(163.94745907864677, 150.72588979811073)","(165.26961600670037, 138.8264774456283)","(165.26961600670037, 126.26598662911908)","(72.05755257892136, 118.99412352482426)","(78.66833721918938, 112.38333888455625)","(87.9234357155646, 110.40010349247585)","(97.17853421193982, 111.06118195650265)","(106.43363270831503, 113.70549581260985)","(123.62167277301188, 113.04441734858305)","(131.5546143413335, 109.07794656442225)","(140.8097128377087, 107.75578963636865)","(150.06481133408394, 109.07794656442225)","(157.33667443837876, 113.04441734858305)","(115.02765274066346, 126.26598662911908)","(115.68873120469026, 134.8600066614675)","(116.34980966871706, 143.45402669381593)","(117.67196659677066, 152.70912519019114)","(107.75578963636865, 159.31990983045915)","(112.38333888455625, 160.64206675851275)","(117.67196659677066, 161.30314522253957)","(122.29951584495828, 159.98098829448597)","(126.92706509314588, 157.99775290240555)","(81.31265107529659, 130.2324574132799)","(87.2623572515378, 126.26598662911908)","(94.53422035583262, 125.60490816509228)","(101.14500499610062, 130.2324574132799)","(94.53422035583262, 132.8767712693871)","(87.2623572515378, 132.8767712693871)","(129.5713789492531, 128.9103004852263)","(135.5210851254943, 123.62167277301188)","(142.79294822978912, 122.96059430898508)","(148.74265440603034, 126.26598662911908)","(143.45402669381593, 130.2324574132799)","(136.1821635895211, 130.2324574132799)","(100.48392653207382, 173.8636360390488)","(107.09471117234185, 169.89716525488797)","(113.04441734858305, 167.25285139878076)","(117.67196659677066, 168.57500832683436)","(121.63843738093148, 167.25285139878076)","(128.2492220211995, 168.57500832683436)","(134.8600066614675, 171.88040064696838)","(128.9103004852263, 176.507949895156)","(122.96059430898508, 179.1522637512632)","(117.67196659677066, 179.81334221529)","(113.04441734858305, 179.81334221529)","(107.09471117234185, 177.8301068232096)","(103.12824038818103, 173.20255757502198)","(113.04441734858305, 173.20255757502198)","(117.67196659677066, 173.20255757502198)","(122.29951584495828, 172.5414791109952)","(131.5546143413335, 171.88040064696838)","(122.29951584495828, 172.5414791109952)","(117.67196659677066, 173.20255757502198)","(113.04441734858305, 173.20255757502198)"
22,6,0,0.1999999999999998,0:00:00.200000,0,"(65.8538204185362, 133.0380210475479)","(67.18420062901167, 145.6766330470649)","(70.51015115520038, 157.65005494134422)","(73.17091157615133, 169.62347683562353)","(78.49243241805324, 180.26651851942736)","(85.80952357566838, 189.5791799927557)","(96.45256525947221, 196.23108104513312)","(107.76079704851378, 200.88741178179728)","(120.39940904803083, 202.21779199227277)","(132.37283094231015, 199.5570315713218)","(143.01587262611397, 193.57032062418216)","(152.99372420468006, 185.5880393613293)","(159.64562525705745, 175.6101877827632)","(162.97157578324615, 163.6367658884839)","(164.96714609895938, 150.99815388896684)","(166.29752630943483, 139.02473199468753)","(165.63233620419712, 126.38611999517047)","(72.50572147091358, 119.73421894279309)","(79.15762252329098, 113.0823178904157)","(88.47028399661933, 111.08674757470247)","(97.78294546994769, 111.75193767994021)","(106.4304168380383, 114.41269810089118)","(124.39054967945727, 113.74750799565344)","(132.37283094231015, 110.42155746946473)","(141.6854924156385, 108.42598715375152)","(150.3329637837291, 109.09117725898926)","(158.31524504658196, 113.74750799565344)","(115.74307831136665, 127.05131010040822)","(116.40826841660439, 135.69878146849882)","(117.07345852184213, 144.34625283658946)","(118.40383873231761, 153.6589143099178)","(108.42598715375152, 160.3108153622952)","(113.0823178904157, 161.64119557277067)","(118.40383873231761, 162.3063856780084)","(123.06016946898178, 160.97600546753293)","(127.71650020564596, 158.9804351518197)","(81.81838294424195, 131.04245073183466)","(87.8050938913816, 127.05131010040822)","(95.12218504899673, 126.38611999517047)","(102.43927620661186, 131.04245073183466)","(95.78737515423447, 133.70321115278563)","(87.8050938913816, 133.70321115278563)","(129.71207052135918, 129.71207052135918)","(136.36397157373656, 124.39054967945727)","(143.68106273135172, 124.39054967945727)","(149.66777367849136, 127.05131010040822)","(144.34625283658946, 131.04245073183466)","(137.0291616789743, 131.04245073183466)","(101.10889599613638, 174.27980757228772)","(107.76079704851378, 170.28866694086128)","(113.74750799565344, 168.29309662514805)","(117.73864862707987, 169.62347683562353)","(122.39497936374404, 167.6279065199103)","(128.3816903108837, 169.62347683562353)","(135.03359136326108, 172.94942736181224)","(129.04688041612144, 177.6057580984764)","(123.06016946898178, 180.26651851942736)","(118.40383873231761, 180.9317086246651)","(113.74750799565344, 180.26651851942736)","(107.76079704851378, 178.27094820371414)","(103.76965641708735, 174.27980757228772)","(113.74750799565344, 173.61461746704998)","(118.40383873231761, 174.27980757228772)","(122.39497936374404, 173.61461746704998)","(132.37283094231015, 172.94942736181224)","(122.39497936374404, 173.61461746704998)","(118.40383873231761, 174.27980757228772)","(113.74750799565344, 173.61461746704998)"
22,7,0,0.2333333333333331,0:00:00.233333,0,"(65.41961308481562, 131.50003034220515)","(66.74122142996342, 144.05530962110916)","(69.38443812025899, 155.94978472743927)","(72.68845898312847, 167.84425983376937)","(77.31408819114574, 179.0779307675256)","(85.24373826203248, 188.32918918356012)","(95.8166050232148, 194.93723090929907)","(107.05027595697102, 199.56286011731635)","(119.60555523587503, 200.88446846246413)","(131.50003034220515, 198.24125177216857)","(142.07289710338748, 192.2940142190035)","(151.9849596919959, 184.36436414811675)","(158.59300141773485, 173.79149738693442)","(161.89702228060432, 162.55782645317822)","(163.879434798326, 150.0025471742742)","(165.20104314347378, 138.10807206794408)","(165.20104314347378, 124.8919886164662)","(72.02765481055458, 118.94475106330113)","(78.63569653629352, 112.33670933756218)","(87.22615077975416, 110.3542968198405)","(97.13821336836259, 111.01510099241439)","(105.72866761182323, 113.65831768270998)","(123.5703802713184, 112.99751351013607)","(131.50003034220515, 109.0326884746927)","(140.75128875823967, 107.05027595697102)","(150.0025471742742, 109.0326884746927)","(157.27139307258705, 113.65831768270998)","(114.97992602785776, 125.55279278904008)","(115.64073020043166, 134.80405120507461)","(116.30153437300555, 143.39450544853526)","(116.96233854557944, 152.64576386456977)","(107.05027595697102, 159.25380559030873)","(112.33670933756218, 160.57541393545654)","(116.96233854557944, 161.2362181080304)","(122.2487719261706, 159.91460976288263)","(126.87440113418788, 157.93219724516095)","(81.27891322658911, 129.51761782448347)","(87.22615077975416, 126.21359696161397)","(94.49499667806701, 125.55279278904008)","(101.10303840380597, 130.17842199705734)","(94.49499667806701, 132.16083451477903)","(87.22615077975416, 132.82163868735293)","(129.51761782448347, 128.19600947933566)","(135.46485537764852, 123.5703802713184)","(142.73370127596135, 123.5703802713184)","(148.6809388291264, 126.21359696161397)","(143.39450544853526, 129.51761782448347)","(136.1256595502224, 130.17842199705734)","(100.44223423123206, 173.13069321436055)","(107.05027595697102, 169.82667235149106)","(112.99751351013607, 167.18345566119547)","(116.96233854557944, 168.50506400634328)","(121.58796775359671, 166.5226514886216)","(127.53520530676177, 169.16586817891718)","(134.1432470325007, 171.80908486921274)","(128.19600947933566, 176.43471407723)","(122.2487719261706, 179.0779307675256)","(117.62314271815335, 179.73873494009948)","(112.99751351013607, 179.0779307675256)","(107.71108012954491, 177.09551824980392)","(103.08545092152765, 173.13069321436055)","(112.99751351013607, 172.46988904178664)","(117.62314271815335, 173.13069321436055)","(121.58796775359671, 172.46988904178664)","(131.50003034220515, 171.80908486921274)","(121.58796775359671, 172.46988904178664)","(117.62314271815335, 173.13069321436055)","(112.99751351013607, 172.46988904178664)"
22,8,0,0.2666666666666664,0:00:00.266667,0,"(65.88151980074139, 132.42850949845996)","(67.21245959469576, 145.0724375410265)","(69.8743391826045, 157.05089568661583)","(73.20168866749043, 169.02935383220517)","(78.52544784330792, 180.34234208081733)","(85.84561671005696, 189.65892063849793)","(96.49313506169193, 196.3136196082698)","(107.8061233103041, 200.9719088871101)","(120.45005135287063, 202.30284868106446)","(132.42850949845996, 199.64096909315572)","(143.74149774707212, 193.65174002036105)","(153.05807630475272, 185.66610125663482)","(159.71277527452457, 175.01858290499985)","(163.0401247594105, 163.7055946563877)","(164.37106455336487, 151.06166661382116)","(165.70200434731925, 139.08320846823182)","(165.70200434731925, 126.4392804256653)","(72.53621877051324, 119.78458145589344)","(78.52544784330792, 113.79535238309877)","(87.84202640098852, 111.13347279519003)","(97.8240748556463, 111.79894269216722)","(107.14065341332692, 113.79535238309877)","(124.44287073473375, 113.79535238309877)","(132.42850949845996, 109.80253300123566)","(141.74508805614056, 108.47159320728129)","(150.39619671684397, 109.80253300123566)","(158.3818354805702, 113.79535238309877)","(115.79176207403033, 126.4392804256653)","(116.45723197100752, 135.7558589833459)","(117.1227018679847, 144.4069676440493)","(117.78817176496189, 153.7235462017299)","(108.47159320728129, 160.37824517150176)","(113.12988248612159, 161.70918496545613)","(118.45364166193907, 162.37465486243332)","(123.11193094077937, 161.04371506847895)","(127.77022021961967, 159.0473053775474)","(81.85279732819384, 130.4320998075284)","(87.84202640098852, 127.10475032264249)","(95.16219526773756, 126.4392804256653)","(101.81689423750942, 131.0975697045056)","(95.16219526773756, 133.09397939543715)","(87.84202640098852, 133.75944929241433)","(130.4320998075284, 129.76662991055122)","(136.42132888032307, 124.44287073473375)","(143.74149774707212, 123.77740083775656)","(149.7307268198668, 127.10475032264249)","(144.4069676440493, 130.4320998075284)","(137.08679877730026, 131.0975697045056)","(101.15142434053223, 174.35311300802266)","(107.8061233103041, 171.02576352313673)","(113.79535238309877, 168.363883935228)","(118.45364166193907, 169.69482372918236)","(123.11193094077937, 167.6984140382508)","(129.10116001357403, 169.69482372918236)","(135.0903890863687, 173.0221732140683)","(129.10116001357403, 177.6804624929086)","(123.77740083775656, 180.34234208081733)","(119.11911155891626, 181.00781197779452)","(114.46082228007596, 180.34234208081733)","(108.47159320728129, 178.34593238988577)","(104.47877382541817, 174.35311300802266)","(113.79535238309877, 173.68764311104547)","(118.45364166193907, 174.35311300802266)","(123.11193094077937, 173.68764311104547)","(132.42850949845996, 173.0221732140683)","(123.11193094077937, 173.68764311104547)","(118.45364166193907, 174.35311300802266)","(113.79535238309877, 173.68764311104547)"
22,9,0,0.2999999999999997,0:00:00.300000,0,"(66.51901052377394, 133.0380210475479)","(67.84939073424941, 145.6766330470649)","(70.51015115520038, 157.65005494134422)","(73.83610168138907, 169.62347683562353)","(78.49243241805324, 180.26651851942736)","(85.80952357566838, 189.5791799927557)","(96.45256525947221, 196.89627115037086)","(107.76079704851378, 201.55260188703502)","(120.39940904803083, 202.21779199227277)","(132.37283094231015, 199.5570315713218)","(143.01587262611397, 193.57032062418216)","(152.99372420468006, 185.5880393613293)","(159.64562525705745, 174.94499767752546)","(162.97157578324615, 163.6367658884839)","(164.96714609895938, 151.66334399420458)","(166.29752630943483, 139.02473199468753)","(166.29752630943483, 126.38611999517047)","(73.17091157615133, 119.73421894279309)","(79.15762252329098, 113.0823178904157)","(88.47028399661933, 110.42155746946473)","(97.78294546994769, 111.08674757470247)","(107.09560694327604, 113.74750799565344)","(124.39054967945727, 113.74750799565344)","(132.37283094231015, 109.75636736422699)","(141.6854924156385, 107.76079704851378)","(150.99815388896684, 109.09117725898926)","(158.31524504658196, 113.74750799565344)","(116.40826841660439, 127.05131010040822)","(117.07345852184213, 135.69878146849882)","(117.73864862707987, 144.34625283658946)","(118.40383873231761, 153.6589143099178)","(108.42598715375152, 160.3108153622952)","(113.74750799565344, 161.64119557277067)","(118.40383873231761, 162.3063856780084)","(123.06016946898178, 160.97600546753293)","(127.71650020564596, 158.9804351518197)","(82.48357304947969, 131.04245073183466)","(88.47028399661933, 127.05131010040822)","(95.78737515423447, 126.38611999517047)","(102.43927620661186, 131.04245073183466)","(95.78737515423447, 133.0380210475479)","(88.47028399661933, 133.70321115278563)","(130.37726062659692, 129.71207052135918)","(136.36397157373656, 124.39054967945727)","(143.68106273135172, 124.39054967945727)","(149.66777367849136, 127.05131010040822)","(144.34625283658946, 130.37726062659692)","(137.0291616789743, 131.04245073183466)","(101.10889599613638, 174.27980757228772)","(107.76079704851378, 170.95385704609902)","(114.41269810089118, 168.29309662514805)","(118.40383873231761, 169.62347683562353)","(123.06016946898178, 168.29309662514805)","(129.04688041612144, 170.28866694086128)","(135.03359136326108, 172.94942736181224)","(129.04688041612144, 177.6057580984764)","(123.72535957421952, 179.60132841418962)","(119.06902883755535, 180.9317086246651)","(114.41269810089118, 180.26651851942736)","(108.42598715375152, 178.27094820371414)","(103.76965641708735, 174.27980757228772)","(113.74750799565344, 173.61461746704998)","(118.40383873231761, 174.27980757228772)","(123.06016946898178, 173.61461746704998)","(132.37283094231015, 172.94942736181224)","(123.06016946898178, 173.61461746704998)","(118.40383873231761, 174.27980757228772)","(113.74750799565344, 174.27980757228772)"
