video_id,frame_seq,gap,time_seconds,time_datetime,instance_ref,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,rot_x,rot_y,rot_z
27,0,0,0.0,0:00:00,0,"(1034.503202532042, 387.494326721624)","(1038.0581963551763, 437.2642402455023)","(1041.6131901783103, 487.0341537693806)","(1048.7231778245787, 540.3590611163931)","(1061.1656562055484, 591.9064715518385)","(1087.8281098790546, 636.3438943410156)","(1128.7105388450975, 670.1163356607901)","(1176.7029554574087, 691.4462985995951)","(1228.250365892854, 698.5562862458635)","(1281.5752732398666, 687.891304776461)","(1329.5676898521779, 663.0063480145218)","(1372.2276157297879, 631.0114036063143)","(1402.4450632264281, 586.5739808171372)","(1416.6650385189648, 536.804067293259)","(1423.7750261652332, 483.47915994624645)","(1432.6625107230686, 431.93174951080107)","(1434.4400076346358, 380.3843390753557)","(1071.8306376749508, 353.7218854018494)","(1093.1606006137558, 328.8369286399103)","(1126.9330419335304, 318.1719471705078)","(1162.482980164872, 325.28193481677613)","(1196.2554214846466, 337.7244131977457)","(1260.2453103010616, 332.39192246304447)","(1295.7952485324033, 316.3944502589407)","(1334.900180586879, 311.06195952423946)","(1370.4501188182207, 319.9494440820749)","(1397.112572491727, 343.05690393244697)","(1228.250365892854, 376.8293452522215)","(1228.250365892854, 407.04679274886195)","(1228.250365892854, 437.2642402455023)","(1228.250365892854, 469.25918465370984)","(1190.9229307499454, 503.0316259734844)","(1210.4753967771833, 506.58661979661855)","(1231.8053597159883, 510.1416136197527)","(1253.1353226547933, 506.58661979661855)","(1274.4652855935983, 503.0316259734844)","(1107.3805759062925, 401.7143020141607)","(1130.4880357566647, 399.9368051025936)","(1153.5954956070366, 396.38181127945944)","(1180.2579492805428, 398.1593081910265)","(1155.3729925186037, 405.26929583729486)","(1132.2655326682316, 407.04679274886195)","(1281.5752732398666, 394.60431436789236)","(1306.4602300018057, 391.0493205447582)","(1331.3451867637448, 392.8268174563253)","(1356.230143525684, 392.8268174563253)","(1331.3451867637448, 401.7143020141607)","(1306.4602300018057, 401.7143020141607)","(1150.0405017839025, 572.3540055246006)","(1180.2579492805428, 554.5790364089298)","(1210.4753967771833, 545.6915518510943)","(1230.0278628044211, 549.2465456742285)","(1251.3578257432262, 545.6915518510943)","(1279.7977763282995, 556.3565333204969)","(1308.2377269133729, 572.3540055246006)","(1278.0202794167324, 591.9064715518385)","(1251.3578257432262, 602.571453021241)","(1228.250365892854, 604.3489499328081)","(1206.920402954049, 600.7939561096739)","(1178.4804523689759, 591.9064715518385)","(1162.482980164872, 572.3540055246006)","(1208.6978998656161, 570.5765086130335)","(1230.0278628044211, 572.3540055246006)","(1251.3578257432262, 570.5765086130335)","(1295.7952485324033, 572.3540055246006)","(1249.580328831659, 574.1315024361677)","(1228.250365892854, 575.9089993477347)","(1208.6978998656161, 574.1315024361677)",-0.5,1.52,0.73
27,1,0,0.0422119037568594,0:00:00.042212,0,"(1034.503202532042, 387.494326721624)","(1038.0581963551763, 437.2642402455023)","(1041.6131901783103, 487.0341537693806)","(1048.7231778245787, 540.3590611163931)","(1061.1656562055484, 591.9064715518385)","(1087.8281098790546, 636.3438943410156)","(1128.7105388450975, 670.1163356607901)","(1176.7029554574087, 691.4462985995951)","(1228.250365892854, 698.5562862458635)","(1281.5752732398666, 687.891304776461)","(1329.5676898521779, 663.0063480145218)","(1372.2276157297879, 631.0114036063143)","(1402.4450632264281, 586.5739808171372)","(1416.6650385189648, 536.804067293259)","(1423.7750261652332, 483.47915994624645)","(1432.6625107230686, 431.93174951080107)","(1434.4400076346358, 380.3843390753557)","(1071.8306376749508, 353.7218854018494)","(1093.1606006137558, 328.8369286399103)","(1126.9330419335304, 318.1719471705078)","(1162.482980164872, 325.28193481677613)","(1196.2554214846466, 337.7244131977457)","(1260.2453103010616, 332.39192246304447)","(1295.7952485324033, 316.3944502589407)","(1334.900180586879, 311.06195952423946)","(1370.4501188182207, 319.9494440820749)","(1397.112572491727, 343.05690393244697)","(1228.250365892854, 376.8293452522215)","(1228.250365892854, 407.04679274886195)","(1228.250365892854, 437.2642402455023)","(1228.250365892854, 469.25918465370984)","(1190.9229307499454, 503.0316259734844)","(1210.4753967771833, 506.58661979661855)","(1231.8053597159883, 510.1416136197527)","(1253.1353226547933, 506.58661979661855)","(1274.4652855935983, 503.0316259734844)","(1107.3805759062925, 401.7143020141607)","(1130.4880357566647, 399.9368051025936)","(1153.5954956070366, 396.38181127945944)","(1180.2579492805428, 398.1593081910265)","(1155.3729925186037, 405.26929583729486)","(1132.2655326682316, 407.04679274886195)","(1281.5752732398666, 394.60431436789236)","(1306.4602300018057, 391.0493205447582)","(1331.3451867637448, 392.8268174563253)","(1356.230143525684, 392.8268174563253)","(1331.3451867637448, 401.7143020141607)","(1306.4602300018057, 401.7143020141607)","(1150.0405017839025, 572.3540055246006)","(1180.2579492805428, 554.5790364089298)","(1210.4753967771833, 545.6915518510943)","(1230.0278628044211, 549.2465456742285)","(1251.3578257432262, 545.6915518510943)","(1279.7977763282995, 556.3565333204969)","(1308.2377269133729, 572.3540055246006)","(1278.0202794167324, 591.9064715518385)","(1251.3578257432262, 602.571453021241)","(1228.250365892854, 604.3489499328081)","(1206.920402954049, 600.7939561096739)","(1178.4804523689759, 591.9064715518385)","(1162.482980164872, 572.3540055246006)","(1208.6978998656161, 570.5765086130335)","(1230.0278628044211, 572.3540055246006)","(1251.3578257432262, 570.5765086130335)","(1295.7952485324033, 572.3540055246006)","(1249.580328831659, 574.1315024361677)","(1228.250365892854, 575.9089993477347)","(1208.6978998656161, 574.1315024361677)",-0.5,1.52,0.73
27,2,0,0.0844238075137188,0:00:00.084424,0,"(1026.2975340717298, 389.2852715444492)","(1029.8364910857701, 438.83066974101547)","(1036.914405113851, 488.37606793758175)","(1043.992319141932, 539.6909446411682)","(1054.6091901840534, 587.4668643307143)","(1079.3818892823365, 631.7038270062199)","(1120.0798949438017, 663.5544401325839)","(1167.8558146333476, 686.5576607238468)","(1220.9401698439544, 693.6355747519277)","(1274.024525054561, 684.7881822168266)","(1323.5699232511274, 661.7849616255637)","(1364.2679289125924, 628.1648699921794)","(1394.3490635319363, 587.4668643307143)","(1410.2743700951182, 536.1519876271278)","(1417.3522841231993, 484.8371109235413)","(1424.4301981512801, 433.5222342199548)","(1426.1996766583004, 380.4378790093481)","(1063.4565827191545, 350.3567443900043)","(1084.690324803397, 323.81456678470096)","(1120.0798949438017, 314.9671742495998)","(1157.2389435912264, 320.2756097706605)","(1190.8590352246106, 332.66195931980207)","(1254.5602614773386, 329.1230023057616)","(1289.949831617743, 313.1976957425796)","(1328.878358772188, 307.88926022151895)","(1364.2679289125924, 314.9671742495998)","(1390.8101065178957, 337.97039484086275)","(1224.4791268579947, 373.3599649812672)","(1222.7096483509745, 405.21057810763125)","(1222.7096483509745, 435.29171272697505)","(1224.4791268579947, 467.14232585333906)","(1187.32007821057, 498.99293897970307)","(1206.7843417877925, 504.30137450076376)","(1226.248605365015, 507.8403315148042)","(1247.4823474492578, 504.30137450076376)","(1268.7160895335005, 498.99293897970307)","(1100.6156313665792, 396.3631855725301)","(1121.8493734508218, 392.82422855848966)","(1144.8525940420848, 391.05475005146945)","(1171.394771647388, 392.82422855848966)","(1146.622072549105, 399.90214258657056)","(1123.618851957842, 401.6716210935908)","(1277.5634820686016, 391.05475005146945)","(1302.3361811668847, 385.74631453040877)","(1327.1088802651677, 387.515793037429)","(1350.1121008564307, 389.2852715444492)","(1327.1088802651677, 396.3631855725301)","(1302.3361811668847, 396.3631855725301)","(1143.0831155350645, 568.0026007534918)","(1176.7032071684487, 550.3078156832896)","(1206.7843417877925, 541.4604231481885)","(1228.0180838720353, 546.7688586692491)","(1249.251825956278, 541.4604231481885)","(1275.7940035615813, 552.0772941903098)","(1304.105659673905, 568.0026007534918)","(1274.024525054561, 589.2363428377345)","(1245.7128689422375, 599.8532138798558)","(1224.4791268579947, 601.6226923868761)","(1201.475906266732, 598.0837353728356)","(1173.1642501544084, 587.4668643307143)","(1157.2389435912264, 568.0026007534918)","(1206.7843417877925, 566.2331222464716)","(1228.0180838720353, 568.0026007534918)","(1249.251825956278, 566.2331222464716)","(1289.949831617743, 569.772079260512)","(1245.7128689422375, 569.772079260512)","(1224.4791268579947, 571.5415577675323)","(1203.2453847737522, 569.772079260512)",0.19,0.88,0.61
27,3,0,0.1266357112705781,0:00:00.126636,0,"(1038.91308429431, 394.5013601873583)","(1042.4832323503042, 444.48343297127695)","(1047.8384544342955, 494.46550575519564)","(1054.978750546284, 546.2326525671115)","(1067.4742687422636, 594.429651323033)","(1092.465305134223, 639.0565020229604)","(1133.5220077781562, 671.1878345269082)","(1179.9339325060805, 692.6087228628734)","(1231.7010793179963, 701.5340930028589)","(1285.2533001579093, 692.6087228628734)","(1335.235372941828, 667.617686470914)","(1376.2920755857613, 633.7012799389692)","(1406.638334061712, 590.8595032670388)","(1422.7040003136856, 539.0923564551231)","(1429.844296425674, 487.32520964320724)","(1436.9845925376624, 435.55806283129147)","(1438.7696665656595, 383.7909160193757)","(1076.399638882249, 351.659583515428)","(1097.8205272182142, 326.6685471234686)","(1131.736933750159, 317.7431769834831)","(1165.6533402821037, 323.0983990674744)","(1199.5697468140486, 337.3789912914512)","(1267.4025598779383, 332.0237692074599)","(1301.3189664098832, 315.958102955486)","(1338.8055209978222, 310.60288087149473)","(1374.5070015577642, 317.7431769834831)","(1401.2831119777206, 340.9491393474454)","(1233.4861533459934, 374.8655458793902)","(1233.4861533459934, 406.99687838333796)","(1233.4861533459934, 437.34313685928856)","(1233.4861533459934, 469.4744693632363)","(1197.7846727860515, 503.3908758951811)","(1215.6354130660225, 506.9610239511753)","(1237.0563014019876, 510.5311720071695)","(1256.6921157099557, 506.9610239511753)","(1278.113004045921, 503.3908758951811)","(1110.316045414194, 399.85658227134957)","(1131.736933750159, 394.5013601873583)","(1154.9428961141214, 390.9312121313641)","(1179.9339325060805, 396.28643421535537)","(1154.9428961141214, 403.42673032734376)","(1133.5220077781562, 403.42673032734376)","(1290.6085222419006, 394.5013601873583)","(1315.59955863386, 385.5759900473728)","(1338.8055209978222, 387.3610640753699)","(1362.0114833617845, 390.9312121313641)","(1340.5905950258193, 398.07150824335247)","(1315.59955863386, 398.07150824335247)","(1153.1578220861243, 573.0087629870679)","(1185.2891545900718, 555.158022707097)","(1217.4204870940196, 546.2326525671115)","(1237.0563014019876, 551.5878746511028)","(1256.6921157099557, 546.2326525671115)","(1285.2533001579093, 556.9430967350941)","(1315.59955863386, 573.0087629870679)","(1285.2533001579093, 592.6445772950359)","(1254.9070416819586, 603.3550214630185)","(1233.4861533459934, 605.1400954910156)","(1212.0652650100283, 603.3550214630185)","(1183.5040805620747, 592.6445772950359)","(1165.6533402821037, 573.0087629870679)","(1215.6354130660225, 571.2236889590708)","(1237.0563014019876, 573.0087629870679)","(1256.6921157099557, 573.0087629870679)","(1301.3189664098832, 573.0087629870679)","(1254.9070416819586, 574.793837015065)","(1233.4861533459934, 576.5789110430621)","(1213.8503390380254, 574.793837015065)",0.45,1.46,0.88
27,4,0,0.1688476150274376,0:00:00.168848,0,"(1032.725705620475, 387.494326721624)","(1034.503202532042, 439.0417371570694)","(1041.6131901783103, 488.8116506809477)","(1046.9456809130118, 540.3590611163931)","(1057.6106623824141, 590.1289746402714)","(1084.2731160559204, 634.5663974294484)","(1123.3780481103963, 668.3388387492231)","(1173.1479616342745, 689.6688016880281)","(1226.472868981287, 698.5562862458635)","(1279.7977763282995, 689.6688016880281)","(1329.5676898521779, 664.7838449260889)","(1372.2276157297879, 631.0114036063143)","(1402.4450632264281, 586.5739808171372)","(1416.6650385189648, 535.0265703816918)","(1423.7750261652332, 483.47915994624645)","(1430.8850138115015, 431.93174951080107)","(1432.6625107230686, 380.3843390753557)","(1073.608134586518, 348.38939466714817)","(1096.71559443689, 323.50443790520904)","(1128.7105388450975, 316.3944502589407)","(1162.482980164872, 321.72694099364196)","(1194.4779245730795, 335.94691628617863)","(1262.0228072126285, 330.6144255514774)","(1295.7952485324033, 314.6169533473736)","(1333.122683675312, 311.06195952423946)","(1368.6726219066536, 316.3944502589407)","(1393.5575786685927, 339.5019101093128)","(1228.250365892854, 375.05184834065443)","(1228.250365892854, 405.26929583729486)","(1228.250365892854, 437.2642402455023)","(1228.250365892854, 467.48168774214275)","(1192.7004276615125, 501.2541290619173)","(1212.2528936887504, 504.80912288505147)","(1231.8053597159883, 510.1416136197527)","(1253.1353226547933, 504.80912288505147)","(1272.6877886820312, 501.2541290619173)","(1105.6030789947254, 396.38181127945944)","(1126.9330419335304, 387.494326721624)","(1150.0405017839025, 387.494326721624)","(1174.9254585458416, 394.60431436789236)","(1150.0405017839025, 399.9368051025936)","(1126.9330419335304, 401.7143020141607)","(1285.1302670630007, 391.0493205447582)","(1308.2377269133729, 382.16183598692277)","(1333.122683675312, 382.16183598692277)","(1356.230143525684, 387.494326721624)","(1334.900180586879, 396.38181127945944)","(1310.01522382494, 398.1593081910265)","(1146.4855079607682, 570.5765086130335)","(1180.2579492805428, 552.8015394973627)","(1214.0303906003173, 543.9140549395273)","(1233.5828566275554, 549.2465456742285)","(1254.9128195663604, 543.9140549395273)","(1283.3527701514336, 554.5790364089298)","(1311.792720736507, 570.5765086130335)","(1279.7977763282995, 590.1289746402714)","(1251.3578257432262, 600.7939561096739)","(1228.250365892854, 602.571453021241)","(1206.920402954049, 599.0164591981069)","(1178.4804523689759, 590.1289746402714)","(1160.705483253305, 570.5765086130335)","(1212.2528936887504, 570.5765086130335)","(1233.5828566275554, 572.3540055246006)","(1254.9128195663604, 570.5765086130335)","(1299.3502423555374, 570.5765086130335)","(1251.3578257432262, 572.3540055246006)","(1230.0278628044211, 574.1315024361677)","(1208.6978998656161, 570.5765086130335)",-0.18,1.18,0.67
27,5,0,0.211059518784297,0:00:00.211060,0,"(1032.6339490136274, 392.791915201397)","(1034.4112879964391, 442.557406720126)","(1041.520643927686, 492.32289823885503)","(1048.6299998589332, 543.8657287403958)","(1061.0713727386153, 591.8538812763131)","(1085.9541184979798, 634.5100168637952)","(1126.83291510265, 668.2794575372184)","(1173.0437286557556, 689.6075253309593)","(1226.3638981401082, 698.4942202450181)","(1279.6840676244608, 687.8301863481477)","(1329.4495591431898, 662.9474405887831)","(1370.32835574786, 630.9553388981716)","(1400.5431184556599, 588.2992033106896)","(1416.5391693009656, 538.5337117919605)","(1423.6485252322125, 486.9908812904198)","(1430.7578811634596, 435.448050788879)","(1432.5352201462713, 383.90522028733824)","(1069.9580676526741, 350.13577961391496)","(1093.063474429227, 325.25303385455044)","(1126.83291510265, 316.3663389404917)","(1162.379694758885, 321.6983558889269)","(1194.3717964494967, 334.1397287686092)","(1261.9106777963432, 330.5850508029857)","(1295.6801184697665, 314.5889999576799)","(1334.781576091625, 309.25698300924466)","(1370.32835574786, 316.3663389404917)","(1395.2111015072246, 341.2490846998562)","(1229.9185761057317, 373.2411863904677)","(1228.1412371229198, 405.23328808107925)","(1228.1412371229198, 435.448050788879)","(1229.9185761057317, 467.4401524794905)","(1192.5944574666848, 501.2095931529138)","(1212.1451862776141, 504.7642711185373)","(1233.473254071355, 510.09628806697253)","(1253.0239828822844, 506.541610101349)","(1272.5747116932137, 501.2095931529138)","(1105.5048473089091, 396.3465931670205)","(1126.83291510265, 385.68255927014997)","(1149.938321879203, 383.90522028733824)","(1174.8210676385675, 394.5692541842087)","(1149.938321879203, 399.90127113264396)","(1126.83291510265, 401.67861011545574)","(1285.016084572896, 391.0145762185852)","(1308.1214913494487, 378.57320333890294)","(1333.0042371088132, 380.3505423217147)","(1356.109643885366, 387.4598982529617)","(1334.781576091625, 396.3465931670205)","(1309.8988303322606, 396.3465931670205)","(1148.1609828963913, 570.5258134825721)","(1181.9304235698144, 552.7524236544546)","(1212.1451862776141, 543.8657287403958)","(1233.473254071355, 547.4204067060193)","(1253.0239828822844, 543.8657287403958)","(1281.4614066072725, 554.5297626372663)","(1309.8988303322606, 570.5258134825721)","(1279.6840676244608, 590.0765422935013)","(1251.2466438994727, 598.96323720756)","(1228.1412371229198, 600.7405761903718)","(1206.813169329179, 598.96323720756)","(1178.375745604191, 588.2992033106896)","(1160.6023557760734, 570.5258134825721)","(1212.1451862776141, 568.7484744997603)","(1233.473254071355, 570.5258134825721)","(1253.0239828822844, 568.7484744997603)","(1297.4574574525782, 570.5258134825721)","(1251.2466438994727, 572.3031524653838)","(1229.9185761057317, 574.0804914481956)","(1208.5905083119908, 572.3031524653838)",0.64,1.04,0.69
27,6,0,0.2532714225411563,0:00:00.253271,0,"(1038.91308429431, 394.5013601873583)","(1040.698158322307, 446.26850699927405)","(1049.6235284622926, 496.25057978319273)","(1056.763824574281, 546.2326525671115)","(1067.4742687422636, 594.429651323033)","(1092.465305134223, 637.2714279949633)","(1133.5220077781562, 669.4027604989111)","(1179.9339325060805, 692.6087228628734)","(1235.2712273739905, 699.7490189748618)","(1288.8234482139035, 689.0385748068792)","(1338.8055209978222, 664.0475384149198)","(1379.8622236417555, 631.916205910972)","(1408.423408089709, 589.0744292390417)","(1422.7040003136856, 539.0923564551231)","(1429.844296425674, 485.54013561521015)","(1436.9845925376624, 435.55806283129147)","(1438.7696665656595, 383.7909160193757)","(1076.399638882249, 355.2297315714221)","(1097.8205272182142, 328.4536211514657)","(1129.951859722162, 317.7431769834831)","(1165.6533402821037, 321.3133250394773)","(1199.5697468140486, 335.5939172634541)","(1267.4025598779383, 330.2386951794628)","(1301.3189664098832, 314.17302892748893)","(1340.5905950258193, 310.60288087149473)","(1376.2920755857613, 317.7431769834831)","(1401.2831119777206, 342.7342133754425)","(1233.4861533459934, 374.8655458793902)","(1233.4861533459934, 406.99687838333796)","(1233.4861533459934, 437.34313685928856)","(1233.4861533459934, 469.4744693632363)","(1197.7846727860515, 503.3908758951811)","(1217.4204870940196, 506.9610239511753)","(1237.0563014019876, 510.5311720071695)","(1258.4771897379528, 506.9610239511753)","(1278.113004045921, 503.3908758951811)","(1110.316045414194, 398.07150824335247)","(1131.736933750159, 387.3610640753699)","(1154.9428961141214, 385.5759900473728)","(1179.9339325060805, 396.28643421535537)","(1154.9428961141214, 401.64165629934666)","(1131.736933750159, 403.42673032734376)","(1290.6085222419006, 392.7162861593612)","(1313.8144846058628, 380.2207679633815)","(1338.8055209978222, 380.2207679633815)","(1362.0114833617845, 389.146138103367)","(1340.5905950258193, 398.07150824335247)","(1315.59955863386, 398.07150824335247)","(1153.1578220861243, 573.0087629870679)","(1185.2891545900718, 555.158022707097)","(1215.6354130660225, 544.4475785391144)","(1237.0563014019876, 549.8028006231057)","(1256.6921157099557, 546.2326525671115)","(1285.2533001579093, 555.158022707097)","(1315.59955863386, 573.0087629870679)","(1285.2533001579093, 592.6445772950359)","(1256.6921157099557, 601.5699474350214)","(1233.4861533459934, 605.1400954910156)","(1212.0652650100283, 601.5699474350214)","(1183.5040805620747, 590.8595032670388)","(1167.4384143101008, 573.0087629870679)","(1215.6354130660225, 571.2236889590708)","(1237.0563014019876, 573.0087629870679)","(1256.6921157099557, 571.2236889590708)","(1301.3189664098832, 573.0087629870679)","(1254.9070416819586, 574.793837015065)","(1233.4861533459934, 576.5789110430621)","(1213.8503390380254, 574.793837015065)",0.49,1.42,1.12
27,7,0,0.2954833262980157,0:00:00.295483,0,"(1032.725705620475, 391.0493205447582)","(1034.503202532042, 442.5967309802036)","(1041.6131901783103, 490.5891475925148)","(1048.7231778245787, 542.1365580279602)","(1061.1656562055484, 590.1289746402714)","(1086.0506129674875, 632.7889005178814)","(1125.1555450219632, 666.561341837656)","(1173.1479616342745, 689.6688016880281)","(1226.472868981287, 698.5562862458635)","(1279.7977763282995, 687.891304776461)","(1329.5676898521779, 663.0063480145218)","(1372.2276157297879, 632.7889005178814)","(1402.4450632264281, 590.1289746402714)","(1416.6650385189648, 538.581564204826)","(1423.7750261652332, 487.0341537693806)","(1430.8850138115015, 435.48674333393524)","(1432.6625107230686, 383.93933289848985)","(1071.8306376749508, 351.94438849028234)","(1093.1606006137558, 327.0594317283432)","(1128.7105388450975, 316.3944502589407)","(1164.2604770764392, 321.72694099364196)","(1196.2554214846466, 335.94691628617863)","(1262.0228072126285, 330.6144255514774)","(1295.7952485324033, 314.6169533473736)","(1333.122683675312, 309.28446261267237)","(1368.6726219066536, 316.3944502589407)","(1395.3350755801598, 339.5019101093128)","(1228.250365892854, 373.27435142908735)","(1228.250365892854, 405.26929583729486)","(1228.250365892854, 435.48674333393524)","(1230.0278628044211, 467.48168774214275)","(1192.7004276615125, 501.2541290619173)","(1212.2528936887504, 504.80912288505147)","(1231.8053597159883, 508.36411670818563)","(1253.1353226547933, 504.80912288505147)","(1274.4652855935983, 501.2541290619173)","(1105.6030789947254, 396.38181127945944)","(1126.9330419335304, 385.71682981005694)","(1150.0405017839025, 385.71682981005694)","(1174.9254585458416, 394.60431436789236)","(1150.0405017839025, 399.9368051025936)","(1126.9330419335304, 401.7143020141607)","(1285.1302670630007, 391.0493205447582)","(1308.2377269133729, 378.6068421637886)","(1333.122683675312, 378.6068421637886)","(1356.230143525684, 387.494326721624)","(1334.900180586879, 396.38181127945944)","(1310.01522382494, 396.38181127945944)","(1146.4855079607682, 568.7990117014664)","(1180.2579492805428, 552.8015394973627)","(1212.2528936887504, 543.9140549395273)","(1231.8053597159883, 549.2465456742285)","(1253.1353226547933, 543.9140549395273)","(1281.5752732398666, 554.5790364089298)","(1310.01522382494, 570.5765086130335)","(1279.7977763282995, 590.1289746402714)","(1251.3578257432262, 600.7939561096739)","(1230.0278628044211, 602.571453021241)","(1206.920402954049, 599.0164591981069)","(1178.4804523689759, 588.3514777287044)","(1160.705483253305, 570.5765086130335)","(1210.4753967771833, 568.7990117014664)","(1231.8053597159883, 570.5765086130335)","(1253.1353226547933, 568.7990117014664)","(1295.7952485324033, 570.5765086130335)","(1251.3578257432262, 572.3540055246006)","(1230.0278628044211, 574.1315024361677)","(1208.6978998656161, 570.5765086130335)",0.5,1.11,0.64
27,8,0,0.3376952300548752,0:00:00.337695,0,"(1032.725705620475, 391.0493205447582)","(1034.503202532042, 442.5967309802036)","(1041.6131901783103, 490.5891475925148)","(1048.7231778245787, 542.1365580279602)","(1061.1656562055484, 590.1289746402714)","(1086.0506129674875, 632.7889005178814)","(1125.1555450219632, 666.561341837656)","(1173.1479616342745, 689.6688016880281)","(1226.472868981287, 698.5562862458635)","(1279.7977763282995, 687.891304776461)","(1329.5676898521779, 663.0063480145218)","(1372.2276157297879, 632.7889005178814)","(1402.4450632264281, 590.1289746402714)","(1416.6650385189648, 538.581564204826)","(1423.7750261652332, 487.0341537693806)","(1430.8850138115015, 435.48674333393524)","(1432.6625107230686, 383.93933289848985)","(1071.8306376749508, 351.94438849028234)","(1093.1606006137558, 327.0594317283432)","(1128.7105388450975, 316.3944502589407)","(1164.2604770764392, 321.72694099364196)","(1196.2554214846466, 335.94691628617863)","(1262.0228072126285, 330.6144255514774)","(1295.7952485324033, 314.6169533473736)","(1333.122683675312, 309.28446261267237)","(1368.6726219066536, 316.3944502589407)","(1395.3350755801598, 339.5019101093128)","(1228.250365892854, 373.27435142908735)","(1228.250365892854, 405.26929583729486)","(1228.250365892854, 435.48674333393524)","(1230.0278628044211, 467.48168774214275)","(1192.7004276615125, 501.2541290619173)","(1212.2528936887504, 504.80912288505147)","(1231.8053597159883, 508.36411670818563)","(1253.1353226547933, 504.80912288505147)","(1274.4652855935983, 501.2541290619173)","(1105.6030789947254, 396.38181127945944)","(1126.9330419335304, 385.71682981005694)","(1150.0405017839025, 385.71682981005694)","(1174.9254585458416, 394.60431436789236)","(1150.0405017839025, 399.9368051025936)","(1126.9330419335304, 401.7143020141607)","(1285.1302670630007, 391.0493205447582)","(1308.2377269133729, 378.6068421637886)","(1333.122683675312, 378.6068421637886)","(1356.230143525684, 387.494326721624)","(1334.900180586879, 396.38181127945944)","(1310.01522382494, 396.38181127945944)","(1146.4855079607682, 568.7990117014664)","(1180.2579492805428, 552.8015394973627)","(1212.2528936887504, 543.9140549395273)","(1231.8053597159883, 549.2465456742285)","(1253.1353226547933, 543.9140549395273)","(1281.5752732398666, 554.5790364089298)","(1310.01522382494, 570.5765086130335)","(1279.7977763282995, 590.1289746402714)","(1251.3578257432262, 600.7939561096739)","(1230.0278628044211, 602.571453021241)","(1206.920402954049, 599.0164591981069)","(1178.4804523689759, 588.3514777287044)","(1160.705483253305, 570.5765086130335)","(1210.4753967771833, 568.7990117014664)","(1231.8053597159883, 570.5765086130335)","(1253.1353226547933, 568.7990117014664)","(1295.7952485324033, 570.5765086130335)","(1251.3578257432262, 572.3540055246006)","(1230.0278628044211, 574.1315024361677)","(1208.6978998656161, 570.5765086130335)",0.5,1.11,0.64
27,9,0,0.3799071338117346,0:00:00.379907,0,"(1040.9780733559812, 389.2508061605556)","(1042.763627512681, 437.46076839145013)","(1048.1202899827804, 485.6707306223446)","(1053.47695245288, 537.4518011666387)","(1064.1902773930788, 587.447317554233)","(1089.188035586876, 633.8717256284277)","(1130.2557811909712, 669.5828087624236)","(1180.2512975785655, 692.795012799521)","(1233.8179222795593, 699.9372294263202)","(1289.170101137253, 691.0094586428212)","(1339.1656175248472, 664.2261462923243)","(1382.0189172856424, 630.3006173150281)","(1410.5877837928392, 587.447317554233)","(1424.8722170464375, 535.666247009939)","(1432.0144336732367, 483.8851764656448)","(1437.371096143336, 433.8896600780505)","(1440.9422044567357, 383.89414369045625)","(1082.0458189600765, 353.53972302655967)","(1103.4724688404742, 326.7564106760627)","(1135.6124436610705, 317.8286398925638)","(1171.3235267950665, 323.18530236266315)","(1201.677947458963, 335.6841814595617)","(1269.5290054135553, 328.5419648327625)","(1303.4545343908514, 314.25753157916415)","(1342.736725838247, 308.9008691090648)","(1378.447808972243, 317.8286398925638)","(1405.2311213227397, 342.8263980863609)","(1235.6034764362591, 373.18081875025746)","(1235.6034764362591, 405.32079357085377)","(1235.6034764362591, 435.67521423475034)","(1235.6034764362591, 467.81518905534665)","(1198.1068391455633, 501.7407180326428)","(1217.7479348692611, 505.3118263460424)","(1237.389030592959, 510.66848881614175)","(1258.8156804733565, 507.09738050274217)","(1278.4567761970543, 501.7407180326428)","(1112.4002396239732, 394.607468630655)","(1132.0413353476708, 378.5374812203568)","(1158.8246476981678, 378.5374812203568)","(1183.822405891965, 394.607468630655)","(1158.8246476981678, 399.9641311007544)","(1133.8268895043707, 401.7496852574542)","(1292.7412094506526, 391.0363603172554)","(1315.95341348775, 371.39526459355767)","(1344.5222799949468, 373.18081875025746)","(1367.734484032044, 385.67969784715604)","(1346.3078341516464, 396.3930227873548)","(1319.5245218011496, 396.3930227873548)","(1151.6824310713687, 571.3773301439348)","(1185.6079600486648, 555.3073427336367)","(1215.9623807125613, 544.594017793438)","(1237.389030592959, 549.9506802635373)","(1258.8156804733565, 546.3795719501377)","(1289.170101137253, 557.0928968903364)","(1321.3100759578492, 571.3773301439348)","(1289.170101137253, 591.0184258676326)","(1258.8156804733565, 601.7317508078314)","(1235.6034764362591, 603.5173049645311)","(1212.3912723991618, 599.9461966511316)","(1183.822405891965, 591.0184258676326)","(1165.966864324967, 571.3773301439348)","(1215.9623807125613, 571.3773301439348)","(1237.389030592959, 573.1628843006347)","(1258.8156804733565, 571.3773301439348)","(1308.8111968609508, 571.3773301439348)","(1257.0301263166566, 574.9484384573344)","(1235.6034764362591, 574.9484384573344)","(1214.1768265558615, 573.1628843006347)",0.36,1.34,0.46
