0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,rot_x,rot_y,rot_z
"(2297.038685414933, 777.1076149662459)","(2300.848036468689, 826.6291786650753)","(2308.466738576201, 879.9600934176608)","(2319.8947917374694, 929.4816571164902)","(2338.94154700625, 975.1938697615635)","(2369.4163554362985, 1013.2873802991245)","(2407.5098659738596, 1043.7621887291734)","(2453.222078618933, 1070.4276461054662)","(2502.7436423177624, 1081.8556992667345)","(2552.265206016592, 1074.2369971592223)","(2597.977418661665, 1047.5715397829294)","(2636.070929199226, 1013.2873802991245)","(2662.736386575519, 975.1938697615635)","(2677.9737907905433, 925.672306062734)","(2689.4018439518118, 876.1507423639047)","(2693.211195005568, 822.8198276113192)","(2697.020546059324, 773.2982639124898)","(2338.94154700625, 739.0141044286848)","(2369.4163554362985, 723.7767002136604)","(2403.7005149201036, 723.7767002136604)","(2437.9846744039087, 731.3954023211726)","(2472.2688338877138, 742.823455482441)","(2533.2184507478114, 742.823455482441)","(2563.6932591778605, 727.5860512674165)","(2597.977418661665, 716.1579981061482)","(2636.070929199226, 716.1579981061482)","(2662.736386575519, 735.2047533749287)","(2502.7436423177624, 784.7263170737581)","(2502.7436423177624, 815.201125503807)","(2502.7436423177624, 845.6759339338558)","(2502.7436423177624, 879.9600934176608)","(2472.2688338877138, 910.4349018477096)","(2487.5062381027383, 914.2442529014658)","(2502.7436423177624, 914.2442529014658)","(2521.790397586543, 910.4349018477096)","(2537.0278018015674, 906.6255507939535)","(2380.844408597567, 788.5356681275142)","(2403.7005149201036, 780.916966020002)","(2430.3659722963966, 784.7263170737581)","(2449.412727565177, 799.9637212887825)","(2426.55662124264, 803.7730723425386)","(2403.7005149201036, 803.7730723425386)","(2552.265206016592, 796.1543702350265)","(2575.1213123391285, 780.916966020002)","(2597.977418661665, 777.1076149662459)","(2624.642876037958, 784.7263170737581)","(2601.786769715421, 796.1543702350265)","(2578.9306633928845, 799.9637212887825)","(2430.3659722963966, 971.3845187078074)","(2460.8407807264452, 959.956465546539)","(2487.5062381027383, 952.3377634390268)","(2506.552993371519, 952.3377634390268)","(2521.790397586543, 948.5284123852707)","(2548.455854962836, 956.147114492783)","(2578.9306633928845, 967.5751676540513)","(2552.265206016592, 990.4312739765879)","(2525.5997486402994, 1001.8593271378562)","(2506.552993371519, 1005.6686781916123)","(2487.5062381027383, 1001.8593271378562)","(2460.8407807264452, 994.2406250303441)","(2445.6033765114207, 975.1938697615635)","(2487.5062381027383, 971.3845187078074)","(2506.552993371519, 971.3845187078074)","(2525.5997486402994, 971.3845187078074)","(2563.6932591778605, 971.3845187078074)","(2525.5997486402994, 975.1938697615635)","(2506.552993371519, 975.1938697615635)","(2487.5062381027383, 975.1938697615635)",-2.65,-0.12,0.4
"(2260.3773584905657, 766.0377358490566)","(2267.9245283018868, 818.8679245283018)","(2275.4716981132074, 867.9245283018868)","(2286.7924528301887, 916.9811320754717)","(2301.88679245283, 962.2641509433962)","(2332.0754716981132, 1000.0)","(2373.5849056603774, 1033.9622641509434)","(2422.6415094339623, 1060.377358490566)","(2467.9245283018868, 1067.9245283018868)","(2516.9811320754716, 1060.377358490566)","(2562.264150943396, 1033.9622641509434)","(2600.0, 1000.0)","(2626.4150943396226, 962.2641509433962)","(2641.509433962264, 913.2075471698113)","(2652.830188679245, 864.1509433962264)","(2656.6037735849054, 815.0943396226414)","(2660.3773584905657, 766.0377358490566)","(2305.66037735849, 732.0754716981131)","(2335.8490566037735, 713.2075471698113)","(2373.5849056603774, 716.9811320754717)","(2407.5471698113206, 724.5283018867924)","(2441.509433962264, 735.8490566037735)","(2501.88679245283, 735.8490566037735)","(2532.0754716981132, 720.754716981132)","(2566.0377358490564, 709.4339622641509)","(2600.0, 709.4339622641509)","(2630.188679245283, 728.3018867924528)","(2467.9245283018868, 777.3584905660377)","(2471.698113207547, 807.5471698113207)","(2471.698113207547, 837.7358490566037)","(2471.698113207547, 871.6981132075472)","(2437.7358490566035, 901.8867924528302)","(2452.830188679245, 905.6603773584906)","(2471.698113207547, 905.6603773584906)","(2486.7924528301887, 901.8867924528302)","(2501.88679245283, 898.1132075471697)","(2347.1698113207544, 781.132075471698)","(2373.5849056603774, 773.5849056603773)","(2396.2264150943397, 773.5849056603773)","(2415.094339622641, 788.6792452830189)","(2392.452830188679, 796.2264150943396)","(2369.8113207547167, 792.4528301886792)","(2520.754716981132, 788.6792452830189)","(2539.622641509434, 769.8113207547169)","(2566.0377358490564, 769.8113207547169)","(2588.6792452830186, 773.5849056603773)","(2569.8113207547167, 788.6792452830189)","(2543.396226415094, 792.4528301886792)","(2396.2264150943397, 962.2641509433962)","(2426.4150943396226, 950.9433962264151)","(2452.830188679245, 939.622641509434)","(2471.698113207547, 943.3962264150942)","(2490.566037735849, 939.622641509434)","(2516.9811320754716, 947.1698113207547)","(2543.396226415094, 958.4905660377358)","(2516.9811320754716, 981.132075471698)","(2494.3396226415093, 992.4528301886792)","(2471.698113207547, 996.2264150943396)","(2452.830188679245, 992.4528301886792)","(2426.4150943396226, 984.9056603773585)","(2411.320754716981, 962.2641509433962)","(2452.830188679245, 962.2641509433962)","(2471.698113207547, 962.2641509433962)","(2490.566037735849, 962.2641509433962)","(2532.0754716981132, 962.2641509433962)","(2490.566037735849, 966.0377358490565)","(2471.698113207547, 966.0377358490565)","(2452.830188679245, 966.0377358490565)",-2.82,-0.67,0.24
"(2278.095238095238, 773.3333333333333)","(2281.904761904762, 822.8571428571428)","(2289.5238095238096, 876.1904761904761)","(2300.9523809523807, 925.7142857142857)","(2316.190476190476, 971.4285714285713)","(2346.6666666666665, 1009.5238095238095)","(2388.5714285714284, 1043.8095238095239)","(2434.285714285714, 1070.4761904761904)","(2480.0, 1078.095238095238)","(2529.5238095238096, 1070.4761904761904)","(2575.238095238095, 1047.6190476190475)","(2609.5238095238096, 1013.3333333333333)","(2640.0, 975.2380952380952)","(2655.238095238095, 929.5238095238095)","(2666.6666666666665, 880.0)","(2674.285714285714, 826.6666666666666)","(2678.095238095238, 773.3333333333333)","(2320.0, 739.047619047619)","(2350.4761904761904, 720.0)","(2384.7619047619046, 723.8095238095237)","(2422.8571428571427, 731.4285714285714)","(2457.142857142857, 742.8571428571428)","(2514.285714285714, 742.8571428571428)","(2544.7619047619046, 727.6190476190476)","(2579.047619047619, 720.0)","(2613.333333333333, 716.1904761904761)","(2643.809523809524, 735.2380952380952)","(2483.809523809524, 784.7619047619047)","(2483.809523809524, 815.2380952380952)","(2483.809523809524, 849.5238095238095)","(2483.809523809524, 880.0)","(2449.5238095238096, 910.4761904761905)","(2468.5714285714284, 914.2857142857142)","(2483.809523809524, 918.0952380952381)","(2499.047619047619, 914.2857142857142)","(2518.095238095238, 910.4761904761905)","(2361.904761904762, 788.5714285714286)","(2384.7619047619046, 780.952380952381)","(2411.428571428571, 780.952380952381)","(2430.4761904761904, 796.1904761904761)","(2407.6190476190477, 803.8095238095237)","(2380.9523809523807, 800.0)","(2533.333333333333, 796.1904761904761)","(2556.190476190476, 780.952380952381)","(2579.047619047619, 777.1428571428571)","(2605.714285714286, 784.7619047619047)","(2582.8571428571427, 800.0)","(2560.0, 800.0)","(2407.6190476190477, 967.6190476190476)","(2438.095238095238, 960.0)","(2464.7619047619046, 952.3809523809523)","(2483.809523809524, 952.3809523809523)","(2502.8571428571427, 948.5714285714286)","(2529.5238095238096, 960.0)","(2556.190476190476, 967.6190476190476)","(2533.333333333333, 994.2857142857142)","(2506.6666666666665, 1001.9047619047618)","(2483.809523809524, 1005.7142857142857)","(2464.7619047619046, 1001.9047619047618)","(2438.095238095238, 994.2857142857142)","(2419.047619047619, 971.4285714285713)","(2464.7619047619046, 971.4285714285713)","(2483.809523809524, 971.4285714285713)","(2502.8571428571427, 971.4285714285713)","(2544.7619047619046, 971.4285714285713)","(2502.8571428571427, 975.2380952380952)","(2483.809523809524, 975.2380952380952)","(2464.7619047619046, 975.2380952380952)",-2.96,-0.09,-0.17
"(2245.1831108420283, 766.0036495813979)","(2252.729944828052, 815.0580704905515)","(2260.2767788140754, 867.8859083927168)","(2271.597029793111, 913.1669123088585)","(2286.6906977651583, 962.2213332180121)","(2316.8780337092526, 999.9555031481302)","(2354.612203639371, 1033.9162560852365)","(2403.6666245485244, 1056.5567580433074)","(2448.947628464666, 1064.1035920293311)","(2498.00204937382, 1060.3301750363191)","(2539.50963629695, 1033.9162560852365)","(2577.2438062270676, 1003.7289201411421)","(2603.6577251781505, 965.994750211024)","(2622.5248101432094, 920.7137462948822)","(2633.845061122245, 871.6593253857286)","(2641.3918951082687, 818.8314874835633)","(2645.1653121012805, 769.7770665744097)","(2286.6906977651583, 732.0428966442915)","(2316.8780337092526, 716.9492286722443)","(2354.612203639371, 716.9492286722443)","(2388.5729565764773, 724.496062658268)","(2422.5337095135833, 735.8163136373034)","(2482.9083814017727, 735.8163136373034)","(2513.095717345867, 720.7226456652561)","(2547.0564702829734, 709.4023946862206)","(2581.0172232200794, 709.4023946862206)","(2611.204559164174, 728.2694796512798)","(2452.721045457678, 777.3239005604333)","(2452.721045457678, 807.5112365045278)","(2452.721045457678, 837.6985724486224)","(2452.721045457678, 871.6593253857286)","(2418.7602925205715, 901.8466613298232)","(2437.627377485631, 905.620078322835)","(2452.721045457678, 905.620078322835)","(2471.588130422737, 901.8466613298232)","(2486.6817983947844, 898.0732443368113)","(2328.1982846882884, 781.0973175534451)","(2354.612203639371, 773.5504835674216)","(2381.0261225904537, 773.5504835674216)","(2399.8932075555126, 788.6441515394688)","(2377.2527055974415, 796.1909855254924)","(2350.838786646359, 792.4175685324806)","(2501.7754663668316, 788.6441515394688)","(2524.415968324902, 773.5504835674216)","(2547.0564702829734, 769.7770665744097)","(2569.696972241044, 777.3239005604333)","(2550.829887275985, 788.6441515394688)","(2524.415968324902, 792.4175685324806)","(2377.2527055974415, 958.4479162250003)","(2403.6666245485244, 950.9010822389766)","(2430.0805434996073, 939.5808312599412)","(2448.947628464666, 943.3542482529531)","(2467.814713429725, 939.5808312599412)","(2494.228632380808, 947.1276652459649)","(2524.415968324902, 958.4479162250003)","(2498.00204937382, 981.0884181830712)","(2471.588130422737, 992.4086691621067)","(2452.721045457678, 992.4086691621067)","(2430.0805434996073, 992.4086691621067)","(2403.6666245485244, 981.0884181830712)","(2388.5729565764773, 962.2213332180121)","(2430.0805434996073, 962.2213332180121)","(2448.947628464666, 962.2213332180121)","(2467.814713429725, 962.2213332180121)","(2513.095717345867, 962.2213332180121)","(2471.588130422737, 965.994750211024)","(2452.721045457678, 965.994750211024)","(2433.853960492619, 965.994750211024)",-2.5,-0.35,-0.29
"(2237.3376399869762, 762.1285046835906)","(2244.8834667660217, 811.1763787473859)","(2252.429293545067, 863.9971662007041)","(2259.9751203241126, 909.2721268749768)","(2275.0667738822035, 958.3200009387723)","(2305.2500809983853, 996.0491348339995)","(2342.9792148936126, 1030.005355339704)","(2388.2541755678853, 1056.415749066363)","(2437.302049631681, 1063.9615758454086)","(2486.3499236954763, 1060.1886624558858)","(2531.6248843697485, 1033.7782687292267)","(2569.354018264976, 1003.5949616130449)","(2595.764411991635, 965.8658277178178)","(2610.856065549726, 920.590867043545)","(2622.174805718294, 871.5429929797496)","(2633.493545886862, 818.7222055264314)","(2637.266459276385, 769.674331462636)","(2278.8396872717262, 728.172284177886)","(2312.795907777431, 713.0806306197951)","(2346.7521282831353, 713.0806306197951)","(2384.4812621783626, 720.6264573988406)","(2418.437482684067, 735.7181109569315)","(2475.031183526908, 735.7181109569315)","(2505.2144906430894, 720.6264573988406)","(2539.170711148794, 709.3077172302724)","(2573.1269316544985, 709.3077172302724)","(2603.3102387706804, 728.172284177886)","(2444.8478764107263, 777.2201582416815)","(2444.8478764107263, 807.4034653578632)","(2444.8478764107263, 837.586772474045)","(2444.8478764107263, 871.5429929797496)","(2410.8916559050217, 901.7263000959314)","(2425.9833094631126, 901.7263000959314)","(2444.8478764107263, 905.4992134854541)","(2459.939529968817, 901.7263000959314)","(2478.804096916431, 897.9533867064087)","(2320.3417345564762, 777.2201582416815)","(2346.7521282831353, 769.674331462636)","(2373.1625220097944, 773.4472448521587)","(2392.027088957408, 788.5388984102497)","(2369.3896086202717, 792.3118117997724)","(2342.9792148936126, 792.3118117997724)","(2493.8957504745217, 788.5388984102497)","(2516.5332308116576, 773.4472448521587)","(2539.170711148794, 769.674331462636)","(2561.8081914859304, 777.2201582416815)","(2542.9436245383167, 788.5388984102497)","(2516.5332308116576, 792.3118117997724)","(2369.3896086202717, 958.3200009387723)","(2395.800002346931, 947.0012607702041)","(2425.9833094631126, 939.4554339911587)","(2441.0749630212035, 943.2283473806814)","(2459.939529968817, 939.4554339911587)","(2486.3499236954763, 947.0012607702041)","(2512.760317422135, 958.3200009387723)","(2486.3499236954763, 980.9574812759087)","(2463.71244335834, 992.2762214444767)","(2444.8478764107263, 992.2762214444767)","(2422.21039607359, 992.2762214444767)","(2395.800002346931, 980.9574812759087)","(2380.70834878884, 962.092914328295)","(2422.21039607359, 958.3200009387723)","(2441.0749630212035, 958.3200009387723)","(2459.939529968817, 958.3200009387723)","(2501.441577253567, 962.092914328295)","(2459.939529968817, 965.8658277178178)","(2444.8478764107263, 965.8658277178178)","(2425.9833094631126, 965.8658277178178)",-2.72,-0.5,-0.95
"(2276.9230769230767, 776.9230769230769)","(2280.7692307692305, 826.9230769230769)","(2288.4615384615386, 876.9230769230769)","(2300.0, 926.9230769230769)","(2315.3846153846152, 976.9230769230769)","(2342.3076923076924, 1015.3846153846154)","(2384.6153846153848, 1050.0)","(2430.7692307692305, 1076.923076923077)","(2480.7692307692305, 1088.4615384615383)","(2530.7692307692305, 1080.7692307692307)","(2576.9230769230767, 1053.8461538461538)","(2615.3846153846152, 1019.2307692307692)","(2642.3076923076924, 980.7692307692307)","(2657.6923076923076, 930.7692307692307)","(2669.230769230769, 880.7692307692307)","(2676.9230769230767, 830.7692307692307)","(2676.9230769230767, 776.9230769230769)","(2319.230769230769, 742.3076923076923)","(2350.0, 726.9230769230769)","(2384.6153846153848, 726.9230769230769)","(2423.076923076923, 734.6153846153846)","(2457.6923076923076, 746.1538461538461)","(2515.3846153846152, 746.1538461538461)","(2546.153846153846, 734.6153846153846)","(2580.7692307692305, 723.0769230769231)","(2619.230769230769, 723.0769230769231)","(2646.153846153846, 742.3076923076923)","(2484.6153846153848, 788.4615384615385)","(2484.6153846153848, 823.0769230769231)","(2484.6153846153848, 853.8461538461538)","(2484.6153846153848, 884.6153846153846)","(2450.0, 915.3846153846154)","(2469.230769230769, 919.2307692307692)","(2484.6153846153848, 923.0769230769231)","(2503.846153846154, 919.2307692307692)","(2519.230769230769, 915.3846153846154)","(2357.6923076923076, 792.3076923076923)","(2384.6153846153848, 784.6153846153846)","(2411.5384615384614, 788.4615384615385)","(2430.7692307692305, 803.8461538461538)","(2407.6923076923076, 807.6923076923076)","(2380.7692307692305, 807.6923076923076)","(2534.6153846153848, 800.0)","(2557.6923076923076, 784.6153846153846)","(2584.6153846153843, 780.7692307692307)","(2607.6923076923076, 788.4615384615385)","(2584.6153846153843, 803.8461538461538)","(2561.5384615384614, 807.6923076923076)","(2407.6923076923076, 976.9230769230769)","(2438.4615384615386, 965.3846153846154)","(2465.3846153846152, 957.6923076923076)","(2484.6153846153848, 957.6923076923076)","(2503.846153846154, 953.8461538461538)","(2530.7692307692305, 965.3846153846154)","(2557.6923076923076, 976.9230769230769)","(2530.7692307692305, 1000.0)","(2503.846153846154, 1007.6923076923076)","(2484.6153846153848, 1011.5384615384615)","(2465.3846153846152, 1007.6923076923076)","(2438.4615384615386, 1000.0)","(2423.076923076923, 976.9230769230769)","(2465.3846153846152, 976.9230769230769)","(2484.6153846153848, 976.9230769230769)","(2503.846153846154, 976.9230769230769)","(2546.153846153846, 976.9230769230769)","(2503.846153846154, 980.7692307692307)","(2484.6153846153848, 984.6153846153845)","(2465.3846153846152, 980.7692307692307)",-3.08,-0.37,-0.1
"(2247.5171217161032, 773.2982639124898)","(2251.3264727698593, 822.8198276113192)","(2262.754525931128, 872.3413913101485)","(2270.37322803864, 921.862955008978)","(2289.4199833074204, 967.5751676540513)","(2316.0854406837134, 1005.6686781916123)","(2357.9883022750305, 1039.9528376754174)","(2403.7005149201036, 1066.61829505171)","(2453.222078618933, 1074.2369971592223)","(2502.7436423177624, 1066.61829505171)","(2548.455854962836, 1043.7621887291734)","(2586.549365500397, 1009.4780292453685)","(2613.2148228766896, 971.3845187078074)","(2624.642876037958, 921.862955008978)","(2636.070929199226, 872.3413913101485)","(2643.6896313067386, 819.010476557563)","(2647.4989823604947, 769.4889128587337)","(2289.4199833074204, 735.2047533749287)","(2319.8947917374694, 719.9673491599043)","(2357.9883022750305, 719.9673491599043)","(2392.2724617588356, 727.5860512674165)","(2426.55662124264, 739.0141044286848)","(2483.696887048982, 739.0141044286848)","(2517.981046532787, 727.5860512674165)","(2548.455854962836, 716.1579981061482)","(2586.549365500397, 716.1579981061482)","(2617.0241739304456, 731.3954023211726)","(2453.222078618933, 780.916966020002)","(2457.0314296726892, 811.3917744500509)","(2457.0314296726892, 845.6759339338558)","(2457.0314296726892, 876.1507423639047)","(2422.747270188884, 910.4349018477096)","(2437.9846744039087, 910.4349018477096)","(2457.0314296726892, 914.2442529014658)","(2472.2688338877138, 910.4349018477096)","(2491.3155891564943, 906.6255507939535)","(2331.3228448987375, 784.7263170737581)","(2354.1789512212745, 777.1076149662459)","(2380.844408597567, 777.1076149662459)","(2403.7005149201036, 796.1543702350265)","(2377.035057543811, 799.9637212887825)","(2350.369600167518, 799.9637212887825)","(2502.7436423177624, 792.3450191812703)","(2525.5997486402994, 777.1076149662459)","(2552.265206016592, 773.2982639124898)","(2575.1213123391285, 780.916966020002)","(2556.074557070348, 796.1543702350265)","(2529.4090996940554, 796.1543702350265)","(2380.844408597567, 967.5751676540513)","(2407.5098659738596, 956.147114492783)","(2434.1753233501527, 948.5284123852707)","(2453.222078618933, 948.5284123852707)","(2472.2688338877138, 944.7190613315146)","(2498.9342912640063, 956.147114492783)","(2529.4090996940554, 963.7658166002951)","(2502.7436423177624, 990.4312739765879)","(2476.0781849414698, 998.0499760841001)","(2457.0314296726892, 998.0499760841001)","(2434.1753233501527, 998.0499760841001)","(2407.5098659738596, 986.6219229228318)","(2392.2724617588356, 967.5751676540513)","(2434.1753233501527, 967.5751676540513)","(2457.0314296726892, 967.5751676540513)","(2472.2688338877138, 967.5751676540513)","(2517.981046532787, 967.5751676540513)","(2476.0781849414698, 971.3845187078074)","(2457.0314296726892, 971.3845187078074)","(2437.9846744039087, 971.3845187078074)",-2.63,-0.35,0.35
"(2243.809523809524, 765.7142857142857)","(2247.6190476190477, 815.2380952380952)","(2255.238095238095, 868.5714285714286)","(2266.6666666666665, 918.0952380952381)","(2281.904761904762, 963.8095238095237)","(2312.3809523809523, 1005.7142857142857)","(2350.4761904761904, 1036.1904761904761)","(2400.0, 1062.857142857143)","(2445.714285714286, 1074.2857142857142)","(2499.047619047619, 1066.6666666666665)","(2540.9523809523807, 1040.0)","(2579.047619047619, 1009.5238095238095)","(2605.714285714286, 967.6190476190476)","(2620.9523809523807, 921.9047619047618)","(2632.3809523809523, 872.3809523809523)","(2640.0, 819.047619047619)","(2643.809523809524, 765.7142857142857)","(2285.714285714286, 731.4285714285714)","(2316.190476190476, 716.1904761904761)","(2354.285714285714, 716.1904761904761)","(2388.5714285714284, 727.6190476190476)","(2422.8571428571427, 739.047619047619)","(2480.0, 739.047619047619)","(2510.4761904761904, 723.8095238095237)","(2544.7619047619046, 712.3809523809523)","(2582.8571428571427, 712.3809523809523)","(2613.333333333333, 731.4285714285714)","(2449.5238095238096, 780.952380952381)","(2449.5238095238096, 811.4285714285714)","(2449.5238095238096, 841.9047619047618)","(2449.5238095238096, 876.1904761904761)","(2419.047619047619, 906.6666666666666)","(2434.285714285714, 910.4761904761905)","(2449.5238095238096, 910.4761904761905)","(2468.5714285714284, 906.6666666666666)","(2483.809523809524, 902.8571428571428)","(2327.6190476190477, 780.952380952381)","(2350.4761904761904, 777.1428571428571)","(2377.142857142857, 777.1428571428571)","(2400.0, 792.3809523809523)","(2373.333333333333, 800.0)","(2346.6666666666665, 796.1904761904761)","(2499.047619047619, 792.3809523809523)","(2521.904761904762, 773.3333333333333)","(2548.5714285714284, 769.5238095238095)","(2571.428571428571, 777.1428571428571)","(2552.3809523809523, 792.3809523809523)","(2525.714285714286, 796.1904761904761)","(2377.142857142857, 963.8095238095237)","(2403.809523809524, 956.1904761904761)","(2430.4761904761904, 944.7619047619047)","(2449.5238095238096, 948.5714285714286)","(2464.7619047619046, 944.7619047619047)","(2491.428571428571, 952.3809523809523)","(2521.904761904762, 963.8095238095237)","(2495.238095238095, 986.6666666666666)","(2472.3809523809523, 998.0952380952381)","(2453.333333333333, 998.0952380952381)","(2430.4761904761904, 998.0952380952381)","(2403.809523809524, 986.6666666666666)","(2388.5714285714284, 967.6190476190476)","(2430.4761904761904, 967.6190476190476)","(2449.5238095238096, 967.6190476190476)","(2468.5714285714284, 967.6190476190476)","(2510.4761904761904, 967.6190476190476)","(2468.5714285714284, 971.4285714285713)","(2449.5238095238096, 971.4285714285713)","(2430.4761904761904, 971.4285714285713)",-3.55,-0.1,-0.17
"(2261.4339228155204, 776.8871639604339)","(2269.1258749339404, 826.8848527301648)","(2276.817827052361, 880.7285175591057)","(2284.509779170781, 930.7262063288366)","(2303.739659466831, 976.8779190393575)","(2334.5074679405116, 1015.3376796314582)","(2372.9672285326124, 1049.9514641643489)","(2419.118941243133, 1076.8732965788192)","(2469.1166300128643, 1084.5652486972394)","(2519.114318782595, 1076.8732965788192)","(2565.266031493116, 1049.9514641643489)","(2603.7257920852167, 1015.3376796314582)","(2626.801648440477, 976.8779190393575)","(2642.185552677317, 926.8802302696265)","(2653.7234808549474, 876.8825414998956)","(2661.4154329733674, 826.8848527301648)","(2661.4154329733674, 773.0411879012238)","(2303.739659466831, 738.4274033683332)","(2334.5074679405116, 723.0434991314929)","(2372.9672285326124, 723.0434991314929)","(2407.581013065503, 730.735451249913)","(2442.1947975983935, 746.1193554867533)","(2499.8844384865447, 742.2733794275432)","(2530.652246960225, 730.735451249913)","(2565.266031493116, 719.1975230722828)","(2603.7257920852167, 719.1975230722828)","(2630.647624499687, 734.5814273091231)","(2469.1166300128643, 788.4250921380641)","(2469.1166300128643, 819.1929006117447)","(2469.1166300128643, 849.9607090854252)","(2469.1166300128643, 880.7285175591057)","(2438.3488215391835, 915.3423020919963)","(2453.732725776024, 915.3423020919963)","(2469.1166300128643, 919.1882781512064)","(2488.3465103089143, 915.3423020919963)","(2503.7304145457547, 911.4963260327863)","(2346.045396118142, 792.2710681972742)","(2372.9672285326124, 780.733140019644)","(2396.0430848878727, 780.733140019644)","(2419.118941243133, 799.9630203156943)","(2392.1971088286627, 807.6549724341145)","(2369.1212524734024, 803.8089963749044)","(2519.114318782595, 799.9630203156943)","(2542.1901751378555, 780.733140019644)","(2569.112007552326, 776.8871639604339)","(2592.1878639075862, 784.579116078854)","(2572.957983611536, 799.9630203156943)","(2546.0361511970655, 803.8089963749044)","(2396.0430848878727, 973.0319429801474)","(2426.8108933615536, 965.3399908617273)","(2453.732725776024, 953.802062684097)","(2469.1166300128643, 957.6480387433071)","(2488.3465103089143, 953.802062684097)","(2515.268342723385, 961.4940148025172)","(2542.1901751378555, 973.0319429801474)","(2515.268342723385, 996.1077993354078)","(2492.1924863681247, 1007.645727513038)","(2472.9626060720743, 1007.645727513038)","(2453.732725776024, 1007.645727513038)","(2426.8108933615536, 996.1077993354078)","(2411.426989124713, 976.8779190393575)","(2453.732725776024, 973.0319429801474)","(2472.9626060720743, 976.8779190393575)","(2488.3465103089143, 973.0319429801474)","(2530.652246960225, 976.8779190393575)","(2488.3465103089143, 980.7238950985675)","(2472.9626060720743, 980.7238950985675)","(2453.732725776024, 980.7238950985675)",-3.13,-0.38,0.54
"(2236.089068554835, 769.4889128587337)","(2243.7077706623472, 819.010476557563)","(2251.3264727698593, 868.5320402563925)","(2258.9451748773718, 918.0536039552219)","(2277.9919301461523, 967.5751676540513)","(2304.657387522445, 1005.6686781916123)","(2342.750898060006, 1039.9528376754174)","(2392.2724617588356, 1066.61829505171)","(2441.7940254576647, 1074.2369971592223)","(2491.3155891564943, 1066.61829505171)","(2537.0278018015674, 1043.7621887291734)","(2571.3119612853725, 1009.4780292453685)","(2597.977418661665, 971.3845187078074)","(2613.2148228766896, 921.862955008978)","(2624.642876037958, 872.3413913101485)","(2632.26157814547, 819.010476557563)","(2636.070929199226, 765.6795618049775)","(2277.9919301461523, 731.3954023211726)","(2308.466738576201, 712.348647052392)","(2342.750898060006, 716.1579981061482)","(2380.844408597567, 723.7767002136604)","(2415.128568081372, 735.2047533749287)","(2476.0781849414698, 735.2047533749287)","(2506.552993371519, 719.9673491599043)","(2540.8371528553234, 708.5392959986359)","(2575.1213123391285, 708.5392959986359)","(2605.5961207691776, 723.7767002136604)","(2441.7940254576647, 777.1076149662459)","(2445.6033765114207, 807.5824233962948)","(2445.6033765114207, 841.8665828800997)","(2445.6033765114207, 872.3413913101485)","(2411.319217027616, 902.8161997401975)","(2426.55662124264, 906.6255507939535)","(2445.6033765114207, 910.4349018477096)","(2460.8407807264452, 906.6255507939535)","(2476.0781849414698, 902.8161997401975)","(2319.8947917374694, 780.916966020002)","(2342.750898060006, 773.2982639124898)","(2369.4163554362985, 773.2982639124898)","(2392.2724617588356, 792.3450191812703)","(2369.4163554362985, 796.1543702350265)","(2342.750898060006, 796.1543702350265)","(2491.3155891564943, 788.5356681275142)","(2514.171695479031, 769.4889128587337)","(2540.8371528553234, 769.4889128587337)","(2563.6932591778605, 777.1076149662459)","(2544.64650390908, 788.5356681275142)","(2517.981046532787, 792.3450191812703)","(2369.4163554362985, 963.7658166002951)","(2399.8911638663476, 952.3377634390268)","(2426.55662124264, 944.7190613315146)","(2445.6033765114207, 944.7190613315146)","(2464.6501317802013, 940.9097102777586)","(2491.3155891564943, 952.3377634390268)","(2517.981046532787, 959.956465546539)","(2491.3155891564943, 986.6219229228318)","(2464.6501317802013, 998.0499760841001)","(2445.6033765114207, 998.0499760841001)","(2426.55662124264, 998.0499760841001)","(2399.8911638663476, 986.6219229228318)","(2384.653759651323, 967.5751676540513)","(2426.55662124264, 963.7658166002951)","(2445.6033765114207, 963.7658166002951)","(2464.6501317802013, 963.7658166002951)","(2506.552993371519, 963.7658166002951)","(2464.6501317802013, 971.3845187078074)","(2445.6033765114207, 971.3845187078074)","(2426.55662124264, 971.3845187078074)",-2.72,-0.35,0.35
