video_id,frame_seq,gap,time_seconds,time_datetime,instance_ref,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
34,0,0,0.0,0:00:00,0,"(2300.2635902709026, 772.3893436396733)","(2302.9272221797596, 821.9857295128605)","(2309.3111333662773, 875.4785025585085)","(2319.591431725256, 925.2509963264962)","(2337.5764504817553, 971.3912647642239)","(2367.162576808237, 1010.1790285940313)","(2404.5414774796404, 1041.526233868518)","(2449.625098548566, 1069.2412138127447)","(2498.8692686321515, 1081.8109148041294)","(2548.5537084527396, 1075.3389496702116)","(2594.8700847852674, 1049.7372644635907)","(2633.745902562475, 1016.3428049120482)","(2661.2847746119014, 978.8758502932446)","(2677.6628088283464, 929.7197341570585)","(2690.232509819731, 880.4755640734722)","(2695.2735983083953, 827.246952870025)","(2700.226632849659, 777.8266748916383)","(2343.0357952205704, 735.2746048104706)","(2373.8546768106557, 720.7457034894303)","(2408.1296758362005, 721.5381890160326)","(2442.228566966945, 729.9473409927557)","(2476.2394041502894, 742.1648261945396)","(2537.1727357512577, 743.5736893529436)","(2567.991617341343, 729.0447880319032)","(2602.5307782090886, 718.4122738833238)","(2640.614110459694, 719.2928133573263)","(2666.8321732981167, 738.9508571144307)","(2505.7374765293707, 784.7609232494074)","(2505.0330449501685, 815.2275890498918)","(2504.3286133709667, 845.6942548503761)","(2503.5361278443647, 879.9692538759209)","(2472.3650304646785, 909.7314880972033)","(2487.5103094175206, 913.8920371118647)","(2502.7436423177624, 914.2442529014658)","(2521.8733623904654, 910.8761894134065)","(2537.1947492381078, 907.4200719779468)","(2383.7827593800334, 785.7515301576602)","(2406.808866625197, 778.6631873919405)","(2433.379145253221, 783.0878982488028)","(2452.0685955889226, 798.7615008860462)","(2429.1305422911587, 802.0415104267053)","(2406.2805429407954, 801.5131867423038)","(2554.981646612957, 797.3306242407923)","(2578.183861752921, 782.6256150249515)","(2601.1219150506845, 779.3456054842925)","(2627.6041397313084, 787.5786495662152)","(2604.489978538744, 798.4753255569955)","(2581.5519252409804, 801.7553350976544)","(2429.0645018306086, 969.6962262767693)","(2459.795329473294, 958.9756581807895)","(2486.629769943518, 951.9753693624702)","(2505.6714360688206, 952.4156390994714)","(2520.992822916463, 948.9595216640118)","(2547.4750475970864, 957.1925657459346)","(2577.67755155537, 969.3219970003181)","(2550.4908952955448, 991.5556187188797)","(2523.5684008779203, 1002.3642407622596)","(2504.4386808052172, 1005.732304250319)","(2485.485068627315, 1001.4837012882572)","(2459.0028439466914, 993.2506572063344)","(2444.2097807834502, 973.8567752914307)","(2486.189500206517, 971.0170354877729)","(2505.2311663318196, 971.4573052247741)","(2524.272832457122, 971.8975749617754)","(2562.3561647077277, 972.7781144357778)","(2524.184778509722, 975.7059081868359)","(2505.1431123844195, 975.2656384498347)","(2486.1014462591165, 974.8253687128334)"
34,1,0,0.0333333333333333,0:00:00.033333,0,"(2263.6806404063427, 761.1623690482486)","(2269.9974932286486, 814.1537455020348)","(2276.402080117931, 863.372557075833)","(2286.579231887201, 912.6791027166078)","(2300.6166826034355, 958.3008175443708)","(2329.919860973576, 996.7283388800636)","(2370.628468050657, 1031.6464975366976)","(2419.0576730216667, 1059.1949945673084)","(2464.152983447571, 1067.7929331310022)","(2513.371795021369, 1061.3883462417202)","(2559.256712050061, 1036.0332008855212)","(2597.7719674527307, 1002.957457635393)","(2625.057262282412, 965.8459473043473)","(2641.2880646730587, 917.1535401324079)","(2653.746302183717, 868.3733988934921)","(2658.659409934399, 819.4177895206233)","(2663.572517685081, 770.4621801477546)","(2309.7410255689883, 728.2620939320732)","(2340.3602149437756, 710.1011420679446)","(2377.9981296766805, 714.7510476176974)","(2411.77574546262, 723.0857839804619)","(2445.465627181584, 735.1930852232144)","(2505.826665261393, 736.5968302948379)","(2536.358120569204, 722.2084433106972)","(2570.574406690026, 711.6803552735212)","(2604.527490609919, 712.4699618763094)","(2634.269339314941, 732.0346588120618)","(2470.908506604759, 777.3054373719187)","(2473.9791989489354, 807.5736904788)","(2473.277326413124, 837.7542095187048)","(2472.4877198103354, 871.7072934385977)","(2437.8327633546305, 901.0982058757141)","(2452.8352888076065, 905.2217070236082)","(2471.698113207547, 905.6603773584906)","(2486.876106794476, 902.2387487464083)","(2502.0541003814046, 898.817120134326)","(2350.0986963781634, 778.2705121086598)","(2376.682118672033, 771.3395208175189)","(2399.317507951962, 771.8659252193777)","(2417.829396083996, 787.3948550742125)","(2395.0185386701146, 794.4135804323298)","(2372.4708834571625, 790.1146111504828)","(2523.461212723663, 789.8514089495537)","(2542.7627074584857, 771.4272548844955)","(2569.1706616184024, 772.0413933533308)","(2591.7183168313545, 776.3403626351777)","(2572.504556163508, 790.9919518202478)","(2546.008867936615, 794.1503782314005)","(2394.9308046031383, 960.4941692187825)","(2425.374525843972, 949.8783471146301)","(2452.045682204818, 939.1747909435011)","(2470.8207725377824, 943.3860261583715)","(2489.7713310046993, 940.0521316132658)","(2516.003817030663, 948.2113998420773)","(2542.1485689896504, 960.1432329508768)","(2515.2142104278746, 982.1644837619701)","(2492.315618947017, 992.9557740000755)","(2469.5924956001118, 996.2019344782049)","(2450.8174052671475, 991.9906992633344)","(2424.584919241184, 983.8314310345229)","(2410.02106412309, 960.8451054866885)","(2451.5192778029596, 961.8101802234296)","(2470.3821022029, 962.248850558312)","(2489.2449266028407, 962.6875208931943)","(2530.7431402827096, 963.6525956299356)","(2489.157192535864, 966.4600857731824)","(2470.2943681359234, 966.0214154383)","(2451.431543735983, 965.5827451034177)"
34,2,0,0.0666666666666666,0:00:00.066667,0,"(2279.7824197458976, 770.9649651238208)","(2283.0191976756787, 820.5295033546888)","(2290.0212070747975, 873.9473486448203)","(2300.876523533179, 923.5999624656142)","(2315.5851470508246, 969.4873448170708)","(2345.6189232155975, 1007.9323398197789)","(2387.1245449682347, 1042.7001789430756)","(2432.5275115750983, 1069.8935173327343)","(2478.1506671567768, 1078.040509400891)","(2527.759243182608, 1070.9944622068094)","(2573.7347011239904, 1048.6673001605634)","(2608.4144646573613, 1014.780216936527)","(2639.3289967213946, 977.0398266532272)","(2655.094527318152, 931.5047466614748)","(2667.0948264455724, 882.1163596104587)","(2675.329894103655, 828.8746655001794)","(2679.755692497438, 775.588933594937)","(2322.080721807869, 737.1659574897105)","(2352.775064897087, 718.4719135279126)","(2387.0144504808272, 722.6775229468801)","(2425.019067533905, 730.736439425111)","(2459.170377527719, 742.5605873726793)","(2516.3094164922254, 743.2211542971244)","(2546.9597217864803, 728.336379599627)","(2581.33122075511, 721.1141812256934)","(2615.6586819287763, 717.70125211606)","(2645.9126470683645, 737.0999007972661)","(2485.350846633229, 784.7708138447246)","(2484.998544273525, 815.2449679591276)","(2484.602204118858, 849.5283913378312)","(2484.249901759154, 880.0025454522342)","(2449.6141760207465, 910.0803594119702)","(2468.616484547285, 914.1098176510856)","(2483.809523809524, 918.0952380952381)","(2499.090638661688, 914.4621200107897)","(2518.1810227781534, 910.8730397213044)","(2363.410192380654, 787.1708736702086)","(2386.3538835563822, 779.816561911386)","(2413.0187684064845, 780.124826476127)","(2431.8889635481346, 795.5820925081435)","(2408.9452723724066, 802.9364042669663)","(2382.3244253172666, 798.8188704379248)","(2534.739233684245, 796.7711129721449)","(2557.7710004498995, 781.7982626847215)","(2580.6706538306644, 778.2532201901992)","(2607.2474630908414, 786.180023283541)","(2584.215696325187, 801.1528735709644)","(2561.360080739385, 800.8886468011864)","(2407.051647188997, 966.7349826318829)","(2437.613876893326, 959.4687464629862)","(2464.3668373333544, 952.1584724991264)","(2483.4131836548568, 952.3786614739415)","(2502.5035677713213, 948.7895811844562)","(2529.0363392365352, 960.5256535420984)","(2555.613148496712, 968.4524566354403)","(2532.449268346168, 994.8531147157648)","(2505.6963079061397, 1002.1633886796245)","(2482.7966545253744, 1005.7084311741469)","(2463.7943459988355, 1001.6789729350314)","(2437.217536738659, 993.7521698416896)","(2418.435417186935, 970.6763652810722)","(2464.1466483585396, 971.2048188206284)","(2483.192994680042, 971.4250077954434)","(2502.2393410015434, 971.6451967702584)","(2544.1413029088476, 972.1296125148516)","(2502.1953032065803, 975.4544660345589)","(2483.148956885079, 975.2342770597438)","(2464.1026105635765, 975.0140880849287)"
34,3,0,0.0999999999999999,0:00:00.100000,0,"(2247.664076380588, 762.3846744871917)","(2254.349277761087, 811.5639282071006)","(2260.9682890289077, 864.5160183496674)","(2271.492516944743, 909.9886257595966)","(2285.723391170558, 959.300259704862)","(2315.2441814250387, 997.5581448328666)","(2352.3768346375136, 1032.1755737635694)","(2401.026567455997, 1055.6730637643336)","(2446.1682243025352, 1064.0130179617881)","(2495.281287909766, 1061.1006530039467)","(2537.2458193477505, 1035.4188892848017)","(2575.5037044757546, 1005.898099030321)","(2602.575460561142, 968.6330655924895)","(2622.23392402657, 923.6899790839859)","(2634.4129047593606, 874.8416759274679)","(2642.885239182171, 822.154346235614)","(2647.5185470696456, 773.1736628537396)","(2289.7609880439286, 729.1572379227309)","(2320.2084398759043, 714.5954131335252)","(2357.936804102483, 715.2573142603072)","(2391.7599516810483, 723.3986981197269)","(2425.5169091469343, 735.3129184018044)","(2485.8822919094605, 736.3719602046558)","(2516.3297437414362, 721.8101354154498)","(2550.483841883392, 711.0873371615801)","(2584.4393696873126, 711.6830481756839)","(2614.291110505185, 731.0767511903991)","(2454.9715092887373, 777.3436399524669)","(2454.4419883873115, 807.5263313337299)","(2453.912467485886, 837.709022714993)","(2453.316756471782, 871.664550518914)","(2418.831707766435, 901.2515308860732)","(2437.6296997670465, 905.3553178721221)","(2452.721045457678, 905.620078322835)","(2471.6514176836454, 902.1781924635682)","(2486.8089534869555, 898.670116491623)","(2330.401717228349, 778.9322026567438)","(2356.9439524123104, 771.8498606001756)","(2383.3538073709155, 772.3131913889231)","(2401.953229033492, 787.7354876429456)","(2379.183830272188, 794.884019812192)","(2352.840165426261, 790.6478526007867)","(2503.819812445255, 789.5226206852573)","(2526.721591431915, 774.828415670695)","(2549.4248000805405, 771.4527199241062)","(2571.9294383911315, 779.3955334454913)","(2552.8666859398077, 790.3830921500739)","(2526.390640868524, 793.6925977839843)","(2376.3376554270253, 957.1159859864812)","(2402.879890610987, 950.0336439299128)","(2429.488315907627, 939.1784654506866)","(2448.286307908238, 943.2822524367356)","(2467.2166801342055, 939.8403665774687)","(2493.4941548674547, 947.849370211532)","(2523.478275910683, 959.6974003809313)","(2496.6712802760085, 981.8710881281312)","(2470.0628549793682, 992.7262666073574)","(2451.198672866079, 992.3953160439663)","(2428.561654330132, 991.9981753678971)","(2402.350369709561, 980.216335311176)","(2387.589974582321, 961.0873927471737)","(2429.091175231558, 961.8154839866339)","(2447.955357344847, 962.146434550025)","(2466.819539458136, 962.4773851134161)","(2512.093576530031, 963.2716664655545)","(2470.5261857681157, 966.3164116487523)","(2451.6620036548265, 965.9854610853612)","(2432.7978215415374, 965.6545105219701)"
34,4,0,0.1333333333333332,0:00:00.133333,0,"(2238.1795990328487, 760.9174667514698)","(2245.438472018577, 810.008629040973)","(2252.6752815605805, 862.8726402075573)","(2259.956217990035, 908.1909536199797)","(2274.7607887299255, 957.3262427969343)","(2304.722945309317, 995.2312391175485)","(2342.252863086596, 1029.407513448533)","(2387.3726055054876, 1056.0822169128069)","(2436.3755140200883, 1063.9147394354018)","(2485.444612865866, 1060.428715326754)","(2530.873243496916, 1034.283534511895)","(2568.7782398175304, 1004.3213779325037)","(2595.4088163943534, 966.7473332677738)","(2610.7649732273844, 921.561400517705)","(2622.37034462706, 872.5805554468297)","(2633.9977794704614, 819.8268614988737)","(2638.0574531159755, 770.8018895405472)","(2279.8795076742695, 727.2045247387232)","(2313.9234013429004, 712.3117002239301)","(2347.879041236629, 712.5102712174606)","(2385.5634031199866, 720.2766034088787)","(2419.4307892388124, 735.566569910733)","(2476.0235223950267, 735.8975215666172)","(2506.294567186576, 720.9826336080985)","(2540.3163974114814, 709.8626579703863)","(2574.27203730521, 710.0612289639168)","(2604.344511103229, 729.1019808991264)","(2445.5980334973974, 777.2223516647025)","(2445.4215259475923, 807.4051426813498)","(2445.2450183977876, 837.5879336979973)","(2445.046447404257, 871.5435735917257)","(2410.9142999607234, 901.5277936148426)","(2426.005695469047, 901.6160473897451)","(2444.8478764107263, 905.4992134854541)","(2459.9613353627756, 901.8146183832756)","(2478.8476431919057, 898.1520867248228)","(2321.0940205537268, 776.4942580217571)","(2347.5480895807445, 769.1030043736746)","(2373.9359682765853, 773.0302973568349)","(2392.7119588870873, 788.2320100837867)","(2370.0528021808764, 791.8724782985139)","(2343.6428600413096, 791.7180341924345)","(2494.5788785682726, 788.8277230643785)","(2517.30422560566, 773.8687082184084)","(2539.9633823118716, 770.2282400036811)","(2562.5563486869055, 777.9063184201967)","(2543.6259139703243, 789.1145478328115)","(2517.193908387032, 792.732952603813)","(2369.082010656949, 957.8778288900747)","(2395.5581431276923, 946.7137263649113)","(2425.785061031791, 939.3445361605544)","(2440.8543930963892, 943.2056388125378)","(2459.7407009255194, 939.543107154085)","(2486.1065161776346, 947.2432490143261)","(2512.450267986024, 958.7162397516482)","(2485.907945184104, 981.1988889080545)","(2463.204661590442, 992.3850548769435)","(2444.340417205037, 992.2747376583154)","(2421.7033239425514, 992.1423569959617)","(2395.3595721341617, 980.6693662586397)","(2380.378493844466, 961.7168680983325)","(2421.901894936082, 958.1867171022334)","(2440.7661393214867, 958.2970343208615)","(2459.6303837068913, 958.4073515394896)","(2501.109657911056, 962.4228982975524)","(2459.58625681944, 965.9530492936515)","(2444.4948613111164, 965.864795518749)","(2425.630616925712, 965.7544783001209)"
34,5,0,0.1666666666666665,0:00:00.166667,0,"(2279.444139497925, 773.4046090136007)","(2282.4375857791915, 823.4628968266039)","(2289.2766272831072, 873.586734558175)","(2299.961264009671, 923.7761222083138)","(2314.491495958884, 974.0310597770206)","(2340.7551633317476, 1012.9458614334843)","(2382.466761513774, 1048.2772675415708)","(2428.1550547555853, 1075.9830331229273)","(2477.951142894317, 1088.3719677322563)","(2528.0749806258877, 1081.532926228341)","(2574.680972727649, 1055.4003586926135)","(2613.726874221249, 1021.4455008744525)","(2641.30153996547, 983.4483980779389)","(2657.5360697974475, 933.7178598577752)","(2669.9250044067767, 883.9217717190436)","(2678.468343793457, 834.0601336617442)","(2679.386042653407, 780.22180054466)","(2322.3356362141735, 739.5153011140077)","(2353.362597669636, 724.6573195719552)","(2387.972954673476, 725.2472688390661)","(2426.2978070628287, 733.5939584700427)","(2460.711514310965, 745.7206934051001)","(2518.395442650698, 746.7039421836182)","(2549.3568541875925, 735.6915558642148)","(2584.1638609471356, 724.744719463379)","(2622.619813173624, 725.4002186490578)","(2649.211230139327, 745.0870441922773)","(2486.9096317652607, 788.4810902842128)","(2486.3196824981496, 823.0914472880527)","(2485.7952831496063, 853.8562090692435)","(2485.2708838010635, 884.6209708504344)","(2450.136127448681, 914.7957833645145)","(2469.298553643357, 918.9691281800026)","(2484.6153846153848, 923.0769230769231)","(2503.908910647197, 919.5590774471135)","(2519.35684145636, 915.9756818987362)","(2359.93943949928, 790.1635381941217)","(2386.9897058949578, 782.9311971787992)","(2413.8433225349318, 787.2356418314232)","(2432.8090989739044, 802.945772314858)","(2409.6699777194435, 806.3980680260995)","(2382.7508111609013, 805.9392185961244)","(2536.705719903992, 800.8700248935418)","(2560.0414909141564, 785.8809435143537)","(2587.0262073912663, 782.4941977216798)","(2609.968678890024, 790.5786876783849)","(2586.632907879859, 805.5677690575731)","(2563.493786625398, 809.0200647688146)","(2406.785781302457, 975.6042578226496)","(2437.7471928393516, 964.591871503246)","(2464.7974592350292, 957.3595304879234)","(2484.0254353482737, 957.6872800807628)","(2503.318961380086, 954.1694344509533)","(2530.041478182924, 966.1650695488751)","(2556.7639949857626, 978.1607046467968)","(2529.451528915813, 1000.7754265527149)","(2502.401262520136, 1008.0077675680374)","(2483.1077364883236, 1011.525613197847)","(2463.945310293647, 1007.3522683823586)","(2437.157243572241, 999.2022285070858)","(2422.1681621930525, 975.8664574969212)","(2464.46970964219, 976.5875066011678)","(2483.6976857554346, 976.9152561940072)","(2502.9256618686786, 977.2430057868465)","(2545.2272093178162, 977.9640548910932)","(2502.860111950111, 981.0886010094954)","(2483.5665859182986, 984.6064466393049)","(2464.404159723622, 980.4331018238166)"
34,6,0,0.1999999999999998,0:00:00.200000,0,"(2250.811742799683, 768.5203434129845)","(2253.481961627799, 818.1163750892986)","(2263.7688702279174, 867.8875030822103)","(2270.247433942034, 917.5710829168233)","(2288.2385804724536, 963.7089623403316)","(2314.021513091473, 1002.4052483084354)","(2355.1253734127963, 1037.6433820237337)","(2400.212674936718, 1065.3523741253282)","(2449.5460621381353, 1074.107189955216)","(2499.229641972748, 1067.6286262410988)","(2545.455069554556, 1045.8291348246785)","(2584.326451839257, 1012.4295124336567)","(2611.860347624254, 974.9589006817371)","(2624.423508340143, 925.7130616386186)","(2636.9866690560316, 876.4672225955)","(2645.8290330442182, 823.3254905080814)","(2650.775503988105, 773.9045551483651)","(2293.5790181286848, 731.3999242942605)","(2324.3959698498898, 716.8669300166468)","(2362.4794187099014, 717.7424115996355)","(2396.579426367314, 726.1470347963277)","(2430.591885866428, 738.3600028790211)","(2487.7170591564454, 739.6732252535043)","(2522.2548076053527, 729.0361240201905)","(2552.9842111682588, 718.311474628578)","(2591.0676600282704, 719.1869562115668)","(2621.184226483084, 735.1207210219625)","(2456.2872703271487, 780.864633733126)","(2459.3952299467587, 811.4189409794343)","(2458.607296522069, 845.6940449534447)","(2457.906911255678, 876.1608040414541)","(2422.8438738569776, 909.6479745907747)","(2438.077253400982, 909.9981672239702)","(2457.0314296726892, 914.2442529014658)","(2472.352357374993, 910.7861006486601)","(2491.4816299632976, 907.4154965541533)","(2334.332685816812, 781.8714375535632)","(2357.3578514494175, 774.7800367313541)","(2384.0162656514253, 775.3928738394463)","(2406.428594175938, 794.9598872192454)","(2379.682631815631, 798.1553949971543)","(2353.0242176136226, 797.5425578890622)","(2505.533109370267, 793.427794449015)","(2528.73337131947, 778.7197038548036)","(2555.4793336797766, 775.5241960768944)","(2578.154306679186, 783.66617479869)","(2558.762389615985, 798.4618135512004)","(2532.1039754139765, 797.8489764431083)","(2379.6388577364814, 965.8101181395047)","(2406.5599164133864, 954.9979205895933)","(2433.3934269319925, 947.994067925683)","(2452.435151361998, 948.4318087171773)","(2471.564423950303, 945.0612046226705)","(2497.9601936774143, 957.0990763887662)","(2528.251856448826, 965.4161514271595)","(2500.9806051387254, 991.4617285210757)","(2474.14709462012, 998.4655811849858)","(2455.105370190114, 998.0278403934914)","(2432.255300874107, 997.5025514436982)","(2405.8595311469953, 985.4646796776026)","(2391.0638923944853, 966.0727626144012)","(2432.955686140498, 967.0357923556888)","(2455.805755456505, 967.561081305482)","(2471.0391350005098, 967.9112739386776)","(2516.7392736325237, 968.9618518382641)","(2474.759931728212, 971.8071669829776)","(2455.718207298206, 971.3694261914833)","(2436.6764828682003, 970.931685399989)"
34,7,0,0.2333333333333331,0:00:00.233333,0,"(2247.1908402209, 761.0247068759886)","(2249.8611801446295, 810.6229877544388)","(2256.2524855358506, 864.1173383576745)","(2266.5398606518575, 913.8907234934184)","(2280.72330549265, 959.9431431616704)","(2310.228372846644, 1002.5372537483711)","(2347.6131317788563, 1033.8809158039494)","(2396.5109956281317, 1061.6787166493298)","(2441.9505503958558, 1074.1548949815083)","(2495.4449009990913, 1067.7635895902868)","(2537.951459457145, 1042.0670398324314)","(2576.737052447707, 1012.4744203497904)","(2604.359749035794, 971.1935916927926)","(2620.644444964111, 925.8415890537154)","(2633.208175424936, 876.5935166898528)","(2642.05094041827, 823.4493746012046)","(2647.085187815465, 770.2176803839094)","(2289.8725029362477, 727.7111219258559)","(2320.6908522199446, 713.1774685704759)","(2358.7760281813316, 714.0529898569445)","(2392.7900301606396, 726.2665118031824)","(2426.804032139947, 738.4800337494203)","(2483.931796082028, 739.7933156791232)","(2514.750145365725, 725.2596623237433)","(2549.289460116914, 714.622078693149)","(2587.374636078301, 715.4975999796176)","(2617.4050162041767, 735.2406049894861)","(2452.500581897803, 780.9865922074742)","(2451.800164868628, 811.454732976584)","(2451.0997478394534, 841.9228737456936)","(2450.3117786816315, 876.1995321109421)","(2419.1432208833467, 905.9672558508768)","(2434.2897391392544, 910.125981961603)","(2449.5238095238096, 910.4761904761905)","(2468.6539496331498, 907.105433523286)","(2483.9755721463516, 903.6471244417347)","(2330.628018821364, 778.1849240907745)","(2353.566676526843, 774.901719266517)","(2380.226299699814, 775.5145841670451)","(2402.727196762059, 791.2739673234811)","(2375.892469331794, 798.2781376152305)","(2349.32039828747, 793.8567551185637)","(2501.7486542616653, 793.5503226682995)","(2525.0375204817324, 775.0330474594871)","(2551.78469578335, 771.8373947638765)","(2574.4606971028884, 779.9797427280351)","(2555.0679006076075, 794.7760524693556)","(2528.32072530599, 797.9717051649664)","(2375.9362453961176, 962.1319463778419)","(2402.7709728263826, 955.1277760860926)","(2429.6932523852943, 944.3150881982045)","(2448.648288237341, 948.5613664375776)","(2463.9699107505426, 945.1030573560263)","(2490.4544296662198, 953.3329574488317)","(2520.659914049389, 965.4589272664228)","(2493.4749781045366, 987.6971679427271)","(2470.3612161417636, 998.597407959262)","(2451.31862816107, 998.1596473160278)","(2428.467522584238, 997.6343345441466)","(2402.070555797208, 985.5959168552023)","(2387.274246055887, 966.2031203599213)","(2429.1679396134127, 967.1661937750368)","(2448.2105275941067, 967.6039544182711)","(2467.2531155748, 968.0417150615054)","(2509.146809132326, 969.004788476621)","(2467.165563446153, 971.8502326576441)","(2448.1229754654596, 971.4124720144098)","(2429.080387484766, 970.9747113711754)"
34,8,0,0.2666666666666664,0:00:00.266667,0,"(2264.7592041917355, 772.1516960346637)","(2271.3000560562523, 822.3129586443048)","(2277.752518030709, 876.3191814716014)","(2284.2933698952256, 926.4804440812425)","(2302.45749230277, 973.0619161434115)","(2332.333275143402, 1012.218637440453)","(2369.987368309406, 1047.7071782999612)","(2415.5081616908424, 1075.6825785042809)","(2465.3158647402397, 1084.521567510385)","(2515.477127349881, 1077.9807156458678)","(2562.235379192172, 1052.1266728030132)","(2601.480490379274, 1018.4059297447257)","(2625.4341505858165, 980.4866669085387)","(2641.963060027231, 930.8557436392638)","(2654.647009250991, 881.1364304799278)","(2663.4859982570947, 831.3287274305308)","(2664.7234567179494, 777.4992843833563)","(2307.9376654865546, 734.674382648782)","(2339.0509067880407, 720.001660898649)","(2377.5005089645942, 720.8855597992593)","(2411.92837114337, 729.3709892451193)","(2446.1794535420236, 745.5463391262899)","(2503.9422466969145, 743.0272272595502)","(2534.96709810834, 732.1994657270725)","(2569.836909737421, 721.460094084656)","(2608.286511913974, 722.3439929852664)","(2634.8476738773174, 738.342563086315)","(2472.1218862749397, 788.4596307509257)","(2471.4147671544515, 819.2193124921682)","(2470.707648033963, 849.9789942334107)","(2470.0005289134747, 880.7386759746532)","(2438.4453381616827, 914.6361988130627)","(2453.825179032304, 914.9897583733069)","(2469.1166300128643, 919.1882781512064)","(2488.4298209912017, 915.7852673838563)","(2503.898051751884, 912.2938667264452)","(2348.994769419908, 789.4761144866278)","(2376.1746606136785, 778.5599630640892)","(2399.2444219196104, 779.0903024044554)","(2421.872233775237, 798.8454428330981)","(2394.780732471528, 805.9166340379816)","(2371.7993610556573, 801.54133447996)","(2521.8411994342755, 801.1435799746852)","(2545.3529101905124, 782.4491182267749)","(2572.3560216041606, 779.2228872395468)","(2595.2490031299703, 787.4431470152235)","(2575.6706424814497, 802.3810384355397)","(2548.6675310678015, 805.6072694227678)","(2394.8249274165587, 971.3383132872211)","(2425.7613889379236, 964.3555119723989)","(2452.9412801316935, 953.4393605498601)","(2468.232731112254, 957.6378803277596)","(2487.5459220905914, 954.2348695604094)","(2514.283863834057, 962.5435192261474)","(2540.9334156874606, 974.6971291095406)","(2513.4883548235075, 997.1481611850452)","(2490.1534238473923, 1008.1527024976449)","(2470.9286227591156, 1007.7107530473397)","(2451.7038216708393, 1007.2688035970344)","(2425.054269817435, 995.1151937136412)","(2410.1163783971188, 975.5368330651206)","(2452.4993306813885, 972.6641616381366)","(2471.635741879604, 976.9510713060972)","(2487.103972640286, 973.459670648686)","(2529.3101451444336, 978.2769196570127)","(2486.927192860164, 981.1495910839966)","(2471.547351989543, 980.7960315237525)","(2452.3225509012664, 980.3540820734472)"
34,9,0,0.2999999999999997,0:00:00.300000,0,"(2240.273074683116, 763.4604680107159)","(2246.4495872664147, 813.1825012081684)","(2252.6260998497137, 862.9045344056211)","(2258.8026124330127, 912.6265676030738)","(2276.4023525897246, 962.680671369521)","(2301.949648364373, 1001.5329279418849)","(2339.030861902099, 1036.9095125587723)","(2387.756683392568, 1065.0026826957123)","(2437.035955831361, 1074.0571402102973)","(2486.757989028814, 1067.8806276269986)","(2533.1150404604546, 1046.362454756151)","(2568.3809348876775, 1013.0889837428957)","(2596.1420344556227, 975.7863898258398)","(2612.81197701915, 926.7284977663763)","(2625.674177058206, 877.5599155172479)","(2634.8393247624563, 824.4729005539837)","(2640.196729942235, 771.2751954010547)","(2283.265144348946, 726.6006348523193)","(2314.2805354930374, 708.4474437472832)","(2348.4395280236117, 713.2513979787379)","(2386.295572888992, 721.9737849243286)","(2420.2331850402365, 734.3932242047251)","(2481.157065431772, 736.1642672393629)","(2512.0617663862, 721.8188186587978)","(2546.663519675433, 711.3918027923684)","(2580.9332023956717, 712.388014499352)","(2610.9523818327807, 728.5045061145549)","(2445.66979062522, 777.0532233015601)","(2448.592011632372, 807.6258536869929)","(2447.5957999253883, 841.8955364072318)","(2446.7102784080694, 872.3574766029997)","(2411.555074170512, 901.823205091784)","(2426.675354078731, 906.0737083749143)","(2445.6033765114207, 910.4349018477096)","(2460.94503679897, 907.0699200818981)","(2476.2866970865184, 903.7049383160866)","(2323.7113396524833, 777.3188797567557)","(2346.779175178639, 770.3675358458029)","(2373.4333728499355, 771.1423671734568)","(2395.726377048438, 790.845220933801)","(2372.7692317119463, 793.9888223202828)","(2346.11503404065, 793.2139909926289)","(2494.8383728743484, 789.9154233406161)","(2518.2382789694984, 771.5408518562504)","(2544.8924766407954, 772.3156831839043)","(2567.5175514082916, 780.5953093708355)","(2548.1467682169423, 791.4650859959241)","(2521.3818803559802, 794.4979971927412)","(2367.8988633666927, 961.5294933970064)","(2398.6928741314555, 950.9917873409123)","(2425.568452182082, 944.1511336196243)","(2444.607164804437, 944.7045845679486)","(2463.756567616457, 941.4502929918019)","(2490.0786947187594, 953.6483518928688)","(2516.5115120107266, 962.0386682694648)","(2489.082483011776, 987.9180346131078)","(2462.096214771484, 998.5664308588667)","(2443.057502149129, 998.0129799105424)","(2424.018789526774, 997.4595289622182)","(2397.696662424472, 985.2614700611513)","(2383.019143274912, 965.7799966801368)","(2425.0150012337576, 963.1898462419792)","(2444.0537138561126, 963.7432971903036)","(2463.0924264784676, 964.2967481386278)","(2504.977594247649, 965.5143402249412)","(2462.871046099138, 971.9122331875699)","(2443.832333476783, 971.3587822392456)","(2424.793620854428, 970.8053312909212)"
